"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.507,0.423,0.47,0.487,0.431
"P04","Realizo changas o trabajos de vez en cuando",0.172,0.153,0.278,0.238,0.236
"P04","No tengo trabajo",0.141,0.155,0.176,0.165,0.178
"P04","Soy jubilado o pensionado",0.18,0.269,0.076,0.11,0.155
"P05","1",0.182,0.372,0.409,0.214,0.247
"P05","2",0.069,0.094,0.116,0.025,0.064
"P05","3",0.034,0.086,0.061,0.044,0.054
"P05","4",0.044,0.12,0.085,0.062,0.07
"P05","5",0.146,0.19,0.181,0.13,0.244
"P05","6",0.076,0.035,0.017,0.022,0.06
"P05","7",0.155,0.032,0.023,0.115,0.071
"P05","8",0.095,0.022,0.02,0.093,0.039
"P05","9",0.199,0.049,0.088,0.295,0.151
"P06","1",0.409,0.158,0.153,0.266,0.298
"P06","2",0.083,0.033,0.041,0.136,0.062
"P06","3",0.082,0.036,0.026,0.104,0.063
"P06","4",0.072,0.034,0.036,0.05,0.055
"P06","5",0.16,0.215,0.152,0.173,0.26
"P06","6",0.043,0.062,0.049,0.023,0.048
"P06","7",0.034,0.111,0.09,0.016,0.061
"P06","8",0.022,0.083,0.081,0.031,0.029
"P06","9",0.095,0.268,0.372,0.201,0.124
"P07","1",0.64,0.2,0.194,0.636,0.369
"P07","2",0.026,0.033,0.02,0.057,0.038
"P07","3",0.042,0.036,0.026,0.03,0.033
"P07","4",0.021,0.035,0.017,0.011,0.023
"P07","5",0.055,0.146,0.128,0.072,0.127
"P07","6",0.02,0.029,0.044,0.007,0.018
"P07","7",0.016,0.046,0.054,0.003,0.047
"P07","8",0.009,0.051,0.066,0.03,0.03
"P07","9",0.171,0.424,0.451,0.154,0.315
"P09","Del Frente de Todos y el peronismo",0.871,0.033,0.057,0.376,0.396
"P09","De Juntos por el cambio",0.041,0.791,0.091,0.142,0.162
"P09","De los Liberales libertarios",0.013,0.099,0.744,0.027,0.043
"P09","De la Izquierda",0.01,0.004,0.01,0.355,0.017
"P09","No sabe",0.065,0.073,0.098,0.1,0.382
"P10","A Alberto Fernández",0.122,0.245,0.106,0.039,0.198
"P10","A Sergio Massa",0.239,0.085,0.345,0.135,0.219
"P10","A algún candidato del peronismo",0.145,0.67,0.31,0.169,0.206
"P10","A algún candidato del kirchnerismo",0.494,0,0.239,0.657,0.377
"P11","A Alberto Fernández",0.08,0.223,0.176,0.049,0.186
"P11","A Sergio Massa",0.12,0.106,0.466,0.098,0.159
"P11","A algún candidato del peronismo",0.098,0.581,0.104,0.111,0.162
"P11","A Cristina Fernández de Kirchner",0.702,0.09,0.254,0.742,0.493
"P12","A Horacio Rodriguez Larreta",0.272,0.225,0.378,0.551,0.514
"P12","A Patricia Bullrich",0.008,0.698,0.377,0.22,0.18
"P12","A Facundo Manes",0.386,0.03,0.222,0.136,0.143
"P12","A Gerardo Morales",0.334,0.047,0.023,0.093,0.163
"P13","Lo votaría",0.343,0.048,0.035,0.105,0.169
"P13","Puede que lo vote",0.412,0.111,0.097,0.213,0.206
"P13","Nunca lo votaría",0.102,0.813,0.801,0.493,0.403
"P13","No sabe",0.143,0.028,0.067,0.189,0.222
"P14","Lo votaría",0.254,0.017,0.032,0.057,0.14
"P14","Puede que lo vote",0.418,0.021,0.039,0.231,0.17
"P14","Nunca lo votaría",0.22,0.945,0.902,0.614,0.491
"P14","No sabe",0.108,0.017,0.027,0.098,0.199
"P15","Lo votaría",0.042,0.249,0.058,0.047,0.081
"P15","Puede que lo vote",0.093,0.386,0.209,0.143,0.201
"P15","Nunca lo votaría",0.833,0.314,0.669,0.755,0.547
"P15","No sabe",0.032,0.051,0.064,0.055,0.171
"P16","Lo votaría",0.04,0.115,0.084,0.122,0.057
"P16","Puede que lo vote",0.129,0.345,0.179,0.138,0.195
"P16","Nunca lo votaría",0.719,0.451,0.637,0.628,0.5
"P16","No sabe",0.112,0.089,0.1,0.112,0.248
"P17","La votaría",0.021,0.681,0.193,0.054,0.047
"P17","Puede que la vote",0.031,0.202,0.361,0.058,0.087
"P17","Nunca la votaría",0.909,0.092,0.395,0.852,0.691
"P17","No sabe",0.039,0.025,0.051,0.036,0.175
"P18","Lo votaría",0.019,0.2,0.757,0.046,0.038
"P18","Puede que lo vote",0.036,0.301,0.155,0.048,0.121
"P18","Nunca lo votaría",0.921,0.447,0.072,0.885,0.7
"P18","No sabe",0.024,0.052,0.016,0.021,0.141
"P19","La votaría",0.04,0.236,0.166,0.043,0.067
"P19","Puede que la vote",0.043,0.378,0.229,0.124,0.135
"P19","Nunca la votaría",0.872,0.314,0.555,0.794,0.632
"P19","No sabe",0.045,0.072,0.05,0.039,0.166
"P20","Lo votaría",0.367,0.049,0.025,0.175,0.083
"P20","Puede que lo vote",0.334,0.085,0.077,0.28,0.154
"P20","Nunca lo votaría",0.222,0.815,0.806,0.462,0.539
"P20","No sabe",0.077,0.051,0.092,0.083,0.224
"P21","Lo votaría",0.353,0.024,0.034,0.053,0.05
"P21","Puede que lo vote",0.504,0.025,0.056,0.211,0.193
"P21","Nunca lo votaría",0.089,0.932,0.884,0.635,0.55
"P21","No sabe",0.054,0.019,0.026,0.101,0.207
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.144,0.037,0.108,0.105
"P22","Patricia Bullrich por Juntos por el Cambio",0.007,0.717,0.049,0.011,0.031
"P22","Facundo Manes por Juntos por el Cambio",0.018,0.049,0.042,0.101,0.088
"P22","Alberto Fernández por el Frente de Todos",0.119,0.009,0.018,0.047,0.115
"P22","Sergio Massa por el Frente de Todos",0.201,0.009,0.017,0.06,0.129
"P22","Wado de Pedro por el Frente de Todos",0.351,0.009,0.011,0.222,0.128
"P22","Daniel Scioli por el Frente de Todos",0.224,0.006,0.018,0.053,0.049
"P22","Javier Milei por los liberales libertarios",0.002,0.03,0.781,0.005,0.036
"P22","Al candidato del Frente de Izquierda",0.02,0.003,0,0.347,0.003
"P22","No sabe",0.049,0.024,0.027,0.046,0.316
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.123,0.032,0.08,0.083
"P23","Patricia Bullrich por Juntos por el Cambio",0.003,0.672,0.048,0.011,0.031
"P23","María Eugenia Vidal por Juntos por el Cambio",0.012,0.091,0.039,0.036,0.066
"P23","Facundo Manes por Juntos por el Cambio",0.026,0.042,0.027,0.103,0.08
"P23","Sergio Massa por el Frente de Todos",0.249,0.008,0.018,0.074,0.189
"P23","Wado de Pedro por el Frente de Todos",0.38,0.01,0.011,0.259,0.123
"P23","Daniel Scioli por el Frente de Todos",0.252,0.007,0.018,0.051,0.05
"P23","Javier Milei por los liberales libertarios",0.002,0.029,0.794,0.002,0.029
"P23","Al candidato del Frente de Izquierda",0.022,0.002,0,0.338,0.006
"P23","No sabe",0.033,0.016,0.013,0.046,0.343
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.132,0.03,0.076,0.072
"P24","Patricia Bullrich por Juntos por el Cambio",0.005,0.68,0.039,0.033,0.031
"P24","María Eugenia Vidal por Juntos por el Cambio",0.013,0.094,0.034,0.021,0.054
"P24","Facundo Manes por Juntos por el Cambio",0.027,0.037,0.03,0.103,0.096
"P24","Sergio Massa por el Frente de Todos",0.286,0.001,0.009,0.09,0.141
"P24","Wado de Pedro por el Frente de Todos",0.431,0.008,0.007,0.258,0.12
"P24","Alberto Fernández por el Frente de Todos",0.169,0.012,0.03,0.038,0.154
"P24","Javier Milei por los liberales libertarios",0.006,0.023,0.807,0.014,0.027
"P24","Al candidato del Frente de Izquierda",0.009,0.002,0.001,0.32,0.005
"P24","No sabe",0.037,0.011,0.013,0.047,0.3
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.142,0.032,0.108,0.093
"P25","Patricia Bullrich por Juntos por el Cambio",0.009,0.588,0.048,0.036,0.017
"P25","Facundo Manes por Juntos por el Cambio",0.011,0.179,0.021,0.067,0.093
"P25","Sergio Massa por el Frente de Todos",0.239,0.01,0.025,0.06,0.163
"P25","Wado de Pedro por el Frente de Todos",0.377,0.004,0.023,0.25,0.136
"P25","Daniel Scioli por el Frente de Todos",0.289,0.01,0.017,0.066,0.084
"P25","Javier Milei por los liberales libertario",0.021,0.042,0.427,0.029,0.064
"P25","Al candidato del Frente de Izquierda",0.006,0.012,0.397,0.212,0.014
"P25","No sabe",0.028,0.013,0.01,0.172,0.336
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.196,0.038,0.11,0.126
"P26","Patricia Bulrich por Juntos por el Cambio",0.026,0.687,0.053,0.009,0.044
"P26","Alberto Fernández por el Frente de Todos",0.217,0.012,0.027,0.074,0.161
