"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.444,0.428,0.484,0.429
"P04","Realizo changas o trabajos de vez en cuando",0.237,0.156,0.262,0.267
"P04","No tengo trabajo",0.177,0.168,0.133,0.142
"P04","Soy jubilado o pensionado",0.142,0.248,0.121,0.162
"P05","1",0.347,0.407,0.209,0.297
"P05","2",0.093,0.088,0.091,0.077
"P05","3",0.052,0.082,0.09,0.071
"P05","4",0.085,0.096,0.106,0.057
"P05","5",0.193,0.173,0.227,0.226
"P05","6",0.032,0.032,0.093,0.045
"P05","7",0.04,0.025,0.055,0.095
"P05","8",0.035,0.024,0.053,0.003
"P05","9",0.123,0.073,0.076,0.129
"P06","1",0.234,0.169,0.158,0.169
"P06","2",0.038,0.037,0.068,0.036
"P06","3",0.035,0.024,0.046,0.049
"P06","4",0.036,0.031,0.039,0.042
"P06","5",0.217,0.189,0.273,0.337
"P06","6",0.076,0.054,0.065,0.084
"P06","7",0.08,0.091,0.113,0.07
"P06","8",0.05,0.093,0.062,0.061
"P06","9",0.234,0.312,0.176,0.152
"P07","1",0.288,0.206,0.328,0.342
"P07","2",0.031,0.038,0.031,0.031
"P07","3",0.042,0.032,0.052,0.052
"P07","4",0.04,0.017,0.074,0.025
"P07","5",0.122,0.131,0.139,0.141
"P07","6",0.023,0.037,0.021,0.024
"P07","7",0.036,0.048,0.027,0.029
"P07","8",0.033,0.051,0.058,0.021
"P07","9",0.385,0.44,0.27,0.335
"P13","Lo votaría",0.162,0.019,0.108,0.13
"P13","Puede que lo vote",0.108,0.163,0.148,0.107
"P13","Nunca lo votaría",0.665,0.78,0.669,0.599
"P13","No sabe",0.065,0.038,0.075,0.164
"P14","Lo votaría",0.095,0.018,0.071,0.102
"P14","Puede que lo vote",0.051,0.032,0.131,0.109
"P14","Nunca lo votaría",0.818,0.932,0.732,0.752
"P14","No sabe",0.036,0.018,0.066,0.037
"P15","Lo votaría",0.531,0.174,0.153,0.18
"P15","Puede que lo vote",0.236,0.459,0.403,0.439
"P15","Nunca lo votaría",0.188,0.322,0.399,0.304
"P15","No sabe",0.045,0.045,0.045,0.077
"P16","Lo votaría",0.134,0.078,0.475,0.187
"P16","Puede que lo vote",0.352,0.338,0.294,0.331
"P16","Nunca lo votaría",0.383,0.485,0.191,0.37
"P16","No sabe",0.131,0.099,0.04,0.112
"P17","La votaría",0.301,0.769,0.218,0.241
"P17","Puede que la vote",0.345,0.116,0.244,0.288
"P17","Nunca la votaría",0.291,0.08,0.514,0.384
"P17","No sabe",0.063,0.035,0.024,0.087
"P18","Lo votaría",0.169,0.177,0.172,0.075
"P18","Puede que lo vote",0.288,0.337,0.197,0.194
"P18","Nunca lo votaría",0.486,0.427,0.572,0.634
"P18","No sabe",0.057,0.059,0.059,0.097
"P19","La votaría",0.274,0.222,0.231,0.177
"P19","Puede que la vote",0.348,0.407,0.263,0.226
"P19","Nunca la votaría",0.316,0.301,0.448,0.436
"P19","No sabe",0.062,0.07,0.058,0.161
"P20","Lo votaría",0.059,0.03,0.094,0.031
"P20","Puede que lo vote",0.146,0.061,0.187,0.126
"P20","Nunca lo votaría",0.687,0.855,0.636,0.685
"P20","No sabe",0.108,0.054,0.083,0.158
"P21","Lo votaría",0.026,0.012,0.084,0.029
"P21","Puede que lo vote",0.104,0.025,0.167,0.114
"P21","Nunca lo votaría",0.826,0.928,0.73,0.768
"P21","No sabe",0.044,0.035,0.019,0.089
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.611,0.041,0.051,0.208
"P22","Patricia Bullrich por Juntos por el Cambio",0.2,0.848,0.058,0.221
"P22","Facundo Manes por Juntos por el Cambio",0.043,0.014,0.546,0.121
"P22","Alberto Fernández por el Frente de Todos",0.048,0.009,0.039,0.111
"P22","Sergio Massa por el Frente de Todos",0.01,0.003,0.031,0.058
"P22","Wado de Pedro por el Frente de Todos",0.009,0.006,0.069,0.038
"P22","Daniel Scioli por el Frente de Todos",0.022,0.004,0.04,0.03
"P22","Javier Milei por los liberales libertarios",0.034,0.056,0.121,0.049
"P22","Al candidato del Frente de Izquierda",0,0.002,0.003,0.005
"P22","No sabe",0.023,0.017,0.042,0.159
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.562,0.027,0.051,0.204
"P23","Patricia Bullrich por Juntos por el Cambio",0.175,0.812,0.06,0.184
"P23","María Eugenia Vidal por Juntos por el Cambio",0.102,0.068,0.205,0.19
"P23","Facundo Manes por Juntos por el Cambio",0.047,0.014,0.345,0.15
"P23","Sergio Massa por el Frente de Todos",0.013,0.003,0.042,0.078
"P23","Wado de Pedro por el Frente de Todos",0.005,0.005,0.093,0.03
"P23","Daniel Scioli por el Frente de Todos",0.025,0.003,0.057,0.011
"P23","Javier Milei por los liberales libertarios",0.033,0.052,0.118,0.041
"P23","Al candidato del Frente de Izquierda",0.007,0,0.003,0.003
"P23","No sabe",0.031,0.016,0.026,0.109
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.543,0.032,0.113,0.222
"P24","Patricia Bullrich por Juntos por el Cambio",0.193,0.825,0.05,0.21
"P24","María Eugenia Vidal por Juntos por el Cambio",0.109,0.068,0.106,0.15
"P24","Facundo Manes por Juntos por el Cambio",0.029,0.013,0.409,0.117
"P24","Sergio Massa por el Frente de Todos",0.016,0.001,0.035,0.097
"P24","Wado de Pedro por el Frente de Todos",0.009,0.002,0.085,0.032
"P24","Alberto Fernández por el Frente de Todos",0.035,0.004,0.06,0.017
"P24","Javier Milei por los liberales libertarios",0.041,0.042,0.115,0.048
"P24","Al candidato del Frente de Izquierda",0.001,0,0.003,0.006
"P24","No sabe",0.024,0.013,0.024,0.101
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.482,0.037,0.157,0.233
"P25","Patricia Bullrich por Juntos por el Cambio",0.128,0.717,0.06,0.208
"P25","Facundo Manes por Juntos por el Cambio",0.125,0.173,0.244,0.144
"P25","Sergio Massa por el Frente de Todos",0.014,0.002,0.107,0.043
"P25","Wado de Pedro por el Frente de Todos",0.017,0.001,0.065,0.075
"P25","Daniel Scioli por el Frente de Todos",0.013,0.004,0.11,0.035
"P25","Javier Milei por los liberales libertario",0.155,0.026,0.141,0.075
"P25","Al candidato del Frente de Izquierda",0.023,0.026,0.072,0.036
"P25","No sabe",0.043,0.014,0.044,0.151
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.566,0.078,0.261,0.31
"P26","Patricia Bulrich por Juntos por el Cambio",0.199,0.816,0.103,0.217
"P26","Alberto Fernández por el Frente de Todos",0.047,0.008,0.058,0.064
"P26","Sergio Massa por el Frente de Todos",0.018,0.003,0.135,0.091
"P26","Javier Milei por los liberales libertarios",0.068,0.066,0.228,0.077
"P26","Al candidato del Frente de Izquierda",0.05,0.006,0.061,0.008
"P26","No sabe",0.052,0.023,0.154,0.233
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.621,0.055,0.237,0.403
"P27","Patricia Bullrich por Juntos por el Cambio",0.235,0.86,0.148,0.223
"P27","Wado de Pedro por el Frente de Todos",0.005,0.004,0.127,0.017
"P27","Sergio Massa por el Frente de Todos",0.018,0.001,0.15,0.076
"P27","Javier Milei por los liberales libertarios",0.053,0.06,0.214,0.018
"P27","Al candidato del Frente de Izquierda",0.002,0.006,0.014,0.004
"P27","No sabe",0.066,0.014,0.11,0.259
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.605,0.054,0.275,0.366
"P28","Patricia Bullrich por Juntos por el Cambio",0.259,0.857,0.176,0.267
"P28","Wado de Pedro por el Frente de Todos",0.018,0.001,0.13,0.051
"P28","Daniel Scioli por el Frente de Todos",0.016,0,0.118,0.054
"P28","Javier Milei por los liberales libertarios",0.04,0.057,0.206,0.015
"P28","Al candidato del Frente de Izquierda",0.003,0.006,0.024,0.007
"P28","No sabe",0.059,0.025,0.071,0.24
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.674,0.157,0.298,0.543
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.203,0.743,0.172,0.117
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.025,0.006,0.099,0.117
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.007,0.003,0.174,0.048
"P29","Javier Milei presidente y su candidato a vice",0.049,0.063,0.17,0
"P29","A los candidatos de la izquierda",0.004,0,0.006,0.007
"P29","No sabe",0.038,0.028,0.081,0.168
"P30","Alberto Fernández por el Frente de Todos",0.08,0.021,0.187,0.163
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.778,0.508,0.389,0.5
"P30","Javier Milei por los liberales libertarios",0.071,0.241,0.225,0.023
"P30","Al candidato del Frente de Izquierda",0.01,0.015,0.093,0.023
"P30","No sabe",0.061,0.215,0.106,0.291
"P31","Sergio Massa por el Frente de Todos",0.034,0.009,0.168,0.111
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.796,0.545,0.466,0.614
"P31","Javier Milei por los liberales libertarios",0.1,0.255,0.227,0.029
"P31","Al candidato del Frente de Izquierda",0.008,0.011,0.026,0.052
"P31","No sabe",0.062,0.18,0.113,0.194
"P32","Wado de Pedro por el Frente de Todos",0.026,0.003,0.256,0.093
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.798,0.574,0.412,0.683
"P32","Javier Milei por los liberales libertarios",0.101,0.243,0.193,0.034
"P32","Al candidato del Frente de Izquierda",0.009,0.011,0.016,0.008
"P32","No sabe",0.066,0.169,0.123,0.182
"P33","Daniel Scioli por el Frente de Todos",0.028,0.009,0.244,0.16
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.794,0.6,0.42,0.643
"P33","Javier Milei por los liberales libertarios",0.096,0.229,0.224,0.023
"P33","Al candidato del Frente de Izquierda",0.007,0.015,0.022,0.015
"P33","No sabe",0.075,0.147,0.09,0.159
"P34","Sergio Massa por el Frente de Todos",0.067,0.002,0.212,0.141
