"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.429,0.398,0.495,0.474,0.485,0.408,0.376
"P04","Realizo changas o trabajos de vez en cuando",0.191,0.146,0.174,0.226,0.279,0.234,0.254
"P04","No tengo trabajo",0.194,0.16,0.155,0.125,0.176,0.231,0.226
"P04","Soy jubilado o pensionado",0.186,0.296,0.176,0.175,0.06,0.127,0.144
"P05","1",0.334,0.38,0.125,0.248,0.407,0.197,0.278
"P05","2",0.086,0.086,0.056,0.083,0.111,0.071,0.072
"P05","3",0.059,0.089,0.034,0.042,0.075,0.023,0.047
"P05","4",0.104,0.116,0.058,0.05,0.068,0.079,0.053
"P05","5",0.228,0.178,0.123,0.141,0.187,0.202,0.264
"P05","6",0.043,0.041,0.074,0.07,0.023,0.012,0.046
"P05","7",0.047,0.027,0.171,0.102,0.02,0.105,0.054
"P05","8",0.019,0.024,0.12,0.06,0.02,0.063,0.037
"P05","9",0.08,0.059,0.239,0.204,0.089,0.248,0.149
"P06","1",0.212,0.155,0.43,0.37,0.14,0.326,0.321
"P06","2",0.044,0.034,0.081,0.085,0.051,0.091,0.051
"P06","3",0.041,0.038,0.094,0.062,0.029,0.049,0.044
"P06","4",0.046,0.033,0.061,0.061,0.036,0.046,0.044
"P06","5",0.241,0.201,0.155,0.175,0.177,0.228,0.265
"P06","6",0.079,0.054,0.028,0.045,0.047,0.01,0.043
"P06","7",0.077,0.099,0.041,0.043,0.074,0.038,0.038
"P06","8",0.051,0.094,0.02,0.028,0.08,0.027,0.025
"P06","9",0.209,0.292,0.09,0.131,0.366,0.185,0.169
"P07","1",0.308,0.198,0.708,0.512,0.19,0.525,0.329
"P07","2",0.053,0.025,0.025,0.047,0.022,0.074,0.018
"P07","3",0.032,0.034,0.04,0.046,0.03,0.029,0.015
"P07","4",0.037,0.023,0.024,0.023,0.021,0.004,0.025
"P07","5",0.121,0.141,0.066,0.082,0.135,0.112,0.117
"P07","6",0.022,0.031,0.021,0.026,0.043,0.007,0.021
"P07","7",0.03,0.049,0.016,0.032,0.04,0.001,0.032
"P07","8",0.037,0.054,0.009,0.006,0.06,0.014,0.023
"P07","9",0.36,0.445,0.091,0.226,0.459,0.234,0.42
"P09","Del Frente de Todos y el peronismo",0.096,0.036,0.875,0.768,0.058,0.267,0.363
"P09","De Juntos por el cambio",0.689,0.786,0.038,0.035,0.073,0.058,0.15
"P09","De los Liberales libertarios",0.067,0.091,0.018,0.055,0.763,0.069,0.036
"P09","De la Izquierda",0.015,0.011,0.021,0.022,0.018,0.46,0.013
"P09","No sabe",0.133,0.076,0.048,0.12,0.088,0.146,0.438
"P10","A Alberto Fernández",0.299,0.268,0.079,0.186,0.15,0.078,0.311
"P10","A Sergio Massa",0.3,0.245,0.173,0.261,0.378,0.106,0.241
"P10","A algún candidato del peronismo",0.294,0.44,0.113,0.228,0.333,0.233,0.167
"P10","A algún candidato del kirchnerismo",0.107,0.047,0.635,0.325,0.139,0.583,0.281
"P11","A Alberto Fernández",0.26,0.255,0.041,0.143,0.174,0.056,0.254
"P11","A Sergio Massa",0.267,0.15,0.087,0.163,0.26,0.031,0.19
"P11","A algún candidato del peronismo",0.31,0.512,0.066,0.163,0.152,0.206,0.158
"P11","A Cristina Fernández de Kirchner",0.163,0.083,0.806,0.531,0.414,0.707,0.398
"P12","A Horacio Rodriguez Larreta",0.684,0.114,0.27,0.258,0.179,0.107,0.309
"P12","A Patricia Bullrich",0.136,0.838,0.043,0.009,0.562,0.543,0.294
"P12","A Facundo Manes",0.083,0.02,0.511,0.522,0.243,0.275,0.099
"P12","A Gerardo Morales",0.097,0.028,0.176,0.211,0.016,0.075,0.298
"P13","Lo votaría",0.116,0.03,0.254,0.361,0.043,0.152,0.15
"P13","Puede que lo vote",0.121,0.118,0.401,0.36,0.071,0.164,0.229
"P13","Nunca lo votaría",0.703,0.814,0.166,0.142,0.811,0.434,0.355
"P13","No sabe",0.06,0.038,0.179,0.137,0.075,0.25,0.266
"P14","Lo votaría",0.051,0.013,0.189,0.323,0.026,0.102,0.129
"P14","Puede que lo vote",0.044,0.026,0.411,0.326,0.043,0.207,0.173
"P14","Nunca lo votaría",0.873,0.937,0.281,0.247,0.888,0.52,0.467
"P14","No sabe",0.032,0.024,0.119,0.104,0.043,0.171,0.231
"P15","Lo votaría",0.554,0.18,0.015,0.063,0.02,0.07,0.045
"P15","Puede que lo vote",0.274,0.429,0.08,0.11,0.199,0.104,0.132
"P15","Nunca lo votaría",0.142,0.332,0.878,0.738,0.728,0.725,0.599
"P15","No sabe",0.03,0.059,0.027,0.089,0.053,0.101,0.224
"P16","Lo votaría",0.203,0.095,0.026,0.086,0.052,0.114,0.064
"P16","Puede que lo vote",0.333,0.33,0.109,0.132,0.185,0.134,0.163
"P16","Nunca lo votaría",0.304,0.478,0.776,0.62,0.662,0.618,0.492
"P16","No sabe",0.16,0.097,0.089,0.162,0.101,0.134,0.281
"P17","La votaría",0.279,0.734,0.012,0.057,0.179,0.109,0.058
"P17","Puede que la vote",0.345,0.152,0.029,0.037,0.339,0.103,0.09
"P17","Nunca la votaría",0.326,0.084,0.938,0.837,0.422,0.731,0.612
"P17","No sabe",0.05,0.03,0.021,0.069,0.06,0.057,0.24
"P18","Lo votaría",0.151,0.196,0.023,0.057,0.763,0.104,0.032
"P18","Puede que lo vote",0.25,0.314,0.027,0.039,0.133,0.058,0.118
"P18","Nunca lo votaría",0.542,0.437,0.935,0.855,0.09,0.768,0.64
"P18","No sabe",0.057,0.053,0.015,0.049,0.014,0.07,0.21
"P19","La votaría",0.285,0.212,0.033,0.067,0.131,0.05,0.058
"P19","Puede que la vote",0.296,0.391,0.027,0.056,0.223,0.106,0.116
"P19","Nunca la votaría",0.349,0.32,0.901,0.79,0.583,0.762,0.616
"P19","No sabe",0.07,0.077,0.039,0.087,0.063,0.082,0.21
"P20","Lo votaría",0.07,0.038,0.502,0.19,0.015,0.133,0.034
"P20","Puede que lo vote",0.103,0.086,0.306,0.311,0.06,0.25,0.144
"P20","Nunca lo votaría",0.708,0.823,0.155,0.378,0.816,0.501,0.527
"P20","No sabe",0.119,0.053,0.037,0.121,0.109,0.116,0.295
"P21","Lo votaría",0.038,0.01,0.234,0.443,0.019,0.087,0.049
"P21","Puede que lo vote",0.061,0.035,0.504,0.342,0.064,0.251,0.187
"P21","Nunca lo votaría",0.843,0.928,0.19,0.133,0.88,0.551,0.522
"P21","No sabe",0.058,0.027,0.072,0.082,0.037,0.111,0.242
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.626,0.028,0.006,0.015,0.008,0.004,0.034
"P22","Patricia Bullrich por Juntos por el Cambio",0.105,0.845,0.005,0.005,0.061,0.027,0.045
"P22","Facundo Manes por Juntos por el Cambio",0.102,0.042,0.02,0.02,0.028,0.107,0.071
"P22","Alberto Fernández por el Frente de Todos",0.034,0.008,0.068,0.16,0.021,0.038,0.187
"P22","Sergio Massa por el Frente de Todos",0.03,0.011,0.126,0.226,0.03,0.051,0.148
"P22","Wado de Pedro por el Frente de Todos",0.009,0.007,0.637,0.093,0.006,0.189,0.028
"P22","Daniel Scioli por el Frente de Todos",0.007,0.005,0.074,0.385,0.01,0.037,0.049
"P22","Javier Milei por los liberales libertarios",0.044,0.021,0.006,0.007,0.807,0.052,0.026
"P22","Al candidato del Frente de Izquierda",0.003,0.005,0.027,0.015,0,0.41,0.024
"P22","No sabe",0.04,0.028,0.031,0.074,0.029,0.085,0.388
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.558,0.026,0.003,0.009,0.004,0.005,0.032
"P23","Patricia Bullrich por Juntos por el Cambio",0.073,0.809,0.008,0.011,0.052,0.014,0.061
"P23","María Eugenia Vidal por Juntos por el Cambio",0.17,0.075,0.017,0.016,0.031,0.011,0.06
"P23","Facundo Manes por Juntos por el Cambio",0.068,0.027,0.013,0.044,0.026,0.108,0.073
"P23","Sergio Massa por el Frente de Todos",0.039,0.014,0.157,0.277,0.035,0.071,0.181
"P23","Wado de Pedro por el Frente de Todos",0.006,0.006,0.67,0.097,0.007,0.194,0.023
"P23","Daniel Scioli por el Frente de Todos",0.019,0.006,0.058,0.464,0.005,0.024,0.054
"P23","Javier Milei por los liberales libertarios",0.032,0.018,0.005,0.008,0.822,0.05,0.026
"P23","Al candidato del Frente de Izquierda",0.005,0.001,0.034,0.008,0.003,0.428,0.013
"P23","No sabe",0.03,0.018,0.035,0.066,0.015,0.095,0.477
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.564,0.027,0.002,0.012,0.009,0.019,0.048
"P24","Patricia Bullrich por Juntos por el Cambio",0.069,0.817,0.005,0.011,0.055,0.007,0.047
"P24","María Eugenia Vidal por Juntos por el Cambio",0.151,0.077,0.015,0.015,0.025,0.033,0.04
"P24","Facundo Manes por Juntos por el Cambio",0.077,0.03,0.017,0.038,0.017,0.117,0.078
"P24","Sergio Massa por el Frente de Todos",0.04,0.004,0.164,0.331,0.027,0.045,0.169
"P24","Wado de Pedro por el Frente de Todos",0.002,0.003,0.705,0.161,0.007,0.159,0.029
"P24","Alberto Fernández por el Frente de Todos",0.035,0.012,0.056,0.329,0.02,0.041,0.178
"P24","Javier Milei por los liberales libertarios",0.035,0.016,0.006,0.01,0.823,0.076,0.023
"P24","Al candidato del Frente de Izquierda",0,0,0.015,0.012,0.004,0.402,0.01
"P24","No sabe",0.027,0.014,0.015,0.081,0.013,0.101,0.378
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.562,0.036,0.003,0.011,0.008,0.035,0.053
"P25","Patricia Bullrich por Juntos por el Cambio",0.098,0.706,0.009,0.008,0.032,0.046,0.057
"P25","Facundo Manes por Juntos por el Cambio",0.083,0.195,0.012,0.012,0.036,0.054,0.083
"P25","Sergio Massa por el Frente de Todos",0.049,0.009,0.155,0.306,0.014,0.043,0.184
"P25","Wado de Pedro por el Frente de Todos",0.017,0.005,0.67,0.114,0.031,0.067,0.042
"P25","Daniel Scioli por el Frente de Todos",0.024,0.008,0.11,0.437,0.011,0.149,0.077
"P25","Javier Milei por los liberales libertario",0.119,0.024,0.003,0.041,0.399,0.044,0.051
"P25","Al candidato del Frente de Izquierda",0.016,0.007,0.01,0.02,0.457,0.253,0.007
"P25","No sabe",0.032,0.01,0.028,0.051,0.012,0.309,0.446
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.736,0.069,0.009,0.004,0.008,0.008,0.028
"P26","Patricia Bulrich por Juntos por el Cambio",0.078,0.839,0.028,0.032,0.033,0.019,0.058
"P26","Alberto Fernández por el Frente de Todos",0.039,0.014,0.186,0.298,0.016,0.035,0.191
"P26","Sergio Massa por el Frente de Todos",0.029,0.007,0.495,0.468,0.025,0.082,0.138
"P26","Javier Milei por los liberales libertarios",0.033,0.048,0.029,0.033,0.85,0.047,0.029
"P26","Al candidato del Frente de Izquierda",0.055,0.005,0.091,0.049,0.013,0.709,0.014
"P26","No sabe",0.03,0.018,0.162,0.116,0.055,0.1,0.542
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.822,0.031,0.009,0.016,0.006,0.019,0.034
"P27","Patricia Bullrich por Juntos por el Cambio",0.065,0.912,0.01,0.005,0.028,0.009,0.04
"P27","Wado de Pedro por el Frente de Todos",0.015,0.008,0.713,0.202,0.004,0.021,0.036
"P27","Sergio Massa por el Frente de Todos",0.049,0.009,0.207,0.608,0.022,0.059,0.195
"P27","Javier Milei por los liberales libertarios",0.026,0.031,0.006,0.019,0.921,0.019,0.017
"P27","Al candidato del Frente de Izquierda",0.004,0.002,0.02,0.02,0.004,0.784,0.018
"P27","No sabe",0.019,0.007,0.035,0.13,0.015,0.089,0.66
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.731,0.182,0.015,0.008,0.014,0.021,0.05
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.148,0.728,0.008,0.007,0.025,0.042,0.029
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.051,0.012,0.18,0.517,0.017,0.055,0.17
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.017,0.006,0.713,0.324,0.015,0.061,0.052
"P29","Javier Milei presidente y su candidato a vice",0.017,0.031,0.004,0.015,0.911,0.089,0.026
"P29","A los candidatos de la izquierda",0.002,0.001,0.017,0.013,0.005,0.612,0.011
