"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P23","María Eugenia Vidal por Juntos por el Cambio",0.033,0.139,0.027,0.043,0.025
"P23","Facundo Manes por Juntos por el Cambio",0.03,0.057,0.021,0.077,0.054
"P23","Sergio Massa por el Frente de Todos",0.245,0.028,0.019,0.071,0.109
"P23","Wado de Pedro por el Frente de Todos",0.319,0.02,0.013,0.262,0.14
"P23","Daniel Scioli por el Frente de Todos",0.219,0.006,0.017,0.087,0.081
"P23","Javier Milei por los liberales libertarios",0.004,0.013,0.67,0.043,0.05
"P23","Al candidato del Frente de Izquierda",0.015,0.001,0.004,0.305,0.007
"P23","No sabe",0.091,0.019,0.009,0.033,0.214
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.258,0.009,0.034,0.026
"P24","Patricia Bullrich por Juntos por el Cambio",0.028,0.465,0.215,0.067,0.3
"P24","María Eugenia Vidal por Juntos por el Cambio",0.019,0.14,0.027,0.023,0.032
"P24","Facundo Manes por Juntos por el Cambio",0.019,0.065,0.017,0.085,0.062
"P24","Sergio Massa por el Frente de Todos",0.258,0.02,0.015,0.097,0.116
"P24","Wado de Pedro por el Frente de Todos",0.354,0.013,0.008,0.262,0.164
"P24","Alberto Fernández por el Frente de Todos",0.263,0.015,0.024,0.028,0.03
"P24","Javier Milei por los liberales libertarios",0.002,0.011,0.671,0.048,0.052
"P24","Al candidato del Frente de Izquierda",0.005,0.001,0.003,0.307,0.005
"P24","No sabe",0.04,0.012,0.011,0.049,0.213
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.256,0.011,0.065,0.033
"P25","Patricia Bullrich por Juntos por el Cambio",0.026,0.437,0.175,0.073,0.249
"P25","Facundo Manes por Juntos por el Cambio",0.019,0.153,0.058,0.057,0.106
"P25","Sergio Massa por el Frente de Todos",0.231,0.027,0.018,0.068,0.121
"P25","Wado de Pedro por el Frente de Todos",0.339,0.022,0.017,0.224,0.138
"P25","Daniel Scioli por el Frente de Todos",0.26,0.011,0.016,0.108,0.097
"P25","Javier Milei por los liberales libertario",0.023,0.069,0.349,0.026,0.026
"P25","Al candidato del Frente de Izquierda",0.009,0.004,0.344,0.188,0.043
"P25","No sabe",0.07,0.021,0.012,0.191,0.187
