"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.467,0.395,0.35,0.44,0.47,0.526,0.469,0.467,0.395,0.348
"P04","Realizo changas o trabajos de vez en cuando",0.207,0.137,0.283,0.229,0.215,0.15,0.215,0.258,0.289,0.265
"P04","No tengo trabajo",0.159,0.157,0.183,0.147,0.151,0.13,0.143,0.207,0.19,0.258
"P04","Soy jubilado o pensionado",0.167,0.311,0.184,0.184,0.164,0.194,0.173,0.068,0.126,0.129
"P05","1",0.312,0.386,0.409,0.307,0.224,0.126,0.218,0.389,0.219,0.283
"P05","2",0.084,0.084,0.089,0.084,0.083,0.06,0.072,0.104,0.053,0.061
"P05","3",0.06,0.088,0.055,0.042,0.05,0.028,0.04,0.075,0.037,0.066
"P05","4",0.096,0.118,0.075,0.078,0.054,0.045,0.049,0.066,0.055,0.072
"P05","5",0.231,0.177,0.205,0.276,0.201,0.136,0.167,0.178,0.042,0.23
"P05","6",0.041,0.032,0.046,0.067,0.066,0.061,0.063,0.025,0.009,0.044
"P05","7",0.048,0.032,0.02,0.055,0.085,0.169,0.112,0.021,0.074,0.047
"P05","8",0.028,0.024,0.018,0.016,0.052,0.131,0.072,0.029,0.071,0.044
"P05","9",0.1,0.059,0.083,0.075,0.185,0.244,0.207,0.113,0.44,0.153
"P06","1",0.183,0.163,0.216,0.264,0.333,0.457,0.364,0.148,0.372,0.296
"P06","2",0.041,0.036,0.03,0.023,0.07,0.093,0.082,0.062,0.121,0.041
"P06","3",0.029,0.033,0.02,0.044,0.049,0.102,0.09,0.028,0.059,0.055
"P06","4",0.043,0.029,0.036,0.042,0.078,0.044,0.057,0.028,0.03,0.038
"P06","5",0.243,0.187,0.249,0.264,0.214,0.134,0.165,0.16,0.139,0.275
"P06","6",0.07,0.06,0.068,0.057,0.046,0.026,0.041,0.043,0.037,0.042
"P06","7",0.11,0.102,0.056,0.067,0.033,0.028,0.039,0.073,0.04,0.036
"P06","8",0.056,0.096,0.038,0.047,0.021,0.026,0.026,0.074,0.017,0.033
"P06","9",0.225,0.294,0.287,0.192,0.156,0.09,0.136,0.384,0.185,0.184
"P07","1",0.271,0.203,0.269,0.382,0.479,0.728,0.508,0.191,0.665,0.31
"P07","2",0.04,0.03,0.035,0.038,0.033,0.037,0.026,0.023,0.047,0.029
"P07","3",0.032,0.031,0.022,0.039,0.024,0.038,0.049,0.032,0.032,0.02
"P07","4",0.034,0.026,0.029,0.022,0.033,0.015,0.013,0.015,0.008,0.027
"P07","5",0.146,0.137,0.135,0.111,0.09,0.077,0.059,0.123,0.073,0.135
"P07","6",0.029,0.032,0.009,0.027,0.015,0.005,0.033,0.042,0.004,0.033
"P07","7",0.037,0.053,0.032,0.025,0.017,0.009,0.04,0.034,0,0.027
"P07","8",0.034,0.052,0.023,0.026,0.015,0.007,0.014,0.052,0.009,0.025
"P07","9",0.377,0.436,0.446,0.33,0.294,0.084,0.258,0.488,0.162,0.394
