"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.203,0.562,0.466,0.523
"P04","Realizo changas o trabajos de vez en cuando",0.407,0.198,0.199,0.162
"P04","No tengo trabajo",0.273,0.11,0.161,0.111
"P04","Soy jubilado o pensionado",0.117,0.13,0.174,0.204
"P05","1",0.407,0.243,0.272,0.156
"P05","2",0.088,0.094,0.077,0.063
"P05","3",0.035,0.032,0.049,0.03
"P05","4",0.047,0.048,0.092,0.035
"P05","5",0.132,0.203,0.172,0.149
"P05","6",0.017,0.105,0.058,0.065
"P05","7",0.034,0.057,0.083,0.154
"P05","8",0.043,0.027,0.045,0.112
"P05","9",0.197,0.191,0.152,0.236
"P06","1",0.513,0.274,0.281,0.455
"P06","2",0.056,0.088,0.041,0.092
"P06","3",0.025,0.066,0.08,0.09
"P06","4",0.028,0.067,0.052,0.048
"P06","5",0.13,0.256,0.233,0.139
"P06","6",0.028,0.07,0.067,0.023
"P06","7",0.013,0.041,0.039,0.031
"P06","8",0.023,0.028,0.033,0.02
"P06","9",0.184,0.11,0.174,0.102
"P07","1",0.385,0.534,0.417,0.651
"P07","2",0.027,0.035,0.03,0.04
"P07","3",0.026,0.03,0.029,0.039
"P07","4",0.008,0.022,0.02,0.02
"P07","5",0.048,0.113,0.121,0.068
"P07","6",0.043,0.015,0.036,0.014
"P07","7",0.007,0.038,0.037,0.006
"P07","8",0.03,0.011,0.012,0.008
"P07","9",0.426,0.202,0.298,0.154
"P10","A Alberto Fernández",0.79,0.056,0.064,0.092
"P10","A Sergio Massa",0.054,0.811,0.087,0.128
"P10","A algún candidato del peronismo",0.087,0.071,0.767,0.12
"P10","A algún candidato del kirchnerismo",0.069,0.062,0.082,0.66
"P14","Lo votaría",0.732,0.274,0.173,0.18
"P14","Puede que lo vote",0.136,0.374,0.247,0.407
"P14","Nunca lo votaría",0.044,0.285,0.442,0.268
"P14","No sabe",0.088,0.067,0.138,0.145
