"var","categoria","Unidos para Cambiar San Luis","Juntos Avancemos","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P05","Mucho",0.529,0.419,0.592,0.611,0.588,0.312,0.215
"P05","Bastante",0.265,0.353,0.214,0.146,0.096,0.194,0.329
"P05","Poco",0.149,0.16,0.141,0.105,0.225,0.27,0.237
"P05","Nada",0.04,0.061,0.031,0.138,0.062,0.045,0.195
"P05","No sabe",0.017,0.007,0.022,0,0.029,0.179,0.024
"P06","Siempre",0.33,0.284,0.319,0.184,0.4,0.227,0.107
"P06","Casi siempre",0.328,0.361,0.245,0.31,0.111,0.265,0.37
"P06","Casi nunca",0.226,0.273,0.218,0.157,0.226,0.393,0.245
"P06","Nunca, pero esta es una excepción",0.116,0.082,0.218,0.349,0.263,0.115,0.278
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.788,0.319,0.054,0.2,0.119,0.148,0.052
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.534,0.071,0,0.06,0.056,0.036
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.114,0.836,0.023,0.518,0.132,0.229
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0,0.001,0.669,0,0.009,0.009
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.027,0.003,0.006,0.273,0.006,0.08
"P12","En blanco",0,0,0.019,0.077,0.03,0.399,0.064
"P12","No sabe",0.005,0.006,0.016,0.025,0,0.25,0.53
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.226,0.517,0.688,0.296,0.557,0.26,0.41
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.223,0.303,0.132,0.213,0.164,0.065,0.113
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.389,0.109,0.095,0.077,0.129,0.182,0.065
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.082,0.052,0.023,0.348,0.039,0.067,0.099
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.044,0,0.018,0.04,0.111,0.029,0.023
"P15","No sabe",0.036,0.019,0.044,0.026,0,0.397,0.29
"P16","Totalmente seguro.",0.712,0.737,0.824,0.773,0.56,0.366,0.32
"P16","Bastante seguro",0.125,0.144,0.08,0.13,0.028,0.068,0.035
"P16","Algo seguro",0.071,0.062,0.065,0.051,0.107,0.199,0.204
"P16","Para nada seguro",0.092,0.057,0.031,0.046,0.305,0.367,0.441
"P17","Tiene Decidido que va a ir a votar.",0.896,0.878,0.899,0.81,0.887,0.74,0.682
"P17","Tiene dudas sobre si va a ir a  votar",0.099,0.104,0.06,0.19,0.041,0.106,0.177
"P17","Tiene Decidido que no va a ir a votar",0.005,0.018,0.041,0,0.072,0.154,0.141
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.88,0.266,0.238,0.304,0.152,0.174,0.184
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.081,0.685,0.216,0.237,0.084,0.1,0.149
"P18","En blanco",0.007,0.031,0.312,0.209,0.353,0.553,0.112
"P18","No sabe",0.032,0.018,0.234,0.25,0.411,0.173,0.555
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.267,0.692,0.104,0.055,0.084,0.343,0.082
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.093,0.168,0.74,0.114,0.372,0.235,0.348
"P19","En blanco",0.377,0.034,0.061,0.577,0.317,0.182,0.098
"P19","No sabe",0.263,0.106,0.095,0.254,0.227,0.24,0.472
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.837,0.353,0.088,0.131,0.19,0.398,0.162
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.1,0.218,0.828,0.294,0.42,0.364,0.419
"P20","En blanco",0.036,0.209,0.045,0.557,0.182,0.143,0.099
"P20","No sabe",0.027,0.22,0.039,0.018,0.208,0.095,0.32
"P21","Si",0.561,0.579,0.482,0.184,0.491,0.379,0.286
"P21","No",0.439,0.421,0.518,0.816,0.509,0.621,0.714
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.788,0.323,0.054,0.225,0.119,0.187,0.214
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.535,0.071,0,0.06,0.056,0.122
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.114,0.851,0.023,0.518,0.343,0.474
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0,0.002,0.669,0,0.009,0.011
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.028,0.003,0.006,0.273,0.006,0.112
"P12_imputada","En blanco",0,0,0.019,0.077,0.03,0.399,0.067
