"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.329,0.304,0.354,0.304,0.322,0.33,0.389,0.38,0.309,0.292,0.713,0.488,0.048,0.068,0.048,0.342,0.299,0.337
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.166,0.172,0.161,0.056,0.141,0.266,0.281,0.155,0.121,0.253,0.138,0.121,0.642,0.459,0.033,0.153,0.19,0.166
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.328,0.39,0.264,0.406,0.359,0.254,0.215,0.268,0.382,0.319,0.111,0.097,0.258,0.367,0.775,0.319,0.37,0.292
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.016,0.037,0.045,0.032,0.008,0.006,0.025,0.028,0.026,0.002,0.174,0.01,0.044,0.006,0.029,0.022,0.026
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.043,0.014,0.046,0.015,0.036,0.026,0.02,0.04,0.023,0.003,0.09,0.02,0,0.029,0.042,0.019,0.012
"En blanco",0.035,0.031,0.038,0.05,0.026,0.049,0.009,0.06,0.027,0.014,0.007,0,0.015,0.004,0.026,0.029,0.035,0.046
"No sabe",0.087,0.044,0.132,0.093,0.105,0.057,0.074,0.092,0.093,0.073,0.026,0.03,0.007,0.058,0.083,0.086,0.065,0.121
