"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.529,0.454,0.573,0.412,0.394,0.21
"P05","Bastante",0.287,0.307,0.238,0.246,0.184,0.251
"P05","Poco",0.135,0.173,0.134,0.182,0.33,0.26
"P05","Nada",0.046,0.031,0.029,0.136,0.092,0.104
"P05","No sabe",0.003,0.035,0.026,0.024,0,0.175
"P06","Siempre",0.328,0.303,0.299,0.205,0.134,0.133
"P06","Casi siempre",0.279,0.238,0.396,0.224,0.299,0.368
"P06","Casi nunca",0.209,0.303,0.2,0.365,0.436,0.211
"P06","Nunca, pero esta es una excepción",0.184,0.156,0.105,0.206,0.131,0.288
"P09","Unidos para Cambiar San Luis",0.142,0.334,0.608,0.347,0.476,0.123
"P09","Juntos Avancemos",0.227,0.317,0.119,0.153,0.002,0.046
"P09","De los liberales libertarios",0.434,0.199,0.149,0.097,0.193,0.151
"P09","De la Izquierda",0.019,0.033,0.013,0.15,0.045,0.009
"P09","Hacemos por nuestro país",0.035,0.025,0.02,0.017,0.121,0
"P09","En blanco",0.026,0.015,0.045,0.045,0.05,0.217
"P09","No sabe",0.117,0.077,0.046,0.191,0.113,0.454
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.205,0.328,0.592,0.487,0.508,0.165
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.151,0.346,0.129,0.085,0.028,0.022
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.526,0.214,0.152,0.042,0.154,0.215
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.069,0.012,0.15,0.06,0.007
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.01,0.027,0.011,0.159,0.043
"P12","En blanco",0.016,0.014,0.054,0.045,0.023,0.156
"P12","No sabe",0.067,0.019,0.034,0.18,0.068,0.392
"P16","Totalmente seguro.",0.818,0.573,0.685,0.535,0.462,0.36
"P16","Bastante seguro",0.049,0.208,0.103,0.14,0.276,0.027
"P16","Algo seguro",0.058,0.088,0.114,0.057,0.193,0.218
"P16","Para nada seguro",0.075,0.131,0.098,0.268,0.069,0.395
"P17","Tiene Decidido que va a ir a votar.",0.89,0.808,0.907,0.707,0.896,0.792
"P17","Tiene dudas sobre si va a ir a  votar",0.082,0.148,0.049,0.227,0.025,0.116
"P17","Tiene Decidido que no va a ir a votar",0.028,0.044,0.044,0.066,0.079,0.092
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.319,0.344,0.733,0.455,0.656,0.307
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.259,0.457,0.13,0.304,0.1,0.079
"P18","En blanco",0.213,0.059,0.063,0.121,0.149,0.299
"P18","No sabe",0.209,0.14,0.074,0.12,0.095,0.315
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.476,0.217,0.252,0.233,0.121
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.524,0.235,0.163,0.191,0.164,0.236
"P19","En blanco",0.072,0.129,0.334,0.295,0.573,0.232
"P19","No sabe",0.147,0.16,0.286,0.262,0.03,0.411
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.247,0.345,0.695,0.53,0.62,0.308
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.613,0.31,0.158,0.231,0.168,0.258
"P20","En blanco",0.062,0.233,0.063,0.175,0.056,0.049
"P20","No sabe",0.078,0.112,0.084,0.064,0.156,0.385
"P21","Si",0.488,0.564,0.471,0.504,0.581,0.319
"P21","No",0.512,0.436,0.529,0.496,0.419,0.681
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.208,0.336,0.608,0.634,0.508,0.239
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.169,0.35,0.131,0.085,0.06,0.041
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.568,0.221,0.16,0.075,0.154,0.509
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.002,0.069,0.012,0.15,0.06,0.007
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.01,0.035,0.011,0.194,0.043
"P12_imputada","En blanco",0.016,0.014,0.054,0.045,0.024,0.161
