"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.551,0.447,0.574,0.366
"P05","Bastante",0.269,0.375,0.125,0.279
"P05","Poco",0.125,0.143,0.123,0.242
"P05","Nada",0.039,0.035,0.06,0.099
"P05","No sabe",0.016,0,0.118,0.014
"P06","Siempre",0.339,0.252,0.286,0.197
"P06","Casi siempre",0.314,0.389,0.27,0.209
"P06","Casi nunca",0.186,0.29,0.226,0.289
"P06","Nunca, pero esta es una excepción",0.161,0.069,0.218,0.305
"P09","Unidos para Cambiar San Luis",0.611,0.093,0.014,0.055
"P09","Juntos Avancemos",0.128,0.546,0.042,0.022
"P09","De los liberales libertarios",0.16,0.24,0.578,0.395
"P09","De la Izquierda",0.022,0.029,0.042,0.046
"P09","Hacemos por nuestro país",0.011,0.01,0.071,0.075
"P09","En blanco",0.02,0.019,0.174,0.05
"P09","No sabe",0.048,0.063,0.079,0.357
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.698,0.096,0.041,0.068
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.525,0.047,0.024
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.164,0.293,0.658,0.479
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.036,0.031,0.041
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.01,0.029,0.024
"P12","En blanco",0.002,0.001,0.142,0.075
"P12","No sabe",0.026,0.039,0.052,0.289
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.34,0.455,0.622,0.558
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.15,0.329,0.071,0.153
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.335,0.098,0.079,0.085
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.076,0.084,0.056,0.05
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.045,0.011,0.028,0.016
"P15","No sabe",0.054,0.023,0.144,0.138
"P16","Totalmente seguro.",0.752,0.68,0.688,0.59
"P16","Bastante seguro",0.098,0.176,0.063,0.041
"P16","Algo seguro",0.062,0.068,0.103,0.147
"P16","Para nada seguro",0.088,0.076,0.146,0.222
"P17","Tiene Decidido que va a ir a votar.",0.917,0.832,0.83,0.839
"P17","Tiene dudas sobre si va a ir a  votar",0.078,0.157,0.059,0.091
"P17","Tiene Decidido que no va a ir a votar",0.005,0.011,0.111,0.07
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.277,0.562,0.041,0.061
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.144,0.385,0.674,0.468
"P19","En blanco",0.3,0.013,0.25,0.063
"P19","No sabe",0.279,0.04,0.035,0.408
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.776,0.107,0.058,0.075
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.156,0.52,0.741,0.559
"P20","En blanco",0.025,0.195,0.158,0.12
"P20","No sabe",0.043,0.178,0.043,0.246
"P21","Si",0.565,0.508,0.373,0.353
"P21","No",0.435,0.492,0.627,0.647
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.705,0.118,0.046,0.138
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.53,0.047,0.071
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.182,0.299,0.705,0.632
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.035,0.031,0.041
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.017,0.029,0.04
"P12_imputada","En blanco",0.002,0.001,0.142,0.078
