"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Juntos Avancemos",0.21,0.197,0.223,0.151,0.186,0.277,0.283,0.165,0.22,0.255,0.181,0.189,0.693,0.532,0.085,0.177,0.246,0.235
"Unidos para Cambiar San Luis",0.283,0.275,0.291,0.256,0.272,0.274,0.378,0.316,0.252,0.286,0.582,0.449,0.045,0.05,0.048,0.301,0.26,0.272
"De los liberales libertarios",0.265,0.31,0.219,0.338,0.285,0.22,0.144,0.23,0.277,0.293,0.123,0.046,0.124,0.256,0.644,0.277,0.264,0.239
"De la Izquierda",0.027,0.017,0.039,0.037,0.036,0.009,0.014,0.041,0.018,0.025,0.013,0.193,0.01,0.04,0.003,0.025,0.016,0.049
"Hacemos por nuestro país",0.031,0.056,0.005,0.026,0.027,0.042,0.033,0.053,0.023,0.013,0.018,0.05,0,0,0.058,0.032,0.038,0.019
"En blanco",0.05,0.048,0.052,0.086,0.052,0.023,0.022,0.054,0.056,0.037,0.026,0.035,0.016,0.067,0.052,0.067,0.034,0.033
"No sabe",0.134,0.097,0.171,0.106,0.142,0.155,0.126,0.141,0.154,0.091,0.057,0.038,0.112,0.055,0.11,0.121,0.142,0.153
