"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.571,0.532,0.439,0.291
"P05","Bastante",0.275,0.266,0.218,0.421
"P05","Poco",0.11,0.148,0.115,0.219
"P05","Nada",0.023,0.034,0.167,0.047
"P05","No sabe",0.021,0.02,0.061,0.022
"P06","Siempre",0.372,0.248,0.288,0.23
"P06","Casi siempre",0.322,0.333,0.243,0.223
"P06","Casi nunca",0.222,0.244,0.256,0.288
"P06","Nunca, pero esta es una excepción",0.084,0.175,0.213,0.259
"P09","Unidos para Cambiar San Luis",0.638,0.075,0.105,0.072
"P09","Juntos Avancemos",0.184,0.111,0.412,0.404
"P09","De los liberales libertarios",0.066,0.608,0.126,0.103
"P09","De la Izquierda",0.009,0.019,0.14,0.004
"P09","Hacemos por nuestro país",0.014,0.031,0.052,0.056
"P09","En blanco",0.042,0.038,0.057,0.035
"P09","No sabe",0.047,0.118,0.108,0.326
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.759,0.028,0.062,0.097
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.111,0.144,0.486,0.337
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.066,0.706,0.125,0.176
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.038,0.124,0.002
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.018,0.036,0.044
"P12","En blanco",0.016,0.005,0.126,0.037
"P12","No sabe",0.029,0.061,0.041,0.307
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.275,0.668,0.264,0.309
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.174,0.153,0.446,0.2
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.347,0.077,0.118,0.148
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.095,0.041,0.119,0.04
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.051,0.013,0.017,0.045
"P15","No sabe",0.058,0.048,0.036,0.258
"P16","Totalmente seguro.",0.744,0.767,0.529,0.454
"P16","Bastante seguro",0.11,0.077,0.199,0.084
"P16","Algo seguro",0.037,0.084,0.127,0.204
"P16","Para nada seguro",0.109,0.072,0.145,0.258
"P17","Tiene Decidido que va a ir a votar.",0.93,0.902,0.785,0.819
"P17","Tiene dudas sobre si va a ir a  votar",0.052,0.086,0.124,0.118
"P17","Tiene Decidido que no va a ir a votar",0.018,0.012,0.091,0.063
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.877,0.172,0.107,0.17
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.071,0.335,0.486,0.416
"P18","En blanco",0.021,0.266,0.219,0.055
"P18","No sabe",0.031,0.227,0.188,0.359
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.327,0.147,0.473,0.383
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.748,0.103,0.071
"P19","En blanco",0.301,0.057,0.369,0.08
"P19","No sabe",0.297,0.048,0.055,0.466
"P21","Si",0.577,0.47,0.417,0.316
"P21","No",0.423,0.53,0.583,0.684
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.769,0.046,0.076,0.158
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.114,0.146,0.49,0.412
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.747,0.149,0.296
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.038,0.123,0.002
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.018,0.036,0.091
"P12_imputada","En blanco",0.016,0.005,0.126,0.041
