"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.422,0.39,0.456,0.386,0.404,0.429,0.526,0.491,0.396,0.376,0.825,0.492,0.086,0.149,0.154,0.491,0.34,0.374
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.237,0.276,0.2,0.224,0.314,0.35,0.176,0.244,0.374,0.089,0.181,0.802,0.631,0.249,0.207,0.287,0.329
"En blanco",0.153,0.203,0.102,0.204,0.193,0.089,0.054,0.17,0.165,0.116,0.035,0.186,0.087,0.074,0.327,0.122,0.21,0.15
"No sabe",0.169,0.17,0.166,0.21,0.179,0.168,0.07,0.163,0.195,0.134,0.051,0.141,0.025,0.146,0.27,0.18,0.163,0.147
