"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.279,0.271,0.286,0.256,0.233,0.323,0.378,0.235,0.279,0.334,0.311,0.258,0.751,0.492,0.052,0.273,0.285,0.283
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.342,0.398,0.284,0.403,0.395,0.287,0.177,0.273,0.394,0.351,0.141,0.218,0.217,0.324,0.764,0.344,0.369,0.302
"En blanco",0.177,0.17,0.185,0.143,0.186,0.198,0.176,0.203,0.133,0.211,0.252,0.453,0.021,0.072,0.099,0.197,0.183,0.124
"No sabe",0.202,0.161,0.245,0.198,0.186,0.192,0.269,0.289,0.194,0.104,0.296,0.071,0.011,0.112,0.085,0.186,0.163,0.291
