"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.389,0.374,0.405,0.291,0.369,0.414,0.553,0.498,0.32,0.354,0.799,0.429,0.146,0.13,0.05,0.424,0.333,0.384
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.398,0.431,0.364,0.561,0.436,0.303,0.197,0.28,0.475,0.433,0.109,0.215,0.397,0.512,0.831,0.391,0.417,0.388
"En blanco",0.103,0.1,0.105,0.051,0.11,0.137,0.104,0.134,0.078,0.099,0.044,0.331,0.228,0.15,0.046,0.099,0.088,0.131
"No sabe",0.11,0.095,0.126,0.097,0.085,0.146,0.146,0.088,0.127,0.114,0.048,0.025,0.229,0.208,0.073,0.086,0.162,0.097
