"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Totalmente seguro.",0.682,0.737,0.626,0.641,0.707,0.667,0.707,0.674,0.665,0.72,0.776,0.516,0.707,0.572,0.735,0.733,0.657,0.596
"Bastante seguro",0.1,0.107,0.091,0.061,0.103,0.098,0.162,0.1,0.095,0.106,0.115,0.148,0.16,0.078,0.057,0.071,0.108,0.155
"Algo seguro",0.09,0.058,0.124,0.119,0.07,0.122,0.048,0.055,0.11,0.105,0.04,0.092,0.085,0.172,0.108,0.1,0.063,0.104
"Para nada seguro",0.128,0.098,0.159,0.179,0.12,0.113,0.083,0.171,0.13,0.069,0.069,0.244,0.048,0.178,0.1,0.096,0.172,0.145
