"var","categoria","A Tolosa Paz por el Frente de todos","A Santilli y Manes por Juntos","A Del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazo por “Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P08","Si",0.818,0.928,0.669,0.745,0.707,0.607,0.408
"P08","Puede ser",0.113,0.039,0.331,0.183,0.293,0.393,0.187
"P08","No",0.069,0.033,0,0.072,0,0,0.405
"P34","Gran excedente habitual",0.011,0,0,0.035,0,0,0.015
"P34","Gran excedente excepcional",0,0.005,0,0,0,0,0
"P34","Pequeño excedente habitual",0.076,0.028,0,0.035,0,0,0.096
"P34","Pequeño excedente excepcional",0.028,0.01,0.048,0,0.187,0.101,0
"P34","Alcanza gastos familia",0.139,0.112,0.146,0.22,0.202,0,0.043
"P34","No alcanza gastos familia",0.141,0.129,0.233,0.221,0,0.101,0.227
"P34","Solo NBFamiliares",0.214,0.383,0.423,0.314,0,0.5,0.234
"P34","No alcanza NBFamiliares",0.362,0.317,0.15,0.175,0.611,0.298,0.385
"P34","No sabe",0.029,0.016,0,0,0,0,0
"P35","Muy buena",0.073,0.031,0,0.07,0,0,0.08
"P35","Buena",0.186,0.132,0.143,0,0,0.508,0.089
"P35","Ni buena ni mala",0.324,0.428,0.575,0.529,0.142,0.102,0.236
"P35","Mala",0.321,0.3,0.189,0.227,0.101,0.288,0.415
"P35","Muy mala",0.096,0.109,0.093,0.174,0.757,0.102,0.095
"P35","No sabe",0,0,0,0,0,0,0.085
"P36","Mejor",0.219,0.057,0,0,0,0,0.061
"P36","Igual",0.406,0.191,0.333,0.375,0.608,0.607,0.314
"P36","Peor",0.291,0.741,0.62,0.597,0.392,0.393,0.625
"P36","No sabe",0.084,0.011,0.047,0.028,0,0,0
"P37","Mejor",0.308,0.042,0,0.037,0.36,0.103,0.069
"P37","Igual",0.416,0.229,0.354,0.024,0.148,0,0.397
"P37","Peor",0.072,0.638,0.278,0.91,0.492,0.286,0.285
"P37","No sabe",0.204,0.091,0.368,0.029,0,0.611,0.249
"P46","Muy buena",0.344,0.011,0.048,0,0.474,0.325,0.059
"P46","Buena",0.26,0.053,0.147,0,0,0,0
"P46","Ni buena ni mala",0.184,0.075,0.147,0.078,0.059,0.625,0.401
"P46","Mala",0.138,0.185,0.597,0.429,0.092,0,0
"P46","Muy mala",0.074,0.676,0.061,0.493,0.375,0.05,0.185
"P46","No sabe",0,0,0,0,0,0,0.355
"P47","Muy buena",0.532,0.04,0.273,0.033,0,0.308,0
"P47","Buena",0.147,0.013,0,0.231,0.514,0,0
"P47","Ni buena ni mala",0.051,0.098,0.054,0,0,0.057,0.397
"P47","Mala",0.197,0.071,0.054,0,0,0,0
"P47","Muy mala",0.073,0.778,0.619,0.641,0.486,0,0.502
"P47","No sabe",0,0,0,0.095,0,0.635,0.101
"P48","Muy buena",0.126,0.275,0,0,0,0,0
"P48","Buena",0.05,0.241,0,0.169,0,0.643,0
"P48","Ni buena ni mala",0.04,0.346,0.112,0.101,0.091,0,0.567
"P48","Mala",0.221,0.061,0.163,0.195,0,0,0.083
"P48","Muy mala",0.563,0.068,0.725,0.535,0.909,0.357,0.186
"P48","No sabe",0,0.009,0,0,0,0,0.164
"P49","Muy buena",0.113,0.489,0,0.033,0.353,0,0
"P49","Buena",0.064,0.364,0,0.083,0,0.642,0.03
"P49","Ni buena ni mala",0.288,0.059,0.17,0.239,0.647,0,0.145
"P49","Mala",0.209,0.065,0.725,0.15,0,0,0.27
"P49","Muy mala",0.308,0,0.105,0.495,0,0.358,0.175
"P49","No sabe",0.018,0.023,0,0,0,0,0.38
"P50","Muy buena",0.174,0.015,0,0,0.325,0,0.076
"P50","Buena",0.309,0.109,0.157,0,0.524,0,0
"P50","Ni buena ni mala",0.316,0.104,0.052,0.055,0.062,0.621,0.505
"P50","Mala",0.106,0.152,0.157,0.314,0.089,0.052,0
"P50","Muy mala",0.089,0.62,0.634,0.631,0,0.327,0.351
"P50","No sabe",0.006,0,0,0,0,0,0.068
"P59","Muy buena",0.079,0.232,0,0.032,0,0,0
"P59","Buena",0.063,0.39,0,0.017,0.532,0,0.095
"P59","Ni buena ni mala",0.231,0.279,0.564,0.232,0.097,0,0.326
"P59","Mala",0.305,0.026,0.168,0.358,0,0,0.044
"P59","Muy mala",0.249,0.07,0.268,0.361,0,0.341,0.061
"P59","No sabe",0.073,0.003,0,0,0.371,0.659,0.474
"P61","Muy buena",0,0.193,0,0.089,0,0,0.087
"P61","Buena",0.037,0.214,0,0.071,0,0,0
"P61","Ni buena ni mala",0.262,0.343,0.207,0.255,0.37,0.638,0.568
"P61","Mala",0.155,0.094,0.208,0.025,0,0.048,0
"P61","Muy mala",0.311,0.023,0.113,0.484,0.09,0.314,0.175
"P61","No sabe",0.235,0.133,0.472,0.076,0.54,0,0.17
