"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.512,0.427,0.443
"P04","Realizo changas o trabajos de vez en cuando",0.157,0.178,0.214
"P04","No tengo trabajo",0.122,0.177,0.187
"P04","Soy jubilado o pensionado",0.209,0.218,0.156
"P05","1",0.175,0.383,0.289
"P05","2",0.052,0.083,0.079
"P05","3",0.023,0.092,0.063
"P05","4",0.066,0.096,0.076
"P05","5",0.138,0.211,0.216
"P05","6",0.087,0.026,0.038
"P05","7",0.164,0.037,0.051
"P05","8",0.066,0.02,0.041
"P05","9",0.229,0.052,0.147
"P06","1",0.452,0.149,0.258
"P06","2",0.058,0.035,0.073
"P06","3",0.06,0.026,0.015
"P06","4",0.045,0.045,0.041
"P06","5",0.155,0.202,0.218
"P06","6",0.035,0.049,0.048
"P06","7",0.038,0.099,0.06
"P06","8",0.032,0.1,0.053
"P06","9",0.125,0.295,0.234
"P07","1",0.621,0.227,0.377
"P07","2",0.045,0.033,0.044
"P07","3",0.032,0.027,0.02
"P07","4",0.013,0.027,0.03
"P07","5",0.078,0.139,0.116
"P07","6",0.014,0.025,0.023
"P07","7",0.018,0.051,0.029
"P07","8",0.017,0.073,0.029
"P07","9",0.162,0.398,0.332
"P09","Del Frente de Todos y el peronismo",0.834,0.053,0.263
"P09","De Cambiemos",0.042,0.614,0.161
"P09","De los Liberales libertarios",0.013,0.244,0.216
"P09","De la Izquierda",0.025,0.01,0.077
"P09","No sabe",0.086,0.079,0.283
"P10","A Alberto Fernández",0.153,0.147,0.177
"P10","A Sergio Massa",0.169,0.132,0.053
"P10","A algún candidato del peronismo",0.126,0.624,0.24
"P10","A algún candidato del kirchnerismo",0.552,0.097,0.53
"P11","A Alberto Fernández",0.074,0.168,0.149
"P11","A Sergio Massa",0.095,0.111,0.02
"P11","A algún candidato del peronismo",0.069,0.626,0.185
"P11","A Cristina Fernández de Kirchner",0.762,0.095,0.646
"P12","A Horacio Rodriguez Larreta",0.066,0.23,0.447
"P12","A Mauricio Macri",0.157,0.372,0.205
"P12","A Patricia Bullrich",0,0.3,0.111
"P12","A Facundo Manes",0.535,0.077,0.179
"P12","A Gerardo Morales",0.242,0.021,0.058
"P13","Seguro lo votaria",0.06,0.173,0.291
"P13","Quizás lo votaría",0.138,0.343,0.324
"P13","Nunca lo votaría",0.802,0.484,0.385
