"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos ","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.49,0.382,0.506,0.547,0.43
"P04","Realizo changas o trabajos de vez en cuando",0.162,0.168,0.215,0.193,0.198
"P04","No tengo trabajo",0.127,0.176,0.192,0.132,0.181
"P04","Soy jubilado o pensionado",0.221,0.274,0.087,0.128,0.191
"P05","1",0.18,0.382,0.405,0.164,0.256
"P05","2",0.064,0.081,0.086,0.029,0.058
"P05","3",0.03,0.084,0.109,0,0.041
"P05","4",0.07,0.108,0.059,0.037,0.087
"P05","5",0.138,0.209,0.213,0.126,0.25
"P05","6",0.069,0.034,0.018,0.039,0.063
"P05","7",0.162,0.039,0.019,0.174,0.054
"P05","8",0.064,0.018,0.024,0.105,0.041
"P05","9",0.223,0.045,0.067,0.326,0.15
"P06","1",0.446,0.167,0.124,0.489,0.32
"P06","2",0.073,0.048,0.033,0.068,0.055
"P06","3",0.055,0.025,0.016,0.027,0.032
"P06","4",0.045,0.05,0.029,0.032,0.048
"P06","5",0.15,0.214,0.172,0.172,0.241
"P06","6",0.03,0.059,0.039,0.008,0.05
"P06","7",0.041,0.104,0.08,0.042,0.045
"P06","8",0.031,0.061,0.129,0.044,0.052
"P06","9",0.129,0.272,0.378,0.118,0.157
"P07","1",0.614,0.241,0.199,0.747,0.39
"P07","2",0.052,0.038,0.019,0.016,0.058
"P07","3",0.028,0.031,0.016,0.025,0.021
"P07","4",0.015,0.026,0.029,0,0.026
"P07","5",0.071,0.144,0.136,0.035,0.122
"P07","6",0.014,0.027,0.025,0.014,0.019
"P07","7",0.026,0.042,0.046,0.01,0.03
"P07","8",0.013,0.059,0.081,0.021,0.022
"P07","9",0.167,0.392,0.449,0.132,0.312
"P09","Del Frente de Todos y el peronismo",0.868,0.067,0.061,0.261,0.367
"P09","De Cambiemos",0.04,0.783,0.144,0.118,0.209
"P09","De los Liberales libertarios",0.008,0.067,0.643,0.034,0.04
"P09","De la Izquierda",0.008,0.009,0.025,0.421,0.029
"P09","No sabe",0.076,0.074,0.127,0.166,0.355
"P10","A Alberto Fernández",0.154,0.183,0.31,0.125,0.143
"P10","A Sergio Massa",0.181,0.102,0.074,0.027,0.052
"P10","A algún candidato del peronismo",0.122,0.505,0.535,0.233,0.207
"P10","A algún candidato del kirchnerismo",0.543,0.21,0.081,0.615,0.598
"P11","A Alberto Fernández",0.08,0.172,0.275,0.018,0.106
"P11","A Sergio Massa",0.092,0.154,0.049,0.017,0.055
"P11","A algún candidato del peronismo",0.067,0.502,0.464,0.189,0.151
"P11","A Cristina Fernández de Kirchner",0.761,0.172,0.212,0.776,0.688
"P12","A Horacio Rodriguez Larreta",0.214,0.238,0.3,0.327,0.327
"P12","A Mauricio Macri",0.041,0.402,0.284,0.407,0.132
"P12","A Patricia Bullrich",0.025,0.265,0.383,0,0.202
"P12","A Facundo Manes",0.543,0.078,0.019,0.129,0.234
"P12","A Gerardo Morales",0.177,0.017,0.014,0.137,0.105
"P13","Seguro lo votaria",0.071,0.168,0.488,0.103,0.149
"P13","Quizás lo votaría",0.06,0.356,0.314,0.184,0.279
"P13","Nunca lo votaría",0.869,0.476,0.198,0.713,0.572
"P14","Lo votaría",0.033,0.595,0.153,0.048,0.109
"P14","Puede que lo vote",0.02,0.269,0.331,0.017,0.131
"P14","Nunca lo votaría",0.849,0.104,0.386,0.758,0.602
"P14","No sabe",0.098,0.032,0.13,0.177,0.158
"P15","Lo votaría",0.278,0.106,0.065,0.091,0.05
"P15","Puede que lo vote",0.428,0.089,0.085,0.155,0.206
"P15","Nunca lo votaría",0.206,0.783,0.801,0.571,0.601
"P15","No sabe",0.088,0.022,0.049,0.183,0.143
"P16","Lo votaría",0.272,0.027,0.017,0.058,0.089
"P16","Puede que lo vote",0.487,0.039,0.026,0.291,0.167
"P16","Nunca lo votaría",0.128,0.922,0.945,0.548,0.605
"P16","No sabe",0.113,0.012,0.012,0.103,0.139
"P17","La votaría",0.758,0.024,0.037,0.384,0.344
"P17","Puede que la vote",0.154,0.026,0.011,0.141,0.088
"P17","Nunca la votaría",0.06,0.941,0.946,0.349,0.509
"P17","No sabe",0.028,0.009,0.006,0.126,0.059
"P18","Lo votaría",0.119,0.351,0.119,0.112,0.077
"P18","Puede que lo vote",0.043,0.421,0.248,0.061,0.191
"P18","Nunca lo votaría",0.814,0.183,0.552,0.762,0.597
"P18","No sabe",0.024,0.045,0.081,0.065,0.135
"P19","Lo votaría",0.022,0.19,0.108,0.104,0.101
"P19","Puede que lo vote",0.13,0.374,0.234,0.18,0.177
"P19","Nunca lo votaría",0.745,0.367,0.539,0.632,0.529
"P19","No sabe",0.103,0.069,0.119,0.084,0.193
"P20","La votaría",0.008,0.514,0.281,0.096,0.138
"P20","Puede que la vote",0.034,0.312,0.331,0.072,0.143
"P20","Nunca la votaría",0.931,0.125,0.324,0.769,0.593
"P20","No sabe",0.027,0.049,0.064,0.063,0.126
"P21","Lo votaría",0.009,0.149,0.668,0.04,0.042
"P21","Puede que lo vote",0.035,0.335,0.232,0.071,0.128
"P21","Nunca lo votaría",0.913,0.464,0.072,0.813,0.682
"P21","No sabe",0.043,0.052,0.028,0.076,0.148
"P22","La votaría",0.012,0.306,0.157,0.066,0.057
"P22","Puede que la vote",0.034,0.404,0.213,0.073,0.162
"P22","Nunca la votaría",0.895,0.222,0.543,0.816,0.633
"P22","No sabe",0.059,0.068,0.087,0.045,0.148
"P23","Lo votaría",0.214,0.051,0.041,0.041,0.049
"P23","Puede que lo vote",0.429,0.104,0.054,0.198,0.187
"P23","Nunca lo votaría",0.273,0.814,0.877,0.656,0.633
"P23","No sabe",0.084,0.031,0.028,0.105,0.131
"P24","Lo votaría",0.029,0.072,0.02,0.062,0.043
"P24","Puede que lo vote",0.118,0.309,0.101,0.085,0.127
"P24","Nunca lo votaría",0.765,0.528,0.769,0.738,0.628
"P24","No sabe",0.088,0.091,0.11,0.115,0.202
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.012,0.631,0.064,0.025,0.074
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.013,0.27,0.094,0.047,0.142
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.05,0.019,0.013,0.052,0.046
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.888,0.021,0.02,0.29,0.364
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.002,0.021,0.768,0.022,0.041
"P25","Nicolás del Caño – Myriam Bregman",0.007,0.007,0.005,0.471,0.016
"P25","Otros candidatos",0.028,0.031,0.036,0.093,0.317
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.923,0.032,0.029,0.33,0.346
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.012,0.848,0.064,0.026,0.101
"P29","Javier Milei – José Luis Espert por los liberales",0.02,0.056,0.844,0.013,0.036
