"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.479,0.375,0.486,0.495,0.462
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.185,0.231,0.182,0.198
"P04","No tengo trabajo",0.137,0.158,0.196,0.25,0.168
"P04","Soy jubilado o pensionado",0.21,0.282,0.087,0.073,0.172
"P05","1",0.22,0.368,0.39,0.138,0.27
"P05","2",0.065,0.075,0.094,0.02,0.069
"P05","3",0.034,0.064,0.113,0.016,0.047
"P05","4",0.059,0.114,0.058,0.04,0.073
"P05","5",0.143,0.207,0.209,0.228,0.233
"P05","6",0.067,0.027,0.02,0.016,0.076
"P05","7",0.142,0.039,0.033,0.157,0.06
"P05","8",0.063,0.029,0.027,0.079,0.042
"P05","9",0.207,0.077,0.056,0.306,0.13
"P06","1",0.45,0.192,0.128,0.377,0.323
"P06","2",0.079,0.039,0.031,0.058,0.063
"P06","3",0.049,0.016,0.03,0.056,0.042
"P06","4",0.045,0.043,0.03,0.019,0.047
"P06","5",0.156,0.192,0.178,0.272,0.232
"P06","6",0.027,0.052,0.048,0.035,0.05
"P06","7",0.034,0.104,0.086,0.036,0.047
"P06","8",0.042,0.076,0.099,0.044,0.039
"P06","9",0.118,0.286,0.37,0.103,0.157
"P07","1",0.592,0.258,0.18,0.772,0.413
"P07","2",0.058,0.036,0.018,0.018,0.05
"P07","3",0.022,0.022,0.025,0.043,0.028
"P07","4",0.019,0.023,0.026,0,0.03
"P07","5",0.079,0.131,0.131,0.037,0.132
"P07","6",0.008,0.031,0.027,0.004,0.015
"P07","7",0.019,0.045,0.058,0,0.023
"P07","8",0.015,0.058,0.078,0.001,0.024
"P07","9",0.188,0.396,0.457,0.125,0.285
"P09","Del Frente de Todos y el peronismo",0.831,0.081,0.053,0.298,0.381
"P09","De Cambiemos",0.07,0.707,0.155,0.084,0.203
"P09","De los Liberales libertarios",0.01,0.11,0.643,0.06,0.037
"P09","De la Izquierda",0.009,0.011,0.024,0.379,0.019
"P09","No sabe",0.08,0.091,0.125,0.179,0.36
"P10","A Alberto Fernández",0.18,0.136,0.256,0.207,0.109
"P10","A Sergio Massa",0.181,0.179,0.045,0.022,0.079
"P10","A algún candidato del peronismo",0.119,0.462,0.583,0.151,0.204
"P10","A algún candidato del kirchnerismo",0.52,0.223,0.116,0.62,0.608
"P11","A Alberto Fernández",0.119,0.099,0.243,0,0.085
"P11","A Sergio Massa",0.095,0.175,0.019,0.062,0.057
"P11","A algún candidato del peronismo",0.079,0.398,0.54,0.049,0.143
"P11","A Cristina Fernández de Kirchner",0.707,0.328,0.198,0.889,0.715
"P12","A Horacio Rodriguez Larreta",0.243,0.226,0.32,0.22,0.318
"P12","A Mauricio Macri",0.358,0.367,0.355,0.397,0.244
"P12","A Patricia Bullrich",0.059,0.319,0.274,0.151,0.067
"P12","A Facundo Manes",0.282,0.07,0.037,0.067,0.259
"P12","A Gerardo Morales",0.058,0.018,0.014,0.165,0.112
"P13","Seguro lo votaria",0.185,0.166,0.551,0.091,0.107
"P13","Quizás lo votaría",0.273,0.347,0.311,0.055,0.335
"P13","Nunca lo votaría",0.542,0.487,0.138,0.854,0.558
"P14","Lo votaría",0.06,0.517,0.172,0.026,0.128
"P14","Puede que lo vote",0.051,0.269,0.305,0.027,0.114
