"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.383,0.443,0.487,0.542,0.464
"P04","Realizo changas o trabajos de vez en cuando",0.189,0.193,0.225,0.195,0.167
"P04","No tengo trabajo",0.163,0.159,0.186,0.195,0.158
"P04","Soy jubilado o pensionado",0.265,0.205,0.102,0.068,0.211
"P05","1",0.351,0.258,0.395,0.156,0.24
"P05","2",0.086,0.071,0.079,0.039,0.059
"P05","3",0.081,0.034,0.094,0.028,0.041
"P05","4",0.101,0.07,0.067,0.01,0.076
"P05","5",0.229,0.136,0.217,0.122,0.231
"P05","6",0.031,0.05,0.02,0.053,0.078
"P05","7",0.042,0.119,0.033,0.181,0.076
"P05","8",0.018,0.052,0.031,0.112,0.056
"P05","9",0.061,0.21,0.064,0.299,0.143
"P06","1",0.203,0.428,0.137,0.525,0.293
"P06","2",0.048,0.084,0.023,0.063,0.05
"P06","3",0.036,0.043,0.016,0.03,0.04
"P06","4",0.054,0.041,0.03,0.028,0.036
"P06","5",0.219,0.157,0.172,0.188,0.227
"P06","6",0.057,0.029,0.047,0.014,0.048
"P06","7",0.094,0.035,0.088,0.032,0.061
"P06","8",0.059,0.025,0.108,0.047,0.071
"P06","9",0.23,0.158,0.379,0.073,0.174
"P07","1",0.291,0.562,0.189,0.739,0.404
"P07","2",0.043,0.055,0.014,0.025,0.045
"P07","3",0.04,0.021,0.014,0.022,0.022
"P07","4",0.024,0.015,0.029,0,0.03
"P07","5",0.13,0.084,0.13,0.06,0.12
"P07","6",0.022,0.014,0.032,0,0.016
"P07","7",0.048,0.017,0.052,0.005,0.029
"P07","8",0.057,0.01,0.081,0.003,0.028
"P07","9",0.345,0.222,0.459,0.146,0.306
"P09","Del Frente de Todos y el peronismo",0.117,0.761,0.059,0.369,0.386
"P09","De Cambiemos",0.682,0.126,0.174,0.071,0.23
"P09","De los Liberales libertarios",0.059,0.012,0.634,0.055,0.053
"P09","De la Izquierda",0.023,0.006,0.016,0.364,0.022
"P09","No sabe",0.119,0.095,0.117,0.141,0.309
"P10","A Alberto Fernández",0.054,0.202,0.345,0.125,0.094
"P10","A Sergio Massa",0.234,0.154,0.196,0.054,0.103
"P10","A algún candidato del peronismo",0.382,0.13,0.398,0.203,0.192
"P10","A algún candidato del kirchnerismo",0.33,0.514,0.061,0.618,0.611
"P11","A Alberto Fernández",0.051,0.144,0.252,0,0.047
"P11","A Sergio Massa",0.068,0.088,0.174,0.084,0.086
"P11","A algún candidato del peronismo",0.362,0.078,0.377,0.118,0.138
"P11","A Cristina Fernández de Kirchner",0.519,0.69,0.197,0.798,0.729
"P12","A Horacio Rodriguez Larreta",0.299,0.283,0.181,0.102,0.116
