"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Facundo Manes","Positiva",0.236,0.235,0.237,0.218,0.201,0.275,0.276,0.209,0.243,0.256,0.211,0.286,0.14,0.302,0.391
"Facundo Manes","Neutra",0.36,0.353,0.366,0.29,0.351,0.397,0.387,0.363,0.37,0.34,0.381,0.317,0.401,0.343,0.376
"Facundo Manes","Negativa",0.358,0.384,0.333,0.441,0.4,0.296,0.278,0.37,0.33,0.387,0.362,0.349,0.402,0.317,0.218
"Facundo Manes","No sabe",0.046,0.028,0.064,0.051,0.048,0.032,0.059,0.058,0.057,0.017,0.046,0.048,0.057,0.038,0.015
"Gerardo Morales","Positiva",0.2,0.197,0.201,0.156,0.155,0.238,0.282,0.227,0.181,0.195,0.183,0.23,0.069,0.311,0.252
"Gerardo Morales","Neutra",0.309,0.288,0.329,0.251,0.321,0.333,0.3,0.295,0.332,0.29,0.316,0.296,0.224,0.387,0.371
"Gerardo Morales","Negativa",0.426,0.482,0.374,0.503,0.455,0.382,0.357,0.401,0.423,0.462,0.435,0.41,0.633,0.243,0.292
"Gerardo Morales","No sabe",0.065,0.033,0.096,0.09,0.069,0.047,0.061,0.077,0.064,0.053,0.066,0.064,0.074,0.059,0.085
"Horacio Rodriguez Larreta","Positiva",0.338,0.306,0.37,0.229,0.31,0.389,0.427,0.365,0.31,0.352,0.34,0.336,0.107,0.627,0.309
"Horacio Rodriguez Larreta","Neutra",0.21,0.201,0.219,0.23,0.207,0.235,0.166,0.188,0.238,0.194,0.215,0.201,0.13,0.206,0.346
"Horacio Rodriguez Larreta","Negativa",0.439,0.482,0.397,0.521,0.472,0.365,0.394,0.423,0.443,0.449,0.437,0.442,0.749,0.161,0.345
"Horacio Rodriguez Larreta","No sabe",0.013,0.011,0.014,0.02,0.011,0.011,0.013,0.024,0.009,0.005,0.008,0.021,0.014,0.006,0
"Javier Milei","Positiva",0.3,0.368,0.234,0.399,0.333,0.261,0.195,0.34,0.292,0.266,0.301,0.297,0.101,0.363,0.279
"Javier Milei","Neutra",0.232,0.181,0.28,0.182,0.2,0.286,0.269,0.222,0.235,0.238,0.228,0.238,0.126,0.352,0.234
"Javier Milei","Negativa",0.451,0.439,0.464,0.409,0.449,0.439,0.509,0.409,0.46,0.486,0.454,0.447,0.754,0.274,0.46
"Javier Milei","No sabe",0.017,0.012,0.022,0.01,0.018,0.014,0.027,0.029,0.013,0.01,0.017,0.018,0.019,0.011,0.027
"Patricia Bullrich","Positiva",0.401,0.38,0.421,0.324,0.372,0.451,0.46,0.385,0.38,0.45,0.407,0.389,0.14,0.658,0.35
"Patricia Bullrich","Neutra",0.136,0.137,0.136,0.175,0.138,0.139,0.097,0.127,0.155,0.118,0.127,0.155,0.1,0.135,0.208
"Patricia Bullrich","Negativa",0.455,0.476,0.435,0.491,0.485,0.405,0.428,0.473,0.461,0.427,0.458,0.449,0.75,0.203,0.442
"Patricia Bullrich","No sabe",0.008,0.007,0.008,0.01,0.005,0.005,0.015,0.015,0.004,0.005,0.008,0.007,0.01,0.004,0
"Maria Eugenia Vidal","Positiva",0.347,0.336,0.358,0.277,0.308,0.39,0.434,0.357,0.333,0.356,0.345,0.35,0.08,0.617,0.28
"Maria Eugenia Vidal","Neutra",0.16,0.154,0.166,0.131,0.172,0.186,0.123,0.174,0.148,0.164,0.168,0.145,0.095,0.179,0.232
"Maria Eugenia Vidal","Negativa",0.483,0.505,0.462,0.582,0.508,0.421,0.43,0.454,0.511,0.474,0.481,0.489,0.81,0.198,0.484
"Maria Eugenia Vidal","No sabe",0.01,0.005,0.014,0.01,0.012,0.003,0.013,0.015,0.008,0.006,0.006,0.016,0.015,0.006,0.004
"Mauricio Macri","Positiva",0.315,0.291,0.339,0.209,0.288,0.375,0.385,0.325,0.285,0.35,0.317,0.312,0.146,0.563,0.19
"Mauricio Macri","Neutra",0.156,0.158,0.154,0.172,0.159,0.163,0.127,0.145,0.174,0.142,0.156,0.156,0.077,0.177,0.21
"Mauricio Macri","Negativa",0.524,0.549,0.5,0.619,0.544,0.46,0.485,0.526,0.535,0.504,0.523,0.526,0.773,0.258,0.6
"Mauricio Macri","No sabe",0.005,0.002,0.007,0,0.009,0.002,0.003,0.004,0.006,0.004,0.004,0.006,0.004,0.002,0
"Daniel Scioli","Positiva",0.244,0.245,0.242,0.179,0.219,0.25,0.344,0.286,0.233,0.21,0.237,0.256,0.435,0.137,0.139
"Daniel Scioli","Neutra",0.189,0.181,0.197,0.231,0.216,0.147,0.153,0.175,0.197,0.195,0.193,0.182,0.284,0.111,0.152
"Daniel Scioli","Negativa",0.559,0.564,0.555,0.59,0.554,0.593,0.497,0.527,0.563,0.59,0.561,0.555,0.278,0.744,0.705
"Daniel Scioli","No sabe",0.008,0.01,0.006,0,0.011,0.01,0.006,0.012,0.007,0.005,0.009,0.007,0.003,0.008,0.004
"Sergio Massa","Positiva",0.235,0.229,0.243,0.155,0.233,0.23,0.321,0.279,0.226,0.201,0.234,0.24,0.402,0.128,0.139
