"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.351,0.263,0.298,0.279
"P05","2",0.05,0.206,0.052,0.034
"P05","3",0.041,0.027,0.154,0.025
"P05","4",0.053,0.037,0.037,0.197
"P05","5",0.198,0.21,0.199,0.174
"P05","6",0.05,0.031,0.028,0.038
"P05","7",0.086,0.048,0.043,0.053
"P05","8",0.053,0.032,0.027,0.039
"P05","9",0.118,0.146,0.162,0.161
"P06","1",0.262,0.307,0.292,0.304
"P06","2",0.056,0.081,0.055,0.048
"P06","3",0.036,0.045,0.018,0.026
"P06","4",0.041,0.028,0.038,0.045
"P06","5",0.214,0.18,0.163,0.175
"P06","6",0.045,0.03,0.033,0.053
"P06","7",0.079,0.043,0.039,0.058
"P06","8",0.073,0.044,0.061,0.054
"P06","9",0.194,0.242,0.301,0.237
"P07","1",0.418,0.343,0.38,0.356
"P07","2",0.049,0.034,0.027,0.034
"P07","3",0.028,0.013,0.019,0.029
"P07","4",0.023,0.016,0.023,0.021
"P07","5",0.134,0.112,0.084,0.094
"P07","6",0.023,0.008,0.011,0.024
"P07","7",0.039,0.029,0.037,0.026
"P07","8",0.033,0.04,0.046,0.041
"P07","9",0.253,0.405,0.373,0.375
"P09","Del Frente de Todos y el peronismo",0.372,0.325,0.322,0.367
"P09","De Cambiemos",0.269,0.271,0.273,0.374
"P09","De los Liberales libertarios",0.178,0.169,0.158,0.077
"P09","De la Izquierda",0.037,0.043,0.037,0.021
"P09","No sabe",0.144,0.192,0.21,0.161
"P10","A Alberto Fernández",0.131,0.309,0.224,0.173
"P10","A Sergio Massa",0.163,0.156,0.113,0.18
"P10","A algún candidato del peronismo",0.175,0.165,0.224,0.174
"P10","A algún candidato del kirchnerismo",0.531,0.37,0.439,0.473
"P11","A Alberto Fernández",0.088,0.246,0.217,0.089
"P11","A Sergio Massa",0.093,0.1,0.063,0.099
"P11","A algún candidato del peronismo",0.114,0.137,0.151,0.136
"P11","A Cristina Fernández de Kirchner",0.705,0.517,0.569,0.676
"P12","A Horacio Rodriguez Larreta",0.267,0.255,0.271,0.184
"P12","A Mauricio Macri",0.326,0.385,0.342,0.398
"P12","A Patricia Bullrich",0.26,0.252,0.228,0.299
"P12","A Facundo Manes",0.11,0.078,0.129,0.082
"P12","A Gerardo Morales",0.037,0.03,0.03,0.037
"P13","Seguro lo votaria",0.158,0.268,0.248,0.209
"P13","Quizás lo votaría",0.326,0.433,0.39,0.289
"P13","Nunca lo votaría",0.516,0.299,0.362,0.502
"P14","Lo votaría",0.19,0.177,0.257,0.282
"P14","Puede que lo vote",0.175,0.192,0.189,0.162
"P14","Nunca lo votaría",0.533,0.49,0.428,0.443
"P14","No sabe",0.102,0.141,0.126,0.113
"P15","Lo votaría",0.128,0.118,0.144,0.139
"P15","Puede que lo vote",0.221,0.203,0.184,0.194
"P15","Nunca lo votaría",0.567,0.544,0.538,0.575
"P15","No sabe",0.084,0.135,0.134,0.092
"P16","Lo votaría",0.105,0.131,0.127,0.116
"P16","Puede que lo vote",0.209,0.201,0.167,0.174
"P16","Nunca lo votaría",0.622,0.576,0.607,0.621
"P16","No sabe",0.064,0.092,0.099,0.089
"P17","La votaría",0.315,0.315,0.296,0.304
"P17","Puede que la vote",0.078,0.09,0.077,0.061
"P17","Nunca la votaría",0.582,0.537,0.574,0.59
"P17","No sabe",0.025,0.058,0.053,0.045
"P18","Lo votaría",0.148,0.184,0.162,0.213
"P18","Puede que lo vote",0.223,0.208,0.216,0.241
"P18","Nunca lo votaría",0.569,0.514,0.501,0.457
"P18","No sabe",0.06,0.094,0.121,0.089
"P19","Lo votaría",0.095,0.099,0.116,0.105
"P19","Puede que lo vote",0.231,0.223,0.185,0.252
"P19","Nunca lo votaría",0.564,0.521,0.562,0.493
"P19","No sabe",0.11,0.157,0.137,0.15
"P20","La votaría",0.204,0.208,0.228,0.267
"P20","Puede que la vote",0.183,0.187,0.167,0.181
"P20","Nunca la votaría",0.563,0.489,0.5,0.482
"P20","No sabe",0.05,0.116,0.105,0.07
"P21","Lo votaría",0.205,0.227,0.235,0.112
"P21","Puede que lo vote",0.182,0.184,0.168,0.15
"P21","Nunca lo votaría",0.566,0.47,0.5,0.655
"P21","No sabe",0.047,0.119,0.097,0.083
"P22","La votaría",0.113,0.162,0.129,0.127
"P22","Puede que la vote",0.192,0.158,0.179,0.251
"P22","Nunca la votaría",0.631,0.551,0.553,0.499
"P22","No sabe",0.064,0.129,0.139,0.123
"P23","Lo votaría",0.08,0.09,0.076,0.093
"P23","Puede que lo vote",0.205,0.171,0.148,0.22
"P23","Nunca lo votaría",0.648,0.607,0.681,0.612
"P23","No sabe",0.067,0.132,0.095,0.075
