"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.489,0.398,0.482,0.48,0.424
"P04","Realizo changas o trabajos de vez en cuando",0.142,0.191,0.231,0.158,0.208
"P04","No tengo trabajo",0.148,0.145,0.195,0.27,0.171
"P04","Soy jubilado o pensionado",0.221,0.266,0.092,0.092,0.197
"P05","1",0.203,0.368,0.406,0.158,0.255
"P05","2",0.05,0.074,0.083,0.042,0.096
"P05","3",0.032,0.075,0.104,0.014,0.039
"P05","4",0.064,0.107,0.065,0.034,0.079
"P05","5",0.158,0.22,0.216,0.143,0.203
"P05","6",0.067,0.027,0.018,0.038,0.078
"P05","7",0.144,0.045,0.026,0.152,0.058
"P05","8",0.067,0.017,0.025,0.078,0.053
"P05","9",0.215,0.067,0.057,0.341,0.139
"P06","1",0.436,0.205,0.128,0.401,0.339
"P06","2",0.07,0.045,0.031,0.092,0.056
"P06","3",0.058,0.027,0.029,0.02,0.022
"P06","4",0.046,0.046,0.031,0.021,0.044
"P06","5",0.169,0.207,0.171,0.194,0.216
"P06","6",0.033,0.055,0.039,0.013,0.046
"P06","7",0.027,0.099,0.092,0.061,0.048
"P06","8",0.037,0.054,0.106,0.051,0.068
"P06","9",0.124,0.262,0.373,0.147,0.161
"P07","1",0.602,0.309,0.175,0.755,0.382
"P07","2",0.054,0.045,0.018,0.034,0.042
"P07","3",0.023,0.039,0.017,0.021,0.02
"P07","4",0.017,0.023,0.032,0.002,0.028
"P07","5",0.078,0.127,0.128,0.038,0.134
"P07","6",0.009,0.027,0.031,0.008,0.014
"P07","7",0.023,0.043,0.054,0.002,0.026
"P07","8",0.015,0.047,0.082,0.002,0.029
"P07","9",0.179,0.34,0.463,0.138,0.325
"P09","Del Frente de Todos y el peronismo",0.783,0.123,0.054,0.343,0.399
"P09","De Cambiemos",0.1,0.681,0.168,0.09,0.244
"P09","De los Liberales libertarios",0.018,0.058,0.645,0.02,0.038
"P09","De la Izquierda",0.009,0.013,0.015,0.436,0.019
"P09","No sabe",0.09,0.125,0.118,0.111,0.3
"P10","A Alberto Fernández",0.154,0.186,0.135,0.086,0.17
"P10","A Sergio Massa",0.178,0.212,0.043,0.038,0.073
"P10","A algún candidato del peronismo",0.144,0.195,0.636,0.109,0.2
"P10","A algún candidato del kirchnerismo",0.524,0.407,0.186,0.767,0.557
"P11","A Alberto Fernández",0.084,0.164,0.122,0.006,0.106
"P11","A Sergio Massa",0.104,0.107,0.019,0.018,0.062
"P11","A algún candidato del peronismo",0.083,0.198,0.602,0.118,0.144
"P11","A Cristina Fernández de Kirchner",0.729,0.531,0.257,0.858,0.688
"P12","A Horacio Rodriguez Larreta",0.383,0.278,0.181,0.167,0.151
"P12","A Mauricio Macri",0.202,0.346,0.395,0.481,0.361
"P12","A Patricia Bullrich",0.214,0.25,0.397,0,0.234
"P12","A Facundo Manes",0.138,0.096,0.016,0.184,0.204
"P12","A Gerardo Morales",0.063,0.03,0.011,0.168,0.05
"P13","Seguro lo votaria",0.239,0.166,0.483,0.018,0.087
"P13","Quizás lo votaría",0.299,0.321,0.377,0.094,0.376
"P13","Nunca lo votaría",0.462,0.513,0.14,0.888,0.537
"P14","Lo votaría",0.092,0.456,0.196,0.023,0.17
"P14","Puede que lo vote",0.043,0.258,0.311,0.02,0.132
"P14","Nunca lo votaría",0.797,0.209,0.374,0.834,0.544
"P14","No sabe",0.068,0.077,0.119,0.123,0.154
"P15","Lo votaría",0.309,0.09,0.06,0.128,0.047
"P15","Puede que lo vote",0.414,0.114,0.075,0.145,0.223
"P15","Nunca lo votaría",0.195,0.75,0.81,0.592,0.599
"P15","No sabe",0.082,0.046,0.055,0.135,0.131
"P16","Lo votaría",0.256,0.032,0.012,0.075,0.118
"P16","Puede que lo vote",0.437,0.082,0.018,0.371,0.194
"P16","Nunca lo votaría",0.207,0.843,0.951,0.474,0.56
"P16","No sabe",0.1,0.043,0.019,0.08,0.128
"P17","La votaría",0.693,0.069,0.028,0.458,0.394
"P17","Puede que la vote",0.134,0.054,0.02,0.149,0.076
"P17","Nunca la votaría",0.143,0.863,0.941,0.309,0.473
"P17","No sabe",0.03,0.014,0.011,0.084,0.057
"P18","Lo votaría",0.098,0.405,0.083,0.062,0.081
"P18","Puede que lo vote",0.067,0.378,0.28,0.073,0.18
"P18","Nunca lo votaría",0.794,0.174,0.547,0.795,0.631
"P18","No sabe",0.041,0.043,0.09,0.07,0.108
"P19","Lo votaría",0.044,0.202,0.08,0.078,0.081
"P19","Puede que lo vote",0.151,0.37,0.229,0.144,0.156
"P19","Nunca lo votaría",0.698,0.342,0.575,0.726,0.582
"P19","No sabe",0.107,0.086,0.116,0.052,0.181
"P20","La votaría",0.054,0.445,0.302,0.054,0.15
"P20","Puede que la vote",0.047,0.289,0.312,0.052,0.135
"P20","Nunca la votaría",0.856,0.213,0.325,0.839,0.609
"P20","No sabe",0.043,0.053,0.061,0.055,0.106
"P21","Lo votaría",0.042,0.135,0.632,0.029,0.033
"P21","Puede que lo vote",0.054,0.279,0.262,0.044,0.136
"P21","Nunca lo votaría",0.841,0.519,0.065,0.857,0.723
"P21","No sabe",0.063,0.067,0.041,0.07,0.108
"P22","La votaría",0.027,0.29,0.157,0.018,0.055
"P22","Puede que la vote",0.07,0.33,0.259,0.07,0.163
"P22","Nunca la votaría",0.834,0.307,0.493,0.853,0.658
"P22","No sabe",0.069,0.073,0.091,0.059,0.124
"P23","Lo votaría",0.204,0.059,0.035,0.102,0.041
"P23","Puede que lo vote",0.423,0.082,0.054,0.243,0.213
"P23","Nunca lo votaría",0.283,0.815,0.867,0.539,0.634
"P23","No sabe",0.09,0.044,0.044,0.116,0.112
"P24","Lo votaría",0.028,0.098,0.02,0.006,0.019
"P24","Puede que lo vote",0.106,0.315,0.092,0.106,0.135
"P24","Nunca lo votaría",0.77,0.486,0.764,0.813,0.664
"P24","No sabe",0.096,0.101,0.124,0.075,0.182
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.061,0.446,0.161,0.016,0.178
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.029,0.355,0.035,0.033,0.068
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.06,0.014,0.01,0.02,0.057
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.786,0.098,0.022,0.426,0.388
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.015,0.026,0.72,0.002,0.029
"P25","Nicolás del Caño – Myriam Bregman",0.006,0.009,0.007,0.459,0.009
"P25","Otros candidatos",0.043,0.052,0.045,0.044,0.271
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.827,0.109,0.016,0.401,0.397
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.081,0.682,0.123,0.024,0.178
"P29","Javier Milei – José Luis Espert por los liberales",0.02,0.063,0.806,0.013,0.028
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.01,0.004,0.489,0.008
"P29","Otro candidato",0.06,0.136,0.051,0.073,0.389
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.102,0.719,0.059,0.088,0.094
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.66,0.155,0.029,0.202,0.197
