"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.509,0.431,0.453
"P04","Realizo changas o trabajos de vez en cuando",0.156,0.18,0.198
"P04","No tengo trabajo",0.119,0.172,0.196
"P04","Soy jubilado o pensionado",0.216,0.217,0.153
"P05","1",0.169,0.363,0.319
"P05","2",0.048,0.082,0.076
"P05","3",0.027,0.088,0.065
"P05","4",0.069,0.099,0.076
"P05","5",0.138,0.226,0.196
"P05","6",0.08,0.028,0.042
"P05","7",0.172,0.04,0.044
"P05","8",0.068,0.02,0.043
"P05","9",0.229,0.054,0.139
"P06","1",0.439,0.15,0.25
"P06","2",0.061,0.035,0.061
"P06","3",0.053,0.023,0.027
"P06","4",0.043,0.048,0.041
"P06","5",0.159,0.224,0.191
"P06","6",0.033,0.052,0.042
"P06","7",0.04,0.095,0.071
"P06","8",0.041,0.084,0.071
"P06","9",0.131,0.289,0.246
"P07","1",0.62,0.252,0.342
"P07","2",0.042,0.035,0.047
"P07","3",0.028,0.029,0.017
"P07","4",0.015,0.03,0.027
"P07","5",0.08,0.15,0.103
"P07","6",0.015,0.025,0.024
"P07","7",0.022,0.045,0.037
"P07","8",0.016,0.062,0.05
"P07","9",0.162,0.372,0.353
"P09","Del Frente de Todos y el peronismo",0.822,0.052,0.247
"P09","De Cambiemos",0.052,0.627,0.167
"P09","De los Liberales libertarios",0.018,0.213,0.269
"P09","De la Izquierda",0.024,0.023,0.057
"P09","No sabe",0.084,0.085,0.26
"P10","A Alberto Fernández",0.13,0.057,0.193
"P10","A Sergio Massa",0.171,0.225,0.03
"P10","A algún candidato del peronismo",0.136,0.587,0.225
"P10","A algún candidato del kirchnerismo",0.563,0.131,0.552
"P11","A Alberto Fernández",0.045,0.075,0.177
"P11","A Sergio Massa",0.098,0.11,0.013
"P11","A algún candidato del peronismo",0.075,0.622,0.187
"P11","A Cristina Fernández de Kirchner",0.782,0.193,0.623
"P12","A Horacio Rodriguez Larreta",0.033,0.273,0.19
"P12","A Mauricio Macri",0.206,0.35,0.38
"P12","A Patricia Bullrich",0.064,0.26,0.316
"P12","A Facundo Manes",0.423,0.089,0.11
"P12","A Gerardo Morales",0.274,0.028,0.004
"P13","Seguro lo votaria",0.068,0.18,0.244
"P13","Quizás lo votaría",0.213,0.338,0.351
"P13","Nunca lo votaría",0.719,0.482,0.405
"P14","Lo votaría",0.028,0.437,0.161
"P14","Puede que lo vote",0.031,0.308,0.155
"P14","Nunca lo votaría",0.861,0.185,0.529
"P14","No sabe",0.08,0.07,0.155
"P15","Lo votaría",0.263,0.085,0.065
"P15","Puede que lo vote",0.423,0.082,0.133
"P15","Nunca lo votaría",0.222,0.804,0.69
"P15","No sabe",0.092,0.029,0.112
"P16","Lo votaría",0.241,0.011,0.064
"P16","Puede que lo vote",0.491,0.019,0.129
"P16","Nunca lo votaría",0.162,0.958,0.711
"P16","No sabe",0.106,0.012,0.096
"P17","La votaría",0.75,0.012,0.219
"P17","Puede que la vote",0.149,0.013,0.078
"P17","Nunca la votaría",0.069,0.969,0.653
"P17","No sabe",0.032,0.006,0.05
"P18","Lo votaría",0.097,0.315,0.047
"P18","Puede que lo vote",0.048,0.425,0.146
"P18","Nunca lo votaría",0.825,0.217,0.686
"P18","No sabe",0.03,0.043,0.121
"P19","Lo votaría",0.023,0.186,0.072
"P19","Puede que lo vote",0.13,0.374,0.165
"P19","Nunca lo votaría",0.744,0.37,0.598
"P19","No sabe",0.103,0.07,0.165
"P20","La votaría",0.011,0.473,0.165
"P20","Puede que la vote",0.048,0.316,0.192
"P20","Nunca la votaría",0.915,0.157,0.542
"P20","No sabe",0.026,0.054,0.101
"P21","Lo votaría",0.017,0.269,0.282
"P21","Puede que lo vote",0.05,0.304,0.16
"P21","Nunca lo votaría",0.892,0.371,0.473
"P21","No sabe",0.041,0.056,0.085
"P22","La votaría",0.017,0.283,0.064
"P22","Puede que la vote",0.04,0.371,0.143
"P22","Nunca la votaría",0.895,0.278,0.668
"P22","No sabe",0.048,0.068,0.125
"P23","Lo votaría",0.205,0.048,0.043
"P23","Puede que lo vote",0.412,0.067,0.139
"P23","Nunca lo votaría",0.293,0.861,0.719
"P23","No sabe",0.09,0.024,0.099
"P24","Lo votaría",0.032,0.077,0.005
"P24","Puede que lo vote",0.101,0.279,0.086
"P24","Nunca lo votaría",0.79,0.537,0.747
"P24","No sabe",0.077,0.107,0.162
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.015,0.426,0.132
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.007,0.294,0.027
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.044,0.009,0.034
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.855,0.006,0.24
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.014,0.198,0.329
"P25","Nicolás del Caño – Myriam Bregman",0.027,0.009,0.056
"P25","Otros candidatos",0.038,0.058,0.182
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.888,0.015,0.228
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.014,0.595,0.138
"P29","Javier Milei – José Luis Espert por los liberales",0.025,0.241,0.347
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.012,0.059
"P29","Otro candidato",0.048,0.137,0.228
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.078,0.552,0.063
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.633,0.087,0.142
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.029,0.247,0.371
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.056,0.013,0.082
"P31","Otro candidato",0.204,0.101,0.342
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.746,0.032,0.088
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.055,0.613,0.143
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.019,0.228,0.345
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.057,0.01,0.075
"P33","Otro candidato",0.123,0.117,0.349
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.73,0.055,0.069
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.096,0.576,0.072
"P35","Javier Milei – José Luis Espert por los liberales",0.014,0.275,0.373
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.057,0.013,0.084
"P35","Otro candidato",0.103,0.081,0.402
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.867,0.047,0.218
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.044,0.599,0.054
"P37","Javier Milei – José Luis Espert por los liberales",0.026,0.269,0.369
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.01,0.058
"P37","Otro candidato",0.043,0.075,0.301
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.814,0.012,0.081
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.02,0.618,0.121
"P38","Javier Milei – José Luis Espert por los liberales",0.026,0.246,0.346
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.05,0.019,0.069
"P38","Otro candidato",0.09,0.105,0.383
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.901,0.045,0.274
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.048,0.798,0.215
"P39","No sabe",0.051,0.157,0.511
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.826,0.014,0.143
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.033,0.892,0.104
"P40","No sabe",0.141,0.094,0.753
