"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.456,0.362,0.519,0.524,0.445
"P04","Realizo changas o trabajos de vez en cuando",0.198,0.181,0.213,0.218,0.189
"P04","No tengo trabajo",0.151,0.177,0.177,0.164,0.172
"P04","Soy jubilado o pensionado",0.195,0.28,0.091,0.094,0.194
"P05","1",0.225,0.381,0.39,0.175,0.26
"P05","2",0.063,0.082,0.09,0.021,0.063
"P05","3",0.028,0.079,0.109,0.022,0.048
"P05","4",0.059,0.101,0.064,0.006,0.102
"P05","5",0.134,0.208,0.218,0.171,0.296
"P05","6",0.063,0.027,0.018,0.028,0.076
"P05","7",0.14,0.042,0.02,0.143,0.035
"P05","8",0.069,0.023,0.029,0.073,0.029
"P05","9",0.219,0.057,0.062,0.361,0.091
"P06","1",0.481,0.178,0.147,0.349,0.19
"P06","2",0.077,0.041,0.033,0.101,0.051
"P06","3",0.055,0.025,0.02,0.029,0.025
"P06","4",0.036,0.047,0.031,0.039,0.049
"P06","5",0.14,0.21,0.169,0.264,0.297
"P06","6",0.03,0.049,0.043,0.024,0.067
"P06","7",0.029,0.104,0.086,0.04,0.066
"P06","8",0.041,0.065,0.11,0.019,0.051
"P06","9",0.111,0.281,0.361,0.135,0.204
"P07","1",0.601,0.242,0.19,0.713,0.337
"P07","2",0.054,0.039,0.02,0.017,0.042
"P07","3",0.027,0.022,0.018,0.051,0.027
"P07","4",0.014,0.025,0.031,0,0.032
"P07","5",0.068,0.145,0.124,0.043,0.152
"P07","6",0.009,0.023,0.028,0,0.029
"P07","7",0.02,0.041,0.06,0.007,0.03
"P07","8",0.015,0.056,0.075,0.004,0.032
"P07","9",0.192,0.407,0.454,0.165,0.319
"P09","Del Frente de Todos y el peronismo",0.845,0.058,0.067,0.129,0.135
"P09","De Cambiemos",0.044,0.802,0.122,0.086,0.266
"P09","De los Liberales libertarios",0.01,0.053,0.652,0.063,0.095
"P09","De la Izquierda",0.008,0.01,0.028,0.582,0.027
"P09","No sabe",0.093,0.077,0.131,0.14,0.477
"P10","A Alberto Fernández",0.163,0.168,0.319,0.112,0.175
"P10","A Sergio Massa",0.146,0.122,0.158,0.06,0.135
"P10","A algún candidato del peronismo",0.136,0.492,0.435,0.265,0.424
"P10","A algún candidato del kirchnerismo",0.555,0.218,0.088,0.563,0.266
"P11","A Alberto Fernández",0.099,0.163,0.309,0.026,0.138
"P11","A Sergio Massa",0.078,0.194,0.139,0.076,0.117
"P11","A algún candidato del peronismo",0.07,0.524,0.441,0.239,0.446
"P11","A Cristina Fernández de Kirchner",0.753,0.119,0.111,0.659,0.299
"P12","A Horacio Rodriguez Larreta",0.129,0.235,0.269,0.478,0.354
"P12","A Mauricio Macri",0.236,0.425,0.22,0.225,0.091
"P12","A Patricia Bullrich",0.026,0.256,0.449,0.268,0.239
"P12","A Facundo Manes",0.399,0.07,0.037,0.029,0.229
"P12","A Gerardo Morales",0.21,0.014,0.025,0,0.087
