"var","categoria","Si","Puede ser","No"
"P11","A Tolosa Paz por el Frente de todos",0.376,0.416,0.148
"P11","A Santilli y Manes por Juntos",0.399,0.231,0.083
"P11","A Del Caño por el Frente de Izquierda",0.02,0.027,0.04
"P11","A Espert por Avanza libertad",0.123,0.034,0
"P11","A Randazo por “Vamos con vos""",0.016,0.074,0
"P11","A Hotton por “+Valores”",0.004,0,0.138
"P11","Votaría en blanco o anularía",0.062,0.218,0.591
