"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Alberto Fernández",0.112,0.152,0.078,0.179,0.092,0.09,0.106,0.184,0.107,0.065,0.115,0.061,0.229,0.079,0.151,0,0.247,0.457
"A Sergio Massa",0.089,0.111,0.069,0.081,0.1,0.099,0.063,0.108,0.083,0.08,0.083,0.128,0,0.079,0.097,0,0.106,0.061
"A algún candidato del peronismo",0.108,0.151,0.069,0.12,0.094,0.112,0.113,0.144,0.1,0.09,0.068,0.364,0.771,0.087,0.252,0,0.078,0
"A Cristina Fernández de Kirchner",0.691,0.586,0.784,0.62,0.714,0.699,0.718,0.564,0.71,0.765,0.734,0.447,0,0.755,0.5,1,0.569,0.482
