"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.714,0.486,0.218,0.104,0.07,0.385,0.394
"P07","De Cambiemos",0.094,0.321,0.32,0.495,0.38,0.083,0.133
"P07","De los Liberales libertarios",0.066,0.094,0.288,0.326,0.388,0.29,0.28
"P07","De la Izquierda",0.011,0.028,0.026,0.025,0.022,0,0
"P07","No sabe",0.115,0.071,0.148,0.05,0.14,0.242,0.193
"P09","A Alberto Fernández",0.138,0.166,0.224,0.068,0.095,0.083,0.167
"P09","A Sergio Massa",0.085,0.204,0.163,0.055,0.243,0.292,0.226
"P09","A algún candidato del peronismo",0.096,0.113,0.137,0.404,0.21,0.041,0.13
"P09","A algún candidato del kirchnerismo",0.681,0.517,0.476,0.473,0.452,0.584,0.477
"P10","A Alberto Fernández",0.063,0.125,0.106,0.068,0,0,0.2
"P10","A Sergio Massa",0.051,0.038,0.154,0.055,0.204,0.083,0
"P10","A algún candidato del peronismo",0.048,0.088,0.072,0.376,0.47,0.041,0.036
"P10","A Cristina Fernández de Kirchner",0.838,0.749,0.668,0.501,0.326,0.876,0.764
"P11","A Horacio Rodriguez Larreta",0.436,0.155,0.34,0.176,0.117,0.169,0.291
"P11","A Patricia Bullrich",0.297,0.65,0.51,0.778,0.822,0.831,0.709
"P11","A Facundo Manes",0.157,0.133,0.093,0.014,0.036,0,0
"P11","A Gerardo Morales",0.11,0.062,0.057,0.032,0.025,0,0
"P12","Lo votaria",0.76,0.432,0.085,0.013,0.018,0.132,0.127
"P12","Puede que lo vote",0.11,0.349,0.228,0.141,0.057,0.084,0.015
"P12","Nunca lo votaría",0.07,0.132,0.428,0.762,0.849,0.175,0.22
"P12","No sabe",0.06,0.087,0.259,0.084,0.076,0.609,0.638
"P13","Lo votaria",0.168,0.144,0.123,0.188,0.207,0.026,0.023
"P13","Puede que lo vote",0.081,0.253,0.254,0.317,0.25,0.121,0.038
"P13","Nunca lo votaría",0.667,0.522,0.384,0.335,0.455,0.163,0.327
"P13","No sabe",0.084,0.081,0.239,0.16,0.088,0.69,0.612
"P14","Lo votaria",0.068,0.053,0.075,0.067,0.097,0.017,0
"P14","Puede que lo vote",0.081,0.238,0.151,0.189,0.094,0.104,0.03
"P14","Nunca lo votaría",0.549,0.431,0.363,0.318,0.421,0.153,0.223
"P14","No sabe",0.302,0.278,0.411,0.426,0.388,0.726,0.747
"P15","Lo votaria",0.078,0.021,0.03,0.025,0.018,0,0.015
"P15","Puede que lo vote",0.168,0.258,0.129,0.107,0.045,0.072,0.075
"P15","Nunca lo votaría",0.465,0.429,0.415,0.483,0.577,0.107,0.208
"P15","No sabe",0.289,0.292,0.426,0.385,0.36,0.821,0.702
"P16","Lo votaria",0.047,0.019,0.048,0.031,0.018,0.017,0
"P16","Puede que lo vote",0.083,0.136,0.071,0.072,0.056,0.055,0
"P16","Nunca lo votaría",0.539,0.516,0.388,0.422,0.465,0.247,0.247
"P16","No sabe",0.331,0.329,0.493,0.475,0.461,0.681,0.753
"P17","Lo votaria",0.031,0.037,0.036,0.02,0.051,0,0
"P17","Puede que lo vote",0.061,0.102,0.08,0.093,0.07,0.072,0.026
"P17","Nunca lo votaría",0.579,0.53,0.429,0.464,0.454,0.106,0.317
"P17","No sabe",0.329,0.331,0.455,0.423,0.425,0.822,0.657
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.691,0.445,0.167,0.018,0.016,0.276,0.273
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.052,0.12,0.083,0.024,0,0.098,0.034
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.064,0.131,0.161,0.273,0.194,0.012,0.037
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.074,0.134,0.246,0.364,0.297,0.286,0.073
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.007,0.015,0.037,0.036,0.083,0,0.03
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.04,0.077,0.088,0.079,0.104,0.016,0.106
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.052,0.041,0.153,0.139,0.197,0.224,0.315
"P18","Al candidato del Frente de Izquierda",0,0.022,0.019,0.01,0.03,0,0
"P18","No sabe",0.02,0.015,0.046,0.057,0.079,0.088,0.132
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.649,0.381,0.144,0.055,0.035,0.187,0.165
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.057,0.167,0.082,0.052,0.024,0.11,0.094
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.061,0.092,0.179,0.137,0.123,0.02,0.038
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.042,0.166,0.197,0.38,0.296,0.122,0.075
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.071,0.04,0.259,0.223,0.31,0.306,0.342
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.02,0.036,0.027,0.044,0.016,0.009,0.046
"P19","No sabe",0.1,0.118,0.112,0.109,0.196,0.246,0.24
