"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.58,0.682,0.378,0.235,0.143,0.292,0.353
"P07","De Cambiemos",0.179,0.212,0.242,0.438,0.321,0.352,0.259
"P07","De los Liberales libertarios",0.145,0.029,0.235,0.213,0.383,0.16,0.275
"P07","De la Izquierda",0.012,0,0.02,0.028,0.041,0.004,0.018
"P07","No sabe",0.084,0.077,0.125,0.086,0.112,0.192,0.095
"P09","A Alberto Fernández",0.253,0.2,0.156,0.1,0.121,0.143,0.131
"P09","A Sergio Massa",0.125,0.178,0.141,0.104,0.053,0.172,0.164
"P09","A algún candidato del peronismo",0.251,0.088,0.115,0.169,0.018,0.056,0.179
"P09","A algún candidato del kirchnerismo",0.371,0.534,0.588,0.627,0.808,0.629,0.526
"P10","A Alberto Fernández",0.129,0.087,0.088,0.04,0.086,0.027,0.154
"P10","A Sergio Massa",0.099,0.05,0.049,0.05,0.062,0.12,0.062
"P10","A algún candidato del peronismo",0.149,0.043,0.097,0.146,0.139,0.032,0.078
"P10","A Cristina Fernández de Kirchner",0.623,0.82,0.766,0.764,0.713,0.821,0.706
"P11","A Horacio Rodriguez Larreta",0.323,0.21,0.326,0.212,0.093,0.154,0.199
"P11","A Patricia Bullrich",0.463,0.542,0.591,0.697,0.802,0.705,0.701
"P11","A Facundo Manes",0.214,0.097,0.05,0.024,0.069,0.095,0.091
"P11","A Gerardo Morales",0,0.151,0.033,0.067,0.036,0.046,0.009
"P12","Lo votaria",0.492,0.518,0.332,0.205,0.082,0.233,0.252
"P12","Puede que lo vote",0.197,0.255,0.18,0.145,0.083,0.161,0.146
"P12","Nunca lo votaría",0.185,0.13,0.338,0.55,0.749,0.449,0.316
"P12","No sabe",0.126,0.097,0.15,0.1,0.086,0.157,0.286
"P13","Lo votaria",0.266,0.148,0.152,0.142,0.194,0.14,0.115
"P13","Puede que lo vote",0.175,0.273,0.196,0.243,0.269,0.202,0.147
"P13","Nunca lo votaría",0.539,0.508,0.485,0.437,0.503,0.43,0.432
"P13","No sabe",0.02,0.071,0.167,0.178,0.034,0.228,0.306
"P14","Lo votaria",0.192,0.07,0.053,0.093,0.078,0.049,0.041
"P14","Puede que lo vote",0.12,0.204,0.164,0.179,0.082,0.114,0.091
"P14","Nunca lo votaría",0.453,0.546,0.454,0.358,0.507,0.287,0.276
"P14","No sabe",0.235,0.18,0.329,0.37,0.333,0.55,0.592
"P15","Lo votaria",0.266,0.073,0.028,0.005,0.025,0.007,0.03
"P15","Puede que lo vote",0.267,0.464,0.178,0.077,0.061,0.066,0.039
"P15","Nunca lo votaría",0.204,0.293,0.444,0.617,0.7,0.324,0.318
"P15","No sabe",0.263,0.17,0.35,0.301,0.214,0.603,0.613
"P16","Lo votaria",0.149,0.004,0.026,0.058,0.025,0.008,0.017
"P16","Puede que lo vote",0.127,0.222,0.075,0.077,0.051,0.057,0.049
"P16","Nunca lo votaría",0.487,0.496,0.479,0.492,0.569,0.31,0.318
"P16","No sabe",0.237,0.278,0.42,0.373,0.355,0.625,0.616
"P17","Lo votaria",0.096,0.011,0.036,0.017,0.062,0.011,0.029
"P17","Puede que lo vote",0.102,0.143,0.078,0.106,0.047,0.053,0.051
"P17","Nunca lo votaría",0.541,0.597,0.541,0.467,0.551,0.302,0.314
"P17","No sabe",0.261,0.249,0.345,0.41,0.34,0.634,0.606
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.312,0.561,0.355,0.167,0.104,0.251,0.301
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.228,0.087,0.065,0.027,0,0.057,0.035
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.09,0.067,0.153,0.18,0.224,0.15,0.077
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.246,0.116,0.149,0.295,0.254,0.3,0.184
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0.004,0.038,0.03,0.084,0.012,0.035
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.059,0.057,0.067,0.111,0.089,0.067,0.082
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.05,0.102,0.14,0.132,0.144,0.072,0.162
"P18","Al candidato del Frente de Izquierda",0,0,0.006,0.028,0.045,0.004,0.014
"P18","No sabe",0.015,0.006,0.027,0.03,0.056,0.087,0.11
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.532,0.414,0.366,0.16,0.084,0.199,0.244
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.135,0.205,0.056,0.068,0.039,0.063,0.07
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.131,0.09,0.108,0.136,0.132,0.109,0.069
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.085,0.127,0.145,0.281,0.271,0.261,0.152
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.065,0.047,0.211,0.189,0.258,0.131,0.281
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.012,0.022,0.049,0.05,0.023,0.018
"P19","No sabe",0.052,0.105,0.092,0.117,0.166,0.214,0.166
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.671,0.631,0.41,0.242,0.107,0.295,0.355
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.141,0.165,0.215,0.361,0.293,0.312,0.24
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.077,0.061,0.215,0.186,0.296,0.162,0.201
"P20","Al candidato del Frente de Izquierda",0.068,0.015,0.026,0.096,0.104,0.02,0.024
"P20","No sabe",0.043,0.128,0.134,0.115,0.2,0.211,0.18
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.707,0.608,0.446,0.201,0.162,0.316,0.368
