"var","categoria","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.827,0.593,0.05,0.048,0.052,0.282,0.267
"P07","De Cambiemos",0.043,0.159,0.714,0.76,0.06,0.097,0.165
"P07","De los Liberales libertarios",0.031,0.163,0.128,0.118,0.776,0.173,0.124
"P07","De la Izquierda",0.025,0.013,0,0,0.016,0.352,0.023
"P07","No sabe",0.074,0.072,0.108,0.074,0.096,0.096,0.421
"P09","A Alberto Fernández",0.141,0.285,0.419,0.024,0.135,0.151,0.065
"P09","A Sergio Massa",0.132,0.166,0.176,0.361,0.167,0.121,0.209
"P09","A algún candidato del peronismo",0.126,0.046,0.294,0.416,0.225,0,0.127
"P09","A algún candidato del kirchnerismo",0.601,0.503,0.111,0.199,0.473,0.728,0.599
"P10","A Alberto Fernández",0.073,0.165,0.243,0.024,0.135,0.151,0.013
"P10","A Sergio Massa",0.066,0.09,0.176,0.041,0.207,0,0.148
"P10","A algún candidato del peronismo",0.069,0.027,0.294,0.44,0.491,0.121,0.075
"P10","A Cristina Fernández de Kirchner",0.792,0.718,0.287,0.495,0.167,0.728,0.764
"P11","A Horacio Rodriguez Larreta",0.218,0.168,0.565,0.078,0.248,0,0.067
"P11","A Patricia Bullrich",0.124,0.758,0.32,0.896,0.68,0.639,0.533
"P11","A Facundo Manes",0.585,0.074,0.069,0.008,0.072,0.361,0.117
"P11","A Gerardo Morales",0.073,0,0.046,0.018,0,0,0.283
"P12","Lo votaria",0.672,0.282,0.151,0.031,0.048,0.269,0.244
"P12","Puede que lo vote",0.127,0.275,0.147,0.211,0.124,0.151,0.154
"P12","Nunca lo votaría",0.089,0.167,0.584,0.63,0.608,0.383,0.366
"P12","No sabe",0.112,0.276,0.118,0.128,0.22,0.197,0.236
"P13","Lo votaria",0.118,0.11,0.383,0.291,0.042,0.075,0.074
"P13","Puede que lo vote",0.079,0.218,0.253,0.379,0.214,0.046,0.14
"P13","Nunca lo votaría",0.692,0.403,0.235,0.183,0.447,0.635,0.564
"P13","No sabe",0.111,0.269,0.129,0.147,0.297,0.244,0.222
"P14","Lo votaria",0.027,0.012,0.148,0.164,0.031,0.037,0.032
"P14","Puede que lo vote",0.084,0.156,0.107,0.185,0.169,0.051,0.094
"P14","Nunca lo votaría",0.592,0.453,0.374,0.242,0.345,0.531,0.426
"P14","No sabe",0.297,0.379,0.371,0.409,0.455,0.381,0.448
"P15","Lo votaria",0.039,0.024,0.092,0.027,0.034,0,0.044
"P15","Puede que lo vote",0.163,0.309,0.122,0.088,0.083,0.158,0.092
"P15","Nunca lo votaría",0.51,0.308,0.45,0.453,0.443,0.499,0.403
"P15","No sabe",0.288,0.359,0.336,0.432,0.44,0.343,0.461
"P16","Lo votaria",0.043,0.035,0.1,0.029,0.009,0,0.031
"P16","Puede que lo vote",0.04,0.117,0.092,0.111,0.068,0,0.047
"P16","Nunca lo votaría",0.57,0.386,0.412,0.354,0.444,0.539,0.427
"P16","No sabe",0.347,0.462,0.396,0.506,0.479,0.461,0.495
"P17","Lo votaria",0.038,0.033,0.1,0.02,0.033,0.037,0.021
"P17","Puede que lo vote",0.024,0.1,0.088,0.103,0.09,0.023,0.054
"P17","Nunca lo votaría",0.616,0.44,0.382,0.421,0.398,0.583,0.454
"P17","No sabe",0.322,0.427,0.43,0.456,0.479,0.357,0.471
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.739,0.363,0.037,0.022,0.02,0.377,0.279
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.033,0.341,0.005,0.023,0.029,0.026,0.056
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.049,0.046,0.488,0.2,0.122,0.049,0.098
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.063,0.069,0.303,0.612,0.108,0.014,0.08
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0,0.024,0.056,0.074,0,0.036
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.089,0.023,0.072,0.03,0.084,0.185,0.091
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.025,0.131,0.02,0.038,0.515,0.037,0.068
"P18","Al candidato del Frente de Izquierda",0,0.022,0.004,0,0.006,0.237,0.03
"P18","No sabe",0.002,0.005,0.047,0.019,0.042,0.075,0.262
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.869,0.606,0.042,0.074,0.026,0.352,0.33
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.017,0.106,0.733,0.625,0.083,0.04,0.11
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.075,0.163,0.113,0.095,0.664,0.054,0.032
"P20","Al candidato del Frente de Izquierda",0.013,0.039,0.01,0.11,0.045,0.372,0.02
"P20","No sabe",0.026,0.086,0.102,0.096,0.182,0.182,0.508
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.924,0.636,0.038,0.019,0.036,0.483,0.38
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.01,0.135,0.658,0.843,0.085,0.029,0.111
