"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.273,0.261,0.284,0.206,0.333,0.285,0.219,0.258,0.253,0.31,0.549,0.056,0.07,0.511,0.049,0.168,0.1,0.131
"A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.053,0.049,0.057,0.05,0.053,0.065,0.043,0.062,0.048,0.053,0.082,0.025,0.097,0.067,0.034,0.024,0,0.18
"A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.147,0.138,0.154,0.134,0.125,0.149,0.195,0.132,0.149,0.155,0.07,0.274,0.017,0.078,0.293,0.014,0,0.161
"A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.196,0.164,0.224,0.171,0.145,0.206,0.301,0.202,0.208,0.176,0.072,0.366,0.256,0.118,0.337,0.333,0,0.174
"Al candidato de José Luis Espert por Juntos por el Cambio",0.032,0.029,0.034,0.065,0.02,0.032,0.018,0.018,0.027,0.048,0.018,0.037,0.092,0.02,0.04,0.145,0.076,0.014
"A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.075,0.081,0.069,0.079,0.077,0.076,0.065,0.08,0.075,0.071,0.065,0.076,0.107,0.066,0.078,0.134,0.093,0
"A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.135,0.187,0.089,0.198,0.168,0.088,0.067,0.154,0.157,0.092,0.082,0.118,0.243,0.072,0.136,0.112,0.199,0.195
"Al candidato del Frente de Izquierda",0.018,0.025,0.013,0.024,0.02,0.02,0.009,0.017,0.017,0.022,0.005,0.004,0.013,0.01,0.005,0.026,0.508,0.12
"No sabe",0.071,0.066,0.076,0.073,0.059,0.079,0.083,0.077,0.066,0.073,0.057,0.044,0.105,0.058,0.028,0.044,0.024,0.025
