"var","categoria","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.034,0.018,0.017,0.397,0.029
"P22","No sabe",0.133,0.11,0.065,0.2,0.556
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.786,0.026,0.039,0.042,0.086
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.031,0.756,0.092,0.354,0.203
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.02,0.123,0.808,0.07,0.215
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.016,0.009,0.007,0.35,0.047
"P23","No sabe",0.147,0.086,0.054,0.184,0.449
"P24","Muy buena",0.524,0.076,0.063,0,0.08
"P24","Buena",0.234,0.103,0.06,0.257,0.086
"P24","Ni buena ni mala",0.118,0.258,0.232,0.222,0.271
"P24","Mala",0.028,0.234,0.167,0.211,0.172
"P24","Muy mala",0.022,0.286,0.351,0.225,0.292
"P24","No sabe",0.033,0.02,0.056,0,0.035
"P24","No lo conozco",0.041,0.023,0.071,0.085,0.064
"P25","Muy buena",0.093,0.026,0.019,0.068,0.014
"P25","Buena",0.119,0.042,0.02,0.02,0.054
"P25","Ni buena ni mala",0.385,0.269,0.351,0.172,0.282
"P25","Mala",0.101,0.201,0.135,0.287,0.108
"P25","Muy mala",0.048,0.173,0.228,0.33,0.199
"P25","No sabe",0.118,0.166,0.113,0.058,0.189
"P25","No lo conozco",0.136,0.123,0.134,0.065,0.154
"P26","Muy buena",0.026,0.208,0.023,0.151,0.005
"P26","Buena",0.036,0.317,0.098,0.114,0.137
"P26","Ni buena ni mala",0.164,0.312,0.355,0.161,0.21
"P26","Mala",0.247,0.071,0.193,0.214,0.217
"P26","Muy mala",0.44,0.031,0.179,0.217,0.237
"P26","No sabe",0.033,0.035,0.061,0.096,0.066
"P26","No lo conozco",0.054,0.026,0.091,0.047,0.128
"P27","Muy buena",0.027,0.139,0.042,0.119,0.028
