"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Patricia Bullrich","Positiva",0.391,0.353,0.425,0.323,0.291,0.431,0.588,0.465,0.39,0.341,0.108,0.652,0.52,0.215,0.649,0.531,0.323,0.453
"Patricia Bullrich","Neutra",0.124,0.144,0.106,0.168,0.149,0.097,0.069,0.101,0.124,0.141,0.121,0.094,0.266,0.11,0.112,0.226,0,0.276
"Patricia Bullrich","Negativa",0.471,0.489,0.454,0.496,0.55,0.446,0.334,0.407,0.476,0.507,0.766,0.245,0.162,0.666,0.233,0.243,0.677,0.271
"Patricia Bullrich","No sabe",0.014,0.014,0.015,0.013,0.01,0.026,0.009,0.027,0.01,0.011,0.005,0.009,0.052,0.009,0.006,0,0,0
"Lucas Ghi","Positiva",0.369,0.336,0.401,0.236,0.411,0.398,0.397,0.347,0.368,0.388,0.588,0.195,0.339,0.606,0.196,0.192,0.309,0.323
"Lucas Ghi","Neutra",0.205,0.188,0.219,0.238,0.179,0.197,0.225,0.225,0.202,0.193,0.161,0.245,0.406,0.178,0.211,0.139,0.331,0.212
"Lucas Ghi","Negativa",0.345,0.376,0.316,0.415,0.323,0.363,0.292,0.283,0.374,0.352,0.151,0.518,0.255,0.159,0.561,0.669,0.273,0.234
"Lucas Ghi","No sabe",0.033,0.041,0.026,0.031,0.043,0.024,0.027,0.048,0.025,0.033,0.049,0.017,0,0.025,0.012,0,0,0.231
"Lucas Ghi","No lo conozco",0.048,0.059,0.038,0.08,0.044,0.018,0.059,0.097,0.031,0.034,0.051,0.025,0,0.032,0.02,0,0.087,0
"CFK","Positiva",0.369,0.352,0.386,0.368,0.425,0.337,0.308,0.383,0.357,0.376,0.675,0.14,0.255,0.56,0.151,0.29,0.455,0.62
"CFK","Neutra",0.037,0.042,0.032,0.014,0.027,0.061,0.048,0.038,0.028,0.047,0.044,0.017,0.067,0.043,0.017,0.155,0.19,0.027
"CFK","Negativa",0.584,0.597,0.572,0.604,0.535,0.598,0.637,0.579,0.605,0.562,0.279,0.834,0.626,0.388,0.825,0.555,0.355,0.353
"CFK","No sabe",0.01,0.009,0.01,0.014,0.013,0.004,0.007,0,0.01,0.015,0.002,0.009,0.052,0.009,0.007,0,0,0
"Javier Milei","Positiva",0.341,0.402,0.286,0.445,0.341,0.317,0.269,0.401,0.347,0.291,0.142,0.459,0.644,0.204,0.459,0.522,0.124,0.76
"Javier Milei","Neutra",0.166,0.159,0.174,0.19,0.088,0.187,0.258,0.205,0.18,0.121,0.078,0.26,0.138,0.107,0.263,0.202,0,0
"Javier Milei","Negativa",0.469,0.423,0.508,0.352,0.561,0.471,0.413,0.338,0.46,0.57,0.763,0.255,0.166,0.671,0.26,0.276,0.876,0.24
"Javier Milei","No sabe",0.024,0.016,0.032,0.013,0.01,0.025,0.06,0.056,0.013,0.018,0.017,0.026,0.052,0.018,0.018,0,0,0
"Mauricio Macri","Positiva",0.32,0.261,0.374,0.336,0.215,0.318,0.494,0.356,0.317,0.299,0.087,0.574,0.231,0.173,0.559,0.35,0,0.503
"Mauricio Macri","Neutra",0.131,0.131,0.132,0.087,0.139,0.162,0.126,0.109,0.138,0.139,0.096,0.156,0.091,0.096,0.147,0.317,0,0.203
"Mauricio Macri","Negativa",0.539,0.606,0.478,0.577,0.63,0.506,0.378,0.52,0.535,0.555,0.807,0.263,0.678,0.72,0.288,0.333,1,0.294
"Mauricio Macri","No sabe",0.01,0.002,0.016,0,0.016,0.014,0.002,0.015,0.01,0.007,0.01,0.007,0,0.011,0.006,0,0,0
"Horacio Rodriguez Larreta","Positiva",0.278,0.244,0.309,0.241,0.213,0.325,0.375,0.335,0.275,0.243,0.171,0.402,0.314,0.203,0.398,0.361,0.125,0.511
"Horacio Rodriguez Larreta","Neutra",0.211,0.239,0.186,0.295,0.162,0.171,0.263,0.212,0.231,0.185,0.152,0.237,0.364,0.168,0.253,0.429,0,0.211
"Horacio Rodriguez Larreta","Negativa",0.492,0.494,0.489,0.45,0.605,0.488,0.337,0.408,0.486,0.558,0.667,0.342,0.27,0.614,0.334,0.21,0.875,0.278
"Horacio Rodriguez Larreta","No sabe",0.019,0.023,0.016,0.014,0.02,0.016,0.025,0.045,0.008,0.014,0.01,0.019,0.052,0.015,0.015,0,0,0
"Sergio Massa","Positiva",0.227,0.21,0.241,0.271,0.244,0.213,0.168,0.293,0.207,0.204,0.371,0.097,0.397,0.316,0.104,0.218,0.323,0.62
"Sergio Massa","Neutra",0.196,0.187,0.204,0.233,0.185,0.195,0.182,0.156,0.197,0.223,0.31,0.09,0.156,0.273,0.086,0.298,0.029,0.102
