"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Que continúe el intendente Lucas Gui",0.177,0.172,0.182,0.116,0.229,0.177,0.147,0.203,0.128,0.223,0.324,0.071,0.075,0.319,0.037,0,0,0.073
"Que continúe Lucas Gui pero con mejoras",0.242,0.215,0.265,0.277,0.267,0.211,0.196,0.228,0.262,0.226,0.413,0.1,0.281,0.375,0.127,0.18,0.546,0.419
"Que cambie Lucas Gui pero que se mantengan los avances",0.105,0.109,0.103,0.115,0.087,0.083,0.155,0.14,0.097,0.09,0.07,0.135,0.25,0.102,0.104,0.108,0.092,0.085
"Que cambie el intendente Lucas Gui",0.476,0.504,0.45,0.492,0.417,0.529,0.502,0.429,0.513,0.461,0.193,0.694,0.394,0.204,0.732,0.712,0.362,0.423
