"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.283,0.137,0.253,0.542,0.575,0.265,0.308
"P07","De Cambiemos",0.518,0.655,0.348,0.134,0.093,0.255,0.263
"P07","De los Liberales libertarios",0.12,0.161,0.279,0.23,0.142,0.253,0.28
"P07","De la Izquierda",0,0,0.017,0.031,0.048,0.014,0.021
"P07","No sabe",0.079,0.047,0.103,0.063,0.142,0.213,0.128
"P09","A Alberto Fernández",0.024,0.424,0.228,0.21,0.027,0.14,0.202
"P09","A Sergio Massa",0.268,0.104,0.165,0.148,0.097,0.177,0.088
"P09","A algún candidato del peronismo",0.322,0.269,0.136,0.109,0.091,0.135,0.094
"P09","A algún candidato del kirchnerismo",0.386,0.203,0.471,0.533,0.785,0.548,0.616
"P10","A Alberto Fernández",0.112,0.424,0.145,0.073,0.011,0.025,0.127
"P10","A Sergio Massa",0.115,0,0.052,0.094,0.057,0.053,0.011
"P10","A algún candidato del peronismo",0.387,0.269,0.1,0.052,0.027,0.157,0.055
"P10","A Cristina Fernández de Kirchner",0.386,0.307,0.703,0.781,0.905,0.765,0.807
"P11","A Horacio Rodriguez Larreta",0.095,0.141,0.265,0.398,0.207,0.17,0.205
"P11","A Patricia Bullrich",0.888,0.787,0.62,0.424,0.478,0.812,0.597
"P11","A Facundo Manes",0,0.021,0.054,0.073,0.273,0.007,0.158
"P11","A Gerardo Morales",0.017,0.051,0.061,0.105,0.042,0.011,0.04
"P12","Lo votaria",0.08,0.095,0.221,0.454,0.465,0.252,0.26
"P12","Puede que lo vote",0.249,0.224,0.166,0.11,0.086,0.131,0.187
"P12","Nunca lo votaría",0.573,0.567,0.456,0.343,0.329,0.459,0.347
"P12","No sabe",0.098,0.114,0.157,0.093,0.12,0.158,0.206
"P13","Lo votaria",0.344,0.295,0.145,0.088,0.107,0.197,0.101
"P13","Puede que lo vote",0.409,0.398,0.269,0.048,0.06,0.203,0.2
"P13","Nunca lo votaría",0.214,0.209,0.433,0.733,0.745,0.358,0.452
"P13","No sabe",0.033,0.098,0.153,0.131,0.088,0.242,0.247
"P14","Lo votaria",0.41,0.239,0.04,0.021,0,0.039,0.024
"P14","Puede que lo vote",0.23,0.331,0.168,0.083,0.025,0.126,0.095
"P14","Nunca lo votaría",0.177,0.193,0.407,0.545,0.779,0.298,0.317
"P14","No sabe",0.183,0.237,0.385,0.351,0.196,0.537,0.564
"P15","Lo votaria",0.26,0.02,0.03,0.022,0.013,0.017,0.017
"P15","Puede que lo vote",0.157,0.225,0.139,0.107,0.178,0.07,0.119
"P15","Nunca lo votaría",0.42,0.467,0.457,0.586,0.653,0.378,0.279
"P15","No sabe",0.163,0.288,0.374,0.285,0.156,0.535,0.585
"P16","Lo votaria",0.073,0.078,0.037,0.022,0.007,0.022,0.023
"P16","Puede que lo vote",0.256,0.155,0.121,0.034,0.009,0.032,0.034
"P16","Nunca lo votaría",0.442,0.408,0.411,0.555,0.767,0.339,0.313
"P16","No sabe",0.229,0.359,0.431,0.389,0.217,0.607,0.63
"P17","Lo votaria",0.158,0.04,0.053,0.003,0.003,0.021,0.019
"P17","Puede que lo vote",0.162,0.205,0.102,0.053,0.01,0.035,0.034
