"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.234,0.245,0.296,0.443,0.41,0.32,0.314
"P07","De Cambiemos",0.479,0.59,0.297,0.177,0.172,0.28,0.319
"P07","De los Liberales libertarios",0.125,0.116,0.29,0.276,0.182,0.228,0.236
"P07","De la Izquierda",0.025,0,0.019,0.051,0.056,0.003,0.016
"P07","No sabe",0.137,0.049,0.098,0.053,0.18,0.169,0.115
"P09","A Alberto Fernández",0.043,0.355,0.205,0.223,0.086,0.114,0.157
"P09","A Sergio Massa",0.222,0.115,0.135,0.165,0.063,0.167,0.077
"P09","A algún candidato del peronismo",0.35,0.291,0.11,0.094,0.069,0.17,0.091
"P09","A algún candidato del kirchnerismo",0.385,0.239,0.55,0.518,0.782,0.549,0.675
"P10","A Alberto Fernández",0.226,0.355,0.1,0.076,0.052,0.031,0.102
"P10","A Sergio Massa",0.222,0,0.046,0.167,0.049,0.074,0.006
"P10","A algún candidato del peronismo",0.552,0.292,0.109,0.011,0,0.122,0.067
"P10","A Cristina Fernández de Kirchner",0,0.353,0.745,0.746,0.899,0.773,0.825
"P11","A Horacio Rodriguez Larreta",0.181,0.133,0.272,0.234,0.102,0.173,0.191
"P11","A Patricia Bullrich",0.7,0.77,0.598,0.64,0.67,0.783,0.689
"P11","A Facundo Manes",0,0.063,0.072,0.061,0.197,0.015,0.083
"P11","A Gerardo Morales",0.119,0.034,0.058,0.065,0.031,0.029,0.037
"P12","Lo votaria",0.138,0.093,0.245,0.352,0.377,0.244,0.296
"P12","Puede que lo vote",0.321,0.384,0.169,0.141,0.089,0.132,0.158
"P12","Nunca lo votaría",0.493,0.437,0.405,0.404,0.46,0.497,0.396
"P12","No sabe",0.048,0.086,0.181,0.103,0.074,0.127,0.15
"P13","Lo votaria",0.405,0.147,0.177,0.104,0.1,0.166,0.141
"P13","Puede que lo vote",0.263,0.566,0.242,0.068,0.077,0.24,0.219
"P13","Nunca lo votaría",0.317,0.123,0.399,0.717,0.804,0.425,0.442
"P13","No sabe",0.015,0.164,0.182,0.111,0.019,0.169,0.198
"P14","Lo votaria",0.288,0.186,0.096,0.043,0.011,0.031,0.061
"P14","Puede que lo vote",0.308,0.386,0.168,0.156,0.019,0.139,0.095
"P14","Nunca lo votaría",0.355,0.24,0.399,0.523,0.756,0.347,0.311
"P14","No sabe",0.049,0.188,0.337,0.278,0.214,0.483,0.533
"P15","Lo votaria",0.258,0.045,0.054,0.03,0.005,0.019,0.018
"P15","Puede que lo vote",0.237,0.373,0.162,0.094,0.148,0.092,0.11
"P15","Nunca lo votaría",0.422,0.357,0.422,0.643,0.711,0.431,0.332
"P15","No sabe",0.083,0.225,0.362,0.233,0.136,0.458,0.54
"P16","Lo votaria",0.322,0.09,0.024,0.028,0,0.024,0.013
"P16","Puede que lo vote",0.122,0.349,0.137,0.041,0.036,0.037,0.044
"P16","Nunca lo votaría",0.513,0.315,0.422,0.604,0.8,0.356,0.35
"P16","No sabe",0.043,0.246,0.417,0.327,0.164,0.583,0.593
"P17","Lo votaria",0.24,0,0.037,0.028,0.034,0.024,0.021
"P17","Puede que lo vote",0.131,0.217,0.12,0.049,0.009,0.047,0.058
"P17","Nunca lo votaría",0.522,0.399,0.498,0.689,0.824,0.338,0.333
"P17","No sabe",0.107,0.384,0.345,0.234,0.133,0.591,0.588
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.051,0.127,0.245,0.412,0.406,0.228,0.304
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.147,0.169,0.036,0.065,0.018,0.055,0.039
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.235,0.261,0.179,0.127,0.108,0.158,0.116
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.303,0.298,0.233,0.127,0.096,0.248,0.228
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0.014,0.035,0.034,0.022,0.055,0.04
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.149,0.107,0.064,0.073,0.092,0.056,0.073
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.115,0,0.177,0.126,0.092,0.151,0.102
