"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","Del Frente de Todos y el peronismo",0.212,0.549,0.404,0.4,0.375,0.558,0.389,0.523,0.429
"P07","De Cambiemos",0.343,0.152,0.315,0.194,0.272,0.266,0.143,0.328,0.216
"P07","De los Liberales libertarios",0.314,0.115,0.162,0.251,0.169,0.085,0.297,0.017,0.192
"P07","De la Izquierda",0.007,0.022,0.044,0.096,0.078,0,0.028,0.082,0.008
"P07","No sabe",0.124,0.162,0.075,0.059,0.106,0.091,0.143,0.05,0.155
"P09","A Alberto Fernández",0.159,0.252,0.129,0.272,0.245,0.132,0.318,0.081,0.13
"P09","A Sergio Massa",0.125,0.069,0.082,0.034,0.032,0.181,0.362,0.3,0.122
"P09","A algún candidato del peronismo",0.115,0.21,0.172,0.127,0.093,0.03,0,0.084,0.014
"P09","A algún candidato del kirchnerismo",0.601,0.469,0.617,0.567,0.63,0.657,0.32,0.535,0.734
"P10","A Alberto Fernández",0.13,0.201,0.059,0,0.028,0.015,0.318,0.114,0.043
"P10","A Sergio Massa",0.092,0,0.047,0,0.046,0,0.362,0.037,0.049
"P10","A algún candidato del peronismo",0.149,0.018,0.117,0.127,0.093,0,0,0.08,0
"P10","A Cristina Fernández de Kirchner",0.629,0.781,0.777,0.873,0.833,0.985,0.32,0.769,0.908
"P11","A Horacio Rodriguez Larreta",0.173,0,0.244,0.272,0.217,0.073,0.392,0.174,0.176
"P11","A Patricia Bullrich",0.735,0.5,0.587,0.62,0.723,0.6,0.467,0.697,0.763
"P11","A Facundo Manes",0.045,0.452,0.119,0.05,0.029,0.254,0,0.129,0.031
"P11","A Gerardo Morales",0.047,0.048,0.05,0.058,0.031,0.073,0.141,0,0.03
"P12","Lo votaria",0.18,0.372,0.399,0.258,0.308,0.491,0.374,0.503,0.403
"P12","Puede que lo vote",0.15,0.187,0.17,0.292,0.185,0.187,0.187,0.032,0.117
"P12","Nunca lo votaría",0.539,0.256,0.321,0.413,0.324,0.245,0.421,0.33,0.313
"P12","No sabe",0.131,0.185,0.11,0.037,0.183,0.077,0.018,0.135,0.167
