"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.295,0.294,0.296,0.239,0.351,0.297,0.25,0.299,0.268,0.329,0.612,0.06,0.14,0.515,0.083,0.053,0.108,0.401
"A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.222,0.178,0.261,0.073,0.143,0.301,0.42,0.184,0.23,0.238,0.063,0.433,0.119,0.103,0.437,0.155,0,0.028
"A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.258,0.343,0.182,0.466,0.277,0.169,0.118,0.306,0.279,0.195,0.137,0.292,0.5,0.145,0.313,0.556,0.307,0.294
"A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.043,0.042,0.045,0.054,0.065,0.022,0.018,0.025,0.045,0.055,0.044,0.018,0.081,0.042,0.022,0,0.393,0.065
"No sabe",0.182,0.143,0.216,0.168,0.164,0.211,0.194,0.186,0.178,0.183,0.144,0.197,0.16,0.195,0.145,0.236,0.192,0.212
