"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Del Frente de Todos y el peronismo",0.272,0.307,0.348,0.311,0.434
"P07","De Cambiemos",0.318,0.279,0.377,0.305,0.258
"P07","De los Liberales libertarios",0.274,0.284,0.225,0.196,0.193
"P07","De la Izquierda",0.01,0.021,0.011,0.034,0.028
"P07","No sabe",0.126,0.109,0.039,0.154,0.087
"P09","A Alberto Fernández",0.245,0.172,0.052,0.156,0.15
"P09","A Sergio Massa",0.12,0.13,0.149,0.164,0.064
"P09","A algún candidato del peronismo",0.081,0.151,0.314,0.082,0.097
"P09","A algún candidato del kirchnerismo",0.554,0.547,0.485,0.598,0.689
"P10","A Alberto Fernández",0.116,0.163,0.052,0.046,0.098
"P10","A Sergio Massa",0.043,0.118,0.049,0.072,0.032
"P10","A algún candidato del peronismo",0.138,0.169,0.195,0.03,0.044
"P10","A Cristina Fernández de Kirchner",0.703,0.55,0.704,0.852,0.826
"P11","A Horacio Rodriguez Larreta",0.141,0.25,0.287,0.148,0.224
"P11","A Patricia Bullrich",0.724,0.643,0.591,0.788,0.594
"P11","A Facundo Manes",0.044,0.07,0.122,0.025,0.157
"P11","A Gerardo Morales",0.091,0.037,0,0.039,0.025
"P12","Lo votaria",0.235,0.122,0.242,0.28,0.466
"P12","Puede que lo vote",0.14,0.278,0.189,0.158,0.116
"P12","Nunca lo votaría",0.453,0.406,0.484,0.463,0.347
"P12","No sabe",0.172,0.194,0.085,0.099,0.071
"P13","Lo votaria",0.177,0.139,0.315,0.165,0.137
"P13","Puede que lo vote",0.236,0.247,0.239,0.218,0.188
"P13","Nunca lo votaría",0.418,0.445,0.393,0.498,0.546
"P13","No sabe",0.169,0.169,0.053,0.119,0.129
"P14","Lo votaria",0.074,0.096,0.087,0.084,0.025
"P14","Puede que lo vote",0.165,0.176,0.275,0.109,0.116
"P14","Nunca lo votaría",0.353,0.338,0.429,0.424,0.478
"P14","No sabe",0.408,0.39,0.209,0.383,0.381
"P15","Lo votaria",0.035,0.062,0.094,0.035,0.025
"P15","Puede que lo vote",0.151,0.122,0.182,0.146,0.128
"P15","Nunca lo votaría",0.455,0.396,0.375,0.502,0.454
"P15","No sabe",0.359,0.42,0.349,0.317,0.393
"P16","Lo votaria",0.037,0.036,0.115,0.018,0.037
"P16","Puede que lo vote",0.111,0.057,0.057,0.073,0.062
"P16","Nunca lo votaría",0.406,0.457,0.437,0.502,0.453
"P16","No sabe",0.446,0.45,0.391,0.407,0.448
"P17","Lo votaria",0.05,0.028,0.102,0.021,0.013
"P17","Puede que lo vote",0.105,0.114,0.042,0.061,0.044
"P17","Nunca lo votaría",0.406,0.433,0.529,0.513,0.529
"P17","No sabe",0.439,0.425,0.327,0.405,0.414
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.259,0.22,0.175,0.287,0.414
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.042,0.053,0.088,0.019,0.06
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.172,0.188,0.197,0.141,0.127
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.223,0.206,0.187,0.246,0.169
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.039,0.043,0.111,0.011,0.03
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.072,0.071,0.101,0.093,0.069
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.151,0.142,0.131,0.147,0.062
"P18","Al candidato del Frente de Izquierda",0.017,0.029,0.01,0.014,0.008
"P18","No sabe",0.025,0.048,0,0.042,0.061
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.238,0.182,0.313,0.248,0.383
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.055,0.064,0.105,0.053,0.079
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.134,0.126,0.127,0.071,0.094
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.248,0.181,0.179,0.221,0.151
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.163,0.292,0.19,0.213,0.147
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.023,0.04,0.01,0.027,0.038
"P19","No sabe",0.139,0.115,0.076,0.167,0.108
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.283,0.305,0.255,0.341,0.494
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.289,0.314,0.307,0.245,0.231
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.187,0.223,0.362,0.208,0.127
"P20","Al candidato del Frente de Izquierda",0.072,0.058,0.024,0.046,0.03
"P20","No sabe",0.169,0.1,0.052,0.16,0.118
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.311,0.283,0.369,0.325,0.508
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.389,0.319,0.405,0.261,0.245
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.172,0.277,0.195,0.247,0.112
"P21","Al candidato del Frente de Izquierda",0.034,0.024,0.01,0.032,0.011
"P21","No sabe",0.094,0.097,0.021,0.135,0.124
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.262,0.234,0.397,0.235,0.447
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.273,0.235,0.226,0.22,0.187
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.262,0.299,0.255,0.271,0.171
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.042,0.026,0.028,0.065,0.023
"P22","No sabe",0.161,0.206,0.094,0.209,0.172
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.252,0.224,0.295,0.268,0.455
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.362,0.328,0.209,0.241,0.221
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.214,0.255,0.397,0.265,0.157
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.046,0.027,0.028,0.035,0.024
"P23","No sabe",0.126,0.166,0.071,0.191,0.143
"P24","Muy buena",0.229,0.157,0.156,0.233,0.359
"P24","Buena",0.16,0.194,0.202,0.098,0.167
"P24","Ni buena ni mala",0.185,0.225,0.288,0.191,0.202
"P24","Mala",0.114,0.1,0.12,0.195,0.128
"P24","Muy mala",0.245,0.214,0.214,0.229,0.113
"P24","No sabe",0.016,0.054,0.007,0.023,0.011
"P24","No lo conozco",0.051,0.056,0.013,0.031,0.02
"P25","Muy buena",0.052,0.04,0.035,0.016,0.072
"P25","Buena",0.067,0.065,0.067,0.094,0.044
"P25","Ni buena ni mala",0.315,0.276,0.478,0.289,0.363
"P25","Mala",0.116,0.12,0.207,0.188,0.149
"P25","Muy mala",0.197,0.145,0.099,0.144,0.079
"P25","No sabe",0.091,0.21,0.066,0.137,0.164
"P25","No lo conozco",0.162,0.144,0.048,0.132,0.129
"P26","Muy buena",0.079,0.115,0.102,0.078,0.045
"P26","Buena",0.15,0.141,0.137,0.116,0.146
"P26","Ni buena ni mala",0.235,0.257,0.422,0.191,0.215
"P26","Mala",0.172,0.124,0.208,0.265,0.22
"P26","Muy mala",0.222,0.221,0.101,0.276,0.305
"P26","No sabe",0.022,0.101,0.017,0.016,0.033
"P26","No lo conozco",0.12,0.041,0.013,0.058,0.036
"P27","Muy buena",0.109,0.099,0,0.067,0.032
"P27","Buena",0.073,0.119,0.173,0.084,0.053
"P27","Ni buena ni mala",0.271,0.204,0.336,0.243,0.22
"P27","Mala",0.067,0.108,0.109,0.172,0.146
"P27","Muy mala",0.127,0.111,0.091,0.125,0.191
"P27","No sabe",0.132,0.177,0.111,0.139,0.145
"P27","No lo conozco",0.221,0.182,0.18,0.17,0.213
"P28","Muy buena",0.045,0.088,0.096,0.031,0.013
"P28","Buena",0.038,0.073,0.074,0.019,0.031
"P28","Ni buena ni mala",0.293,0.267,0.298,0.242,0.197
"P28","Mala",0.074,0.066,0.061,0.11,0.125
"P28","Muy mala",0.077,0.096,0.055,0.102,0.122
"P28","No sabe",0.191,0.175,0.229,0.219,0.168
"P28","No lo conozco",0.282,0.235,0.187,0.277,0.344
"P29","Muy buena",0.064,0.055,0.028,0.057,0.023
"P29","Buena",0.041,0.098,0.096,0.041,0.035
"P29","Ni buena ni mala",0.258,0.259,0.291,0.209,0.207
"P29","Mala",0.103,0.082,0.145,0.123,0.159
"P29","Muy mala",0.108,0.137,0.181,0.142,0.161
"P29","No sabe",0.149,0.163,0.142,0.158,0.137
"P29","No lo conozco",0.277,0.206,0.117,0.27,0.278
"P30","Muy buena",0.142,0.11,0.081,0.121,0.308
"P30","Buena",0.12,0.185,0.118,0.183,0.198
"P30","Ni buena ni mala",0.147,0.145,0.325,0.177,0.192
"P30","Mala",0.214,0.216,0.114,0.221,0.159
"P30","Muy mala",0.317,0.258,0.362,0.273,0.112
"P30","No sabe",0.06,0.086,0,0.025,0.031
"P31","Que continúe el intendente Lucas Gui",0.201,0.096,0.111,0.153,0.265
"P31","Que continúe Lucas Gui pero con mejoras",0.153,0.309,0.265,0.247,0.304
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.08,0.073,0.201,0.094,0.131
"P31","Que cambie el intendente Lucas Gui",0.566,0.522,0.423,0.506,0.3
"P32","La seguridad",0.092,0.086,0.063,0.054,0.098
"P32","El tránsito",0.042,0.099,0.116,0.025,0.055
"P32","El arreglo de las calles",0.065,0.148,0.2,0.094,0.146
"P32","Los parques y espacios públicos",0.193,0.126,0.203,0.175,0.145
"P32","El sistema de salud",0.051,0.05,0.045,0.054,0.094
"P32","La limpieza de las calles",0.08,0.051,0.023,0.07,0.068
"P32","El deporte y la cultura",0.072,0.093,0.007,0.176,0.087
"P32","La luminaria",0.044,0.093,0.059,0.045,0.073
"P32","No sabe",0.361,0.254,0.284,0.307,0.234
"P33","La seguridad",0.698,0.54,0.269,0.344,0.338
"P33","El tránsito",0.025,0.124,0.039,0.059,0.07
"P33","El arreglo de las calles",0.117,0.17,0.583,0.189,0.181
"P33","Los parques y espacios públicos",0.015,0.009,0.014,0.094,0.031
"P33","El sistema de salud",0.049,0.036,0.009,0.039,0.077
"P33","La limpieza de las calles",0.012,0.012,0.005,0.062,0.053
"P33","El deporte y la cultura",0.005,0.006,0.018,0.057,0.024
"P33","La luminaria",0.008,0.025,0.036,0.016,0.02
"P33","No sabe",0.071,0.078,0.027,0.14,0.206
"P35","Los robos",0.634,0.418,0.318,0.342,0.422
