"var","categoria","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.844,0.044,0.052,0.159,0.287
"P07","De Cambiemos",0.066,0.832,0.124,0.107,0.294
"P07","De los Liberales libertarios",0.021,0.065,0.732,0.288,0.089
"P07","De la Izquierda",0.007,0,0.008,0.282,0.023
"P07","No sabe",0.062,0.059,0.084,0.164,0.307
"P09","A Alberto Fernández",0.161,0.131,0.166,0.176,0.11
"P09","A Sergio Massa",0.141,0.331,0.483,0,0.102
"P09","A algún candidato del peronismo",0.091,0.461,0.183,0.118,0.144
"P09","A algún candidato del kirchnerismo",0.607,0.077,0.168,0.706,0.644
"P10","A Alberto Fernández",0.093,0.131,0.098,0,0.018
"P10","A Sergio Massa",0.066,0.229,0.171,0,0.059
"P10","A algún candidato del peronismo",0.057,0.563,0.125,0,0.147
"P10","A Cristina Fernández de Kirchner",0.784,0.077,0.606,1,0.776
"P11","A Horacio Rodriguez Larreta",0.315,0.244,0.237,0.11,0.096
"P11","A Patricia Bullrich",0.201,0.685,0.724,0.89,0.709
"P11","A Facundo Manes",0.404,0.041,0.028,0,0.09
"P11","A Gerardo Morales",0.08,0.03,0.011,0,0.105
"P12","Lo votaria",0.657,0.097,0.055,0.21,0.157
"P12","Puede que lo vote",0.135,0.177,0.137,0.179,0.2
"P12","Nunca lo votaría",0.07,0.641,0.593,0.45,0.432
"P12","No sabe",0.138,0.085,0.215,0.161,0.211
"P13","Lo votaria",0.093,0.416,0.076,0.104,0.077
"P13","Puede que lo vote",0.084,0.343,0.242,0.083,0.222
"P13","Nunca lo votaría",0.68,0.144,0.423,0.666,0.472
"P13","No sabe",0.143,0.097,0.259,0.147,0.229
"P14","Lo votaria",0.003,0.178,0.051,0.097,0.061
"P14","Puede que lo vote",0.103,0.193,0.155,0.081,0.096
"P14","Nunca lo votaría",0.566,0.287,0.336,0.397,0.39
"P14","No sabe",0.328,0.342,0.458,0.425,0.453
"P15","Lo votaria",0.03,0.041,0.046,0.012,0.028
"P15","Puede que lo vote",0.195,0.117,0.069,0.18,0.114
"P15","Nunca lo votaría",0.447,0.491,0.433,0.417,0.436
"P15","No sabe",0.328,0.351,0.452,0.391,0.422
"P16","Lo votaria",0.018,0.085,0.02,0.043,0.005
"P16","Puede que lo vote",0.066,0.118,0.073,0.099,0.054
"P16","Nunca lo votaría",0.53,0.401,0.397,0.359,0.473
"P16","No sabe",0.386,0.396,0.51,0.499,0.468
"P17","Lo votaria",0.011,0.06,0.039,0.083,0.025
"P17","Puede que lo vote",0.043,0.129,0.084,0.06,0.036
"P17","Nunca lo votaría",0.59,0.416,0.358,0.388,0.495
"P17","No sabe",0.356,0.395,0.519,0.469,0.444
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.714,0.019,0.032,0.31,0.224
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.114,0.03,0.015,0.012,0.046
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.056,0.359,0.11,0.031,0.12
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.032,0.441,0.189,0.276,0.225
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0.044,0.07,0,0.029
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.064,0.054,0.089,0.033,0.107
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.015,0.03,0.447,0.109,0.043
"P18","Al candidato del Frente de Izquierda",0.003,0.009,0.006,0.185,0.02
"P18","No sabe",0.002,0.014,0.042,0.044,0.186
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.716,0.01,0.024,0.204,0.132
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.162,0.024,0.034,0.076,0.044
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.01,0.37,0.066,0.082,0.044
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.007,0.507,0.134,0.129,0.212
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.017,0.033,0.688,0.087,0.039
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.017,0.007,0.007,0.313,0.044
"P19","No sabe",0.071,0.049,0.047,0.109,0.485
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.897,0.039,0.048,0.266,0.251
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.014,0.786,0.167,0.102,0.154
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.035,0.061,0.622,0.077,0.072
"P20","Al candidato del Frente de Izquierda",0.005,0.07,0.011,0.452,0.054
"P20","No sabe",0.049,0.044,0.152,0.103,0.469
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.961,0.026,0.023,0.265,0.283
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.022,0.838,0.148,0.118,0.268
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.01,0.033,0.765,0.118,0.014
"P21","Al candidato del Frente de Izquierda",0,0.007,0.002,0.427,0.021
"P21","No sabe",0.007,0.096,0.062,0.072,0.414
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.921,0.019,0.014,0.153,0.046
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.016,0.833,0.133,0.104,0.244
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.029,0.06,0.818,0.079,0.014
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.011,0.011,0.591,0.016
"P23","No sabe",0.034,0.077,0.024,0.073,0.68
"P24","Muy buena",0.525,0.086,0.085,0.172,0.102
"P24","Buena",0.246,0.157,0.03,0.088,0.133
"P24","Ni buena ni mala",0.114,0.23,0.267,0.25,0.227
"P24","Mala",0.015,0.219,0.18,0.248,0.167
"P24","Muy mala",0.014,0.277,0.326,0.198,0.273
"P24","No sabe",0.031,0.013,0.043,0,0.055
"P24","No lo conozco",0.055,0.018,0.069,0.044,0.043
"P25","Muy buena",0.102,0.032,0.006,0.094,0.024
"P25","Buena",0.126,0.04,0.036,0.014,0.043
"P25","Ni buena ni mala",0.412,0.221,0.341,0.255,0.285
"P25","Mala",0.07,0.229,0.147,0.226,0.138
"P25","Muy mala",0.037,0.177,0.219,0.24,0.204
"P25","No sabe",0.111,0.162,0.1,0.084,0.215
"P25","No lo conozco",0.142,0.139,0.151,0.087,0.091
"P26","Muy buena",0.031,0.243,0.014,0.08,0.029
"P26","Buena",0.056,0.32,0.109,0.145,0.106
"P26","Ni buena ni mala",0.175,0.243,0.378,0.073,0.23
"P26","Mala",0.232,0.103,0.187,0.278,0.181
"P26","Muy mala",0.41,0.034,0.162,0.35,0.292
"P26","No sabe",0.041,0.031,0.05,0.056,0.07
"P26","No lo conozco",0.055,0.026,0.1,0.018,0.092
"P27","Muy buena",0.027,0.157,0.05,0,0.046
"P27","Buena",0.038,0.196,0.072,0.124,0.046
"P27","Ni buena ni mala",0.215,0.257,0.368,0.156,0.249
"P27","Mala",0.193,0.05,0.091,0.195,0.076
"P27","Muy mala",0.241,0.036,0.082,0.194,0.189
"P27","No sabe",0.115,0.14,0.145,0.133,0.166
"P27","No lo conozco",0.171,0.164,0.192,0.198,0.228
"P28","Muy buena",0.025,0.094,0.02,0.038,0.025
"P28","Buena",0.029,0.075,0.037,0.087,0.017
"P28","Ni buena ni mala",0.233,0.22,0.368,0.114,0.2
"P28","Mala",0.135,0.062,0.098,0.202,0.051
"P28","Muy mala",0.152,0.05,0.06,0.238,0.144
"P28","No sabe",0.163,0.191,0.191,0.108,0.221
"P28","No lo conozco",0.263,0.308,0.226,0.213,0.342
"P29","Muy buena",0.008,0.043,0.171,0.025,0.003
