"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Del Frente de Todos y el peronismo",0.312,0.3,0.323,0.248,0.363,0.347,0.259,0.327,0.289,0.334,0.603,0.103,0.079,0.56,0.125,0.137,0.232,0.187
"De Cambiemos",0.269,0.214,0.316,0.149,0.187,0.338,0.488,0.241,0.289,0.262,0.099,0.564,0.215,0.167,0.504,0.089,0.015,0.131
"De los Liberales libertarios",0.217,0.302,0.143,0.328,0.25,0.142,0.103,0.209,0.234,0.199,0.13,0.24,0.38,0.114,0.275,0.424,0.143,0.443
"De la Izquierda",0.03,0.029,0.032,0.041,0.041,0.018,0.012,0.015,0.021,0.056,0.016,0.011,0.045,0.028,0.004,0.15,0.538,0
"No sabe",0.172,0.155,0.186,0.234,0.159,0.155,0.138,0.208,0.167,0.149,0.152,0.082,0.281,0.131,0.092,0.2,0.072,0.239
