"var","categoria","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.845,0.04,0.066,0.023,0.339
"P07","De Cambiemos",0.046,0.78,0.11,0.21,0.197
"P07","De los Liberales libertarios",0.023,0.116,0.727,0.295,0.109
"P07","De la Izquierda",0.006,0,0.012,0.332,0.023
"P07","No sabe",0.08,0.064,0.085,0.14,0.332
"P09","A Alberto Fernández",0.15,0.223,0.121,0,0.134
"P09","A Sergio Massa",0.136,0.111,0.457,0,0.093
"P09","A algún candidato del peronismo",0.091,0.528,0.206,0,0.152
"P09","A algún candidato del kirchnerismo",0.623,0.138,0.216,1,0.621
"P10","A Alberto Fernández",0.084,0.224,0.121,0,0.04
"P10","A Sergio Massa",0.066,0.046,0.168,0,0.05
"P10","A algún candidato del peronismo",0.054,0.528,0.151,0,0.145
"P10","A Cristina Fernández de Kirchner",0.796,0.202,0.56,1,0.765
"P11","A Horacio Rodriguez Larreta",0.349,0.16,0.459,0,0.278
"P11","A Patricia Bullrich",0.061,0.777,0.541,0.461,0.536
"P11","A Facundo Manes",0.488,0.028,0,0.269,0.113
"P11","A Gerardo Morales",0.102,0.035,0,0.27,0.073
"P12","Lo votaria",0.672,0.052,0.057,0.087,0.216
"P12","Puede que lo vote",0.119,0.18,0.13,0.322,0.19
"P12","Nunca lo votaría",0.06,0.654,0.637,0.455,0.36
"P12","No sabe",0.149,0.114,0.176,0.136,0.234
"P13","Lo votaria",0.09,0.342,0.091,0,0.085
"P13","Puede que lo vote",0.074,0.354,0.214,0.177,0.201
"P13","Nunca lo votaría",0.684,0.176,0.468,0.695,0.479
"P13","No sabe",0.152,0.128,0.227,0.128,0.235
"P14","Lo votaria",0.012,0.16,0.051,0.119,0.03
"P14","Puede que lo vote",0.096,0.2,0.149,0.078,0.077
"P14","Nunca lo votaría",0.557,0.232,0.4,0.398,0.426
"P14","No sabe",0.335,0.408,0.4,0.405,0.467
"P15","Lo votaria",0.03,0.029,0.044,0.045,0.033
"P15","Puede que lo vote",0.195,0.113,0.079,0.142,0.111
"P15","Nunca lo votaría",0.432,0.441,0.509,0.415,0.419
"P15","No sabe",0.343,0.417,0.368,0.398,0.437
"P16","Lo votaria",0.027,0.054,0.02,0.045,0.016
"P16","Puede que lo vote",0.062,0.124,0.063,0.044,0.045
"P16","Nunca lo votaría",0.508,0.339,0.469,0.424,0.496
"P16","No sabe",0.403,0.483,0.448,0.487,0.443
"P17","Lo votaria",0.016,0.049,0.035,0.028,0.032
"P17","Puede que lo vote",0.048,0.102,0.099,0.053,0.052
"P17","Nunca lo votaría",0.573,0.377,0.433,0.41,0.5
"P17","No sabe",0.363,0.472,0.433,0.509,0.416
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.727,0.027,0.031,0.171,0.269
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.103,0.024,0.031,0,0.058
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.05,0.254,0.141,0.043,0.169
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.03,0.545,0.12,0.284,0.103
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0.044,0.068,0.028,0.034
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.061,0.051,0.103,0.081,0.107
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.019,0.034,0.464,0.137,0.027
"P18","Al candidato del Frente de Izquierda",0.003,0.001,0.007,0.218,0.027
"P18","No sabe",0.007,0.02,0.035,0.038,0.206
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.736,0.013,0.028,0.149,0.143
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.147,0.03,0.051,0.017,0.058
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.014,0.254,0.084,0.043,0.107
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.011,0.619,0.066,0.176,0.02
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.015,0.033,0.736,0.05,0.049
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.016,0,0.007,0.342,0.055
"P19","No sabe",0.061,0.051,0.028,0.223,0.568
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.902,0.04,0.03,0.164,0.317
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.022,0.715,0.132,0.071,0.137
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.026,0.068,0.686,0.045,0.067
"P20","Al candidato del Frente de Izquierda",0.007,0.063,0.014,0.505,0.055
"P20","No sabe",0.043,0.114,0.138,0.215,0.424
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.957,0.014,0.04,0.143,0.353
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.018,0.852,0.125,0.071,0.133
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.008,0.067,0.772,0.13,0.017
"P21","Al candidato del Frente de Izquierda",0.002,0.01,0.011,0.469,0.018
"P21","No sabe",0.015,0.057,0.052,0.187,0.479
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.925,0.018,0.037,0,0.064
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.013,0.676,0.056,0.071,0.105
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.012,0.125,0.883,0.086,0.037
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.022,0.016,0.014,0.757,0.02
"P22","No sabe",0.028,0.165,0.01,0.086,0.774
"P24","Muy buena",0.553,0.067,0.077,0.042,0.134
"P24","Buena",0.245,0.163,0.03,0.152,0.091
"P24","Ni buena ni mala",0.094,0.206,0.317,0.272,0.23
"P24","Mala",0.02,0.221,0.175,0.297,0.139
"P24","Muy mala",0.008,0.299,0.291,0.18,0.297
"P24","No sabe",0.029,0.017,0.049,0,0.051
"P24","No lo conozco",0.051,0.027,0.061,0.057,0.058
"P25","Muy buena",0.1,0.027,0.007,0.116,0.032
"P25","Buena",0.123,0.05,0.027,0.046,0.043
"P25","Ni buena ni mala",0.397,0.243,0.383,0.168,0.263
"P25","Mala",0.085,0.192,0.157,0.238,0.126
"P25","Muy mala",0.029,0.208,0.177,0.242,0.232
"P25","No sabe",0.124,0.164,0.097,0.07,0.191
"P25","No lo conozco",0.142,0.116,0.152,0.12,0.113
"P26","Muy buena",0.034,0.183,0.012,0.099,0.05
"P26","Buena",0.036,0.292,0.137,0.123,0.079
"P26","Ni buena ni mala",0.163,0.276,0.369,0.042,0.216
"P26","Mala",0.246,0.131,0.186,0.218,0.155
"P26","Muy mala",0.423,0.038,0.164,0.442,0.326
"P26","No sabe",0.041,0.03,0.05,0.047,0.084
"P26","No lo conozco",0.057,0.05,0.082,0.029,0.09
"P27","Muy buena",0.029,0.16,0.03,0,0.027
"P27","Buena",0.02,0.216,0.059,0.128,0.02
"P27","Ni buena ni mala",0.208,0.288,0.382,0.136,0.195
"P27","Mala",0.201,0.031,0.1,0.184,0.103
"P27","Muy mala",0.233,0.018,0.08,0.287,0.262
"P27","No sabe",0.111,0.123,0.171,0.088,0.177
"P27","No lo conozco",0.198,0.164,0.178,0.177,0.216
"P28","Muy buena",0.015,0.073,0.037,0.046,0.029
"P28","Buena",0.017,0.086,0.032,0.106,0.008
"P28","Ni buena ni mala",0.233,0.248,0.333,0.178,0.193
"P28","Mala",0.142,0.046,0.113,0.196,0.054
"P28","Muy mala",0.145,0.048,0.067,0.192,0.19
"P28","No sabe",0.159,0.189,0.215,0.108,0.201
"P28","No lo conozco",0.289,0.31,0.203,0.174,0.325
"P29","Muy buena",0.016,0.028,0.181,0.031,0
"P29","Buena",0.012,0.084,0.099,0.107,0.008
"P29","Ni buena ni mala",0.149,0.301,0.308,0.143,0.173
"P29","Mala",0.198,0.104,0.071,0.189,0.059
"P29","Muy mala",0.223,0.069,0.028,0.282,0.288
"P29","No sabe",0.128,0.157,0.137,0.129,0.173
