"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Gui","Tagliaferro","Cassese","Sebriano","F. Fernández"
"Agua corriente y cloacas",0.252,0.255,0.248,0.206,0.303,0.233,0.226,0.304,0.232,0.24,0.208,0.268,0.344,0.186,0.269,0.45,0.114,0.205
"Energía eléctrica",0.147,0.152,0.142,0.179,0.134,0.151,0.133,0.136,0.163,0.133,0.124,0.157,0.107,0.125,0.174,0.196,0.285,0.142
"Red de gas natural",0.065,0.082,0.05,0.079,0.057,0.066,0.065,0.119,0.043,0.055,0.047,0.076,0.166,0.055,0.078,0,0.038,0.448
"Recolección de residuos",0.243,0.257,0.231,0.305,0.244,0.22,0.21,0.238,0.233,0.26,0.264,0.228,0.135,0.247,0.252,0.243,0.35,0.053
"Ninguno",0.293,0.254,0.329,0.231,0.262,0.33,0.366,0.203,0.329,0.312,0.357,0.271,0.248,0.387,0.227,0.111,0.213,0.152
