"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P09","A Alberto Fernández",0.803,0.186,0.079,0.085
"P09","A Sergio Massa",0.069,0.693,0.149,0.107
"P09","A algún candidato del peronismo",0.121,0.028,0.627,0.079
"P09","A algún candidato del kirchnerismo",0.007,0.093,0.145,0.729
"P12","Lo votaria",0.503,0.359,0.276,0.655
"P12","Puede que lo vote",0.177,0.374,0.252,0.112
"P12","Nunca lo votaría",0.138,0.13,0.346,0.04
"P12","No sabe",0.182,0.137,0.126,0.193
"P13","Lo votaria",0.174,0.065,0.18,0.074
"P13","Puede que lo vote",0.296,0.252,0.141,0.075
"P13","Nunca lo votaría",0.325,0.609,0.474,0.69
"P13","No sabe",0.205,0.074,0.205,0.161
"P14","Lo votaria",0.101,0.022,0.088,0.019
"P14","Puede que lo vote",0.332,0.337,0.132,0.039
"P14","Nunca lo votaría",0.249,0.518,0.388,0.577
"P14","No sabe",0.318,0.123,0.392,0.365
"P15","Lo votaria",0.038,0.085,0.122,0.033
"P15","Puede que lo vote",0.308,0.27,0.152,0.157
"P15","Nunca lo votaría",0.181,0.498,0.438,0.459
"P15","No sabe",0.473,0.147,0.288,0.351
"P16","Lo votaria",0.059,0.026,0.05,0.017
"P16","Puede que lo vote",0.26,0.197,0.069,0.041
"P16","Nunca lo votaría",0.187,0.57,0.51,0.526
"P16","No sabe",0.494,0.207,0.371,0.416
"P17","Lo votaria",0.086,0,0.082,0.013
"P17","Puede que lo vote",0.191,0.281,0.066,0.026
"P17","Nunca lo votaría",0.278,0.503,0.54,0.579
"P17","No sabe",0.445,0.216,0.312,0.382
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.68,0.531,0.349,0.753
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.079,0.323,0.038,0.073
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.122,0.084,0.291,0.035
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.053,0.062,0.132,0.033
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0,0,0
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.056,0,0.09,0.068
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.01,0,0.072,0.023
"P18","Al candidato del Frente de Izquierda",0,0,0,0.007
"P18","No sabe",0,0,0.028,0.008
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.57,0.51,0.475,0.692
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.253,0.136,0.037,0.123
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.051,0.036,0.054,0.007
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.009,0.015,0.136,0.019
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.053,0.081,0.168,0.007
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.045,0,0.031,0.024
"P19","No sabe",0.019,0.222,0.099,0.128
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.874,0.792,0.476,0.894
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.018,0.058,0.195,0.012
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.04,0.017,0.069,0.035
"P20","Al candidato del Frente de Izquierda",0,0,0.107,0.016
"P20","No sabe",0.068,0.133,0.153,0.043
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.806,0.767,0.539,0.918
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.143,0.042,0.313,0.002
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.042,0.09,0.054,0.039
"P21","Al candidato del Frente de Izquierda",0,0,0.009,0.009
"P21","No sabe",0.009,0.101,0.085,0.032
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.874,0.693,0.498,0.788
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.05,0.098,0.199,0.003
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.044,0.087,0.052,0.029
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0,0,0.027
"P22","No sabe",0.032,0.122,0.251,0.153
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.78,0.762,0.477,0.806
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.09,0.023,0.202,0.009
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.057,0.1,0.068,0.029
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0,0,0.002
"P23","No sabe",0.073,0.115,0.253,0.154
"P24","Muy buena",0.362,0.373,0.265,0.536
"P24","Buena",0.323,0.124,0.216,0.214
"P24","Ni buena ni mala",0.16,0.298,0.103,0.111
"P24","Mala",0.031,0.033,0.165,0.026
"P24","Muy mala",0,0.124,0.212,0.017
"P24","No sabe",0,0.048,0.018,0.044
"P24","No lo conozco",0.124,0,0.021,0.052
"P25","Muy buena",0.124,0.129,0.138,0.069
"P25","Buena",0.13,0.101,0.063,0.143
"P25","Ni buena ni mala",0.365,0.272,0.388,0.367
"P25","Mala",0.045,0.076,0.159,0.1
"P25","Muy mala",0.059,0.058,0.092,0.057
"P25","No sabe",0.039,0.235,0.045,0.138
"P25","No lo conozco",0.238,0.129,0.115,0.126
"P26","Muy buena",0.084,0.081,0.221,0.017
"P26","Buena",0.141,0.063,0.069,0.027
"P26","Ni buena ni mala",0.357,0.259,0.281,0.135
"P26","Mala",0.158,0.271,0.13,0.23
"P26","Muy mala",0.132,0.25,0.224,0.489
"P26","No sabe",0,0.076,0.053,0.048
"P26","No lo conozco",0.128,0,0.022,0.054
"P27","Muy buena",0.06,0.098,0.202,0.024
"P27","Buena",0.153,0,0.095,0.013
"P27","Ni buena ni mala",0.329,0.187,0.221,0.185
"P27","Mala",0.156,0.321,0.109,0.195
"P27","Muy mala",0.031,0.252,0.072,0.291
"P27","No sabe",0.032,0.109,0.199,0.115
"P27","No lo conozco",0.239,0.033,0.102,0.177
"P28","Muy buena",0.066,0.095,0.157,0
"P28","Buena",0.112,0,0.09,0.013
"P28","Ni buena ni mala",0.255,0.171,0.273,0.22
"P28","Mala",0.112,0.364,0.016,0.127
"P28","Muy mala",0.076,0.105,0,0.152
"P28","No sabe",0.067,0.237,0.262,0.195
"P28","No lo conozco",0.312,0.028,0.202,0.293
"P29","Muy buena",0.042,0.097,0,0.004
"P29","Buena",0.167,0,0,0.019
"P29","Ni buena ni mala",0.242,0.154,0.243,0.111
"P29","Mala",0.117,0.339,0.199,0.184
"P29","Muy mala",0.08,0.134,0.196,0.244
"P29","No sabe",0.069,0.116,0.158,0.161
"P29","No lo conozco",0.283,0.16,0.204,0.277
"P30","Muy buena",0.214,0.286,0.131,0.411
"P30","Buena",0.417,0.147,0.163,0.332
"P30","Ni buena ni mala",0.193,0.282,0.185,0.072
"P30","Mala",0.094,0.237,0.137,0.084
"P30","Muy mala",0.082,0.023,0.321,0.044
"P30","No sabe",0,0.025,0.063,0.057
"P31","Que continúe el intendente Lucas Gui",0.254,0.274,0.296,0.429
"P31","Que continúe Lucas Gui pero con mejoras",0.48,0.172,0.299,0.419
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.142,0.3,0.075,0.091
"P31","Que cambie el intendente Lucas Gui",0.124,0.254,0.33,0.061
"P32","La seguridad",0.282,0,0.221,0.107
"P32","El tránsito",0.123,0,0.123,0.06
"P32","El arreglo de las calles",0.192,0.332,0.066,0.185
"P32","Los parques y espacios públicos",0.064,0.087,0.28,0.182
"P32","El sistema de salud",0.07,0.015,0.103,0.12
"P32","La limpieza de las calles",0.118,0.03,0.03,0.044
"P32","El deporte y la cultura",0.08,0.305,0,0.155
"P32","La luminaria",0,0.043,0.031,0.063
"P32","No sabe",0.071,0.188,0.146,0.084
"P33","La seguridad",0.393,0.431,0.499,0.23
"P33","El tránsito",0.213,0,0.022,0.1
"P33","El arreglo de las calles",0.143,0.178,0.316,0.227
"P33","Los parques y espacios públicos",0,0,0.07,0.052
"P33","El sistema de salud",0.017,0.044,0.062,0.061
"P33","La limpieza de las calles",0.01,0,0,0.078
"P33","El deporte y la cultura",0.104,0.183,0,0.013
"P33","La luminaria",0.039,0.02,0.031,0.032
"P33","No sabe",0.081,0.144,0,0.207
"P34","Agua corriente y cloacas",0.233,0.15,0.309,0.176
"P34","Energía eléctrica",0.22,0.273,0.253,0.092
