"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.93,0.924,0.935,0.92,0.94,0.929,0.693,0.884,0.95,0.948
"No",0.07,0.076,0.065,0.08,0.06,0.071,0.307,0.116,0.05,0.052
