"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.963,0.96,0.967,0.946,0.979,0.955,0.815,0.94,0.979,0.964
"No",0.037,0.04,0.033,0.054,0.021,0.045,0.185,0.06,0.021,0.036
