clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto
1 hijo,0.56,0.552,0.566,0.426,0.624,0.613,0.32,0.5,0.557,0.64
2 hijos,0.282,0.288,0.277,0.316,0.28,0.223,0.203,0.27,0.294,0.276
3 hijos,0.069,0.057,0.08,0.1,0.061,0.012,0.129,0.071,0.079,0.05
4 o más hijos,0.089,0.103,0.077,0.158,0.035,0.152,0.348,0.159,0.07,0.034
