"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.208,0.201,0.214,0.227,0.195,0.272,0.245,0.196,0.195,0.235
"No",0.792,0.799,0.786,0.773,0.805,0.728,0.755,0.804,0.805,0.765
