clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto
Con hijos de 3 años y menos,0.472,0.488,0.46,0.661,0.397,0.376,0.624,0.497,0.48,0.429
Con hijos mayores de 3 años,0.528,0.512,0.54,0.339,0.603,0.624,0.376,0.503,0.52,0.571
