"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"En un Centro de Salud",0.508,0.439,0.562,0.59,0.495,0.385,0.417,0.48,0.592,0.393
"En un hospital",0.211,0.246,0.185,0.192,0.207,0.276,0.294,0.207,0.215,0.21
"En un sanatorio",0.046,0.051,0.042,0.05,0.04,0.063,0.09,0.05,0.04,0.052
"En un Consultorio Privado",0.047,0.062,0.035,0.059,0.04,0.05,0.075,0.086,0.018,0.052
"En un vacunatorio",0.188,0.202,0.176,0.109,0.218,0.226,0.124,0.177,0.135,0.293
