"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.16,0.179,0.146,0.161,0.154,0.187,0.225,0.193,0.145,0.15
"No",0.84,0.821,0.854,0.839,0.846,0.813,0.775,0.807,0.855,0.85
