"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si, Infanrix",0.122,0.08,0.154,0.103,0.131,0.11,0.037,0.252,0.042,0.108
"Si, Hexaxim",0.156,0.183,0.136,0.242,0.143,0.137,0.048,0.26,0.088,0.148
"No recuerdo",0.722,0.737,0.71,0.655,0.726,0.753,0.915,0.488,0.87,0.744
