"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.189,0.171,0.202,0.268,0.169,0.128,0.214,0.245,0.188,0.13
"No",0.738,0.748,0.73,0.662,0.754,0.804,0.767,0.666,0.738,0.816
"No recuerda",0.073,0.081,0.068,0.07,0.077,0.068,0.019,0.089,0.074,0.054
