"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"Si",0.488,0.515,0.463,0.426,0.489,0.555,0.485,0.518,0.484,0.477,0.55,0.502,0.324,0.435,0.34
"No",0.512,0.485,0.537,0.574,0.511,0.445,0.515,0.482,0.516,0.523,0.45,0.498,0.676,0.565,0.66
