"var","categoria","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad","A los candidatos de otros partidos políticos","No sabe"
"P06","Siempre",0.24,0.224,0.201,0.113,0.135,0.068,0.241,0.178,0.111,0.031
"P06","Casi siempre",0.341,0.401,0.434,0.453,0.358,0.318,0.253,0.206,0.372,0.264
"P06","Casi nunca",0.336,0.289,0.214,0.233,0.507,0.425,0.455,0.47,0.418,0.419
"P06","Nunca, pero esta es una excepción",0.083,0.086,0.151,0.201,0,0.189,0.051,0.146,0.099,0.286
"P08","Unión por la Patria",0.558,0.144,0.041,0.031,0.012,0.257,0.065,0.226,0.105,0.043
"P08","Juntos por el Cambio",0.227,0.652,0.109,0.164,0.097,0.054,0.095,0.007,0.029,0.161
"P08","De los Liberales libertarios",0.022,0.09,0.576,0.079,0.165,0.141,0.128,0.049,0.084,0.194
"P08","De la Izquierda",0.017,0.005,0.075,0.328,0,0.167,0.033,0.265,0.011,0.002
"P08","Hacemos por nuestro país",0.07,0.041,0,0.096,0.682,0.14,0.257,0.035,0.103,0.007
"P08","Otro",0.029,0.027,0.007,0.03,0,0.042,0.063,0.052,0.345,0.053
"P08","En blanco",0.023,0.011,0.133,0.173,0.044,0.017,0.316,0.143,0.045,0.088
"P08","No sabe",0.054,0.03,0.059,0.099,0,0.182,0.043,0.223,0.278,0.452
"P12","Totalmente seguro",0.71,0.659,0.444,0.396,0.691,0.658,0.75,0.657,0.481,0.133
"P12","Bastante seguro",0.174,0.203,0.109,0.172,0.196,0.284,0.116,0.11,0.088,0.007
"P12","Algo seguro",0.098,0.091,0.207,0.191,0.113,0.058,0.036,0.092,0.208,0.183
"P12","Para nada seguro",0.018,0.047,0.24,0.241,0,0,0.098,0.141,0.223,0.677
"P13","Tiene Decidido que va a ir a votar",0.952,0.935,1,0.785,1,0.753,0.953,0.925,0.703,0.656
"P13","Tiene dudas sobre si va a ir a  votar",0.048,0.065,0,0.215,0,0.247,0.047,0.075,0.297,0.344
"P14","Si",0.551,0.499,0.422,0.345,0.219,0.292,0.612,0.336,0.193,0.288
"P14","No",0.449,0.501,0.578,0.655,0.781,0.708,0.388,0.664,0.807,0.712
