"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"Unión por la Patria",0.301,0.272,0.327,0.329,0.315,0.266,0.268,0.302,0.328,0.276,0.527,0.122,0.078,0.077,0.285
"Hacemos por nuestro país",0.056,0.077,0.037,0.048,0.059,0.073,0.041,0.065,0.03,0.074,0.067,0.033,0.183,0.067,0.052
"Juntos por el Cambio",0.369,0.353,0.383,0.254,0.376,0.422,0.473,0.357,0.353,0.391,0.23,0.665,0.245,0.104,0.007
"De los Liberales libertarios",0.08,0.125,0.04,0.084,0.095,0.072,0.044,0.071,0.063,0.099,0.022,0.081,0.248,0.381,0.087
"De la Izquierda",0.031,0.038,0.024,0.036,0.023,0.031,0.039,0.042,0.02,0.033,0.017,0.012,0.045,0.235,0.213
"Otro",0.037,0.045,0.03,0.07,0.018,0.045,0.019,0.031,0.054,0.026,0.019,0.03,0.084,0,0.107
"En blanco",0.039,0.043,0.036,0.039,0.034,0.035,0.057,0.073,0.031,0.027,0.03,0.012,0.012,0.007,0.193
"No sabe",0.087,0.047,0.123,0.14,0.08,0.056,0.059,0.059,0.121,0.074,0.088,0.045,0.105,0.129,0.056
