"var","categoria","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad","A los candidatos de otros partidos políticos"
"P06","Siempre",0.23,0.215,0.183,0.113,0.126,0.068,0.227,0.167,0.091
"P06","Casi siempre",0.341,0.393,0.395,0.453,0.403,0.318,0.238,0.227,0.307
"P06","Casi nunca",0.338,0.293,0.266,0.233,0.471,0.425,0.488,0.451,0.462
"P06","Nunca, pero esta es una excepción",0.091,0.099,0.156,0.201,0,0.189,0.047,0.155,0.14
"P08","Unión por la Patria",0.534,0.139,0.037,0.031,0.011,0.257,0.062,0.228,0.092
"P08","Juntos por el Cambio",0.228,0.628,0.099,0.164,0.09,0.054,0.09,0.007,0.026
"P08","De los Liberales libertarios",0.022,0.102,0.523,0.079,0.227,0.141,0.121,0.056,0.125
"P08","De la Izquierda",0.016,0.005,0.068,0.328,0,0.167,0.032,0.252,0.009
"P08","Hacemos por nuestro país",0.068,0.039,0,0.096,0.631,0.14,0.244,0.033,0.09
"P08","Otro",0.034,0.026,0.007,0.03,0,0.042,0.06,0.049,0.303
"P08","En blanco",0.024,0.01,0.199,0.173,0.041,0.017,0.3,0.147,0.04
"P08","No sabe",0.074,0.051,0.067,0.099,0,0.182,0.091,0.228,0.315
"P12","Totalmente seguro",0.681,0.641,0.418,0.396,0.638,0.658,0.705,0.623,0.412
"P12","Bastante seguro",0.166,0.196,0.099,0.172,0.181,0.284,0.109,0.104,0.075
"P12","Algo seguro",0.11,0.09,0.189,0.191,0.105,0.058,0.034,0.103,0.178
"P12","Para nada seguro",0.043,0.073,0.294,0.241,0.076,0,0.152,0.17,0.335
"P13","Tiene Decidido que va a ir a votar",0.95,0.919,0.923,0.785,0.924,0.753,0.956,0.901,0.657
"P13","Tiene dudas sobre si va a ir a  votar",0.05,0.081,0.077,0.215,0.076,0.247,0.044,0.099,0.343
"P14","Si",0.539,0.492,0.38,0.345,0.203,0.292,0.638,0.317,0.224
"P14","No",0.461,0.508,0.62,0.655,0.797,0.708,0.362,0.683,0.776
