"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.42,0.354,0.48,0.432,0.453,0.414,0.328,0.401,0.49,0.371,0.767,0.125,0.224,0.101,0.34
"A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.016,0.012,0.018,0.035,0.008,0.006,0.017,0.004,0.012,0.024,0.007,0.006,0.069,0.142,0.059
"A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.426,0.462,0.393,0.381,0.396,0.456,0.527,0.392,0.382,0.482,0.178,0.797,0.329,0.255,0.039
"A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.03,0.038,0.023,0.03,0.023,0.047,0.026,0.054,0.026,0.021,0.012,0.021,0.139,0.17,0.015
"A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.037,0.062,0.015,0.044,0.039,0.033,0.029,0.061,0.032,0.029,0.005,0.035,0.054,0.213,0.02
"A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.034,0.026,0.041,0.047,0.035,0.02,0.029,0.04,0.022,0.04,0.008,0.006,0.023,0.035,0.492
"A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.008,0.015,0.002,0.004,0.01,0.002,0.018,0.021,0.002,0.006,0.008,0.009,0.009,0.007,0
"A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.01,0.01,0.01,0.01,0.007,0.01,0.017,0.01,0.005,0.014,0.012,0,0.066,0.012,0.009
"A los candidatos de otros partidos políticos",0.019,0.021,0.018,0.017,0.029,0.012,0.009,0.017,0.029,0.013,0.003,0.001,0.087,0.065,0.026
