"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Olivero"
"A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.4,0.342,0.454,0.397,0.434,0.407,0.315,0.376,0.461,0.362,0.741,0.121,0.21,0.088,0.333
"A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.015,0.012,0.018,0.035,0.008,0.006,0.017,0.004,0.012,0.024,0.007,0.006,0.069,0.142,0.059
"A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.406,0.44,0.374,0.356,0.37,0.449,0.505,0.375,0.352,0.467,0.172,0.781,0.319,0.178,0.027
"A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.03,0.038,0.023,0.03,0.023,0.047,0.026,0.054,0.026,0.021,0.012,0.021,0.139,0.17,0.015
"A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.034,0.055,0.015,0.044,0.03,0.033,0.029,0.048,0.031,0.029,0.005,0.027,0.053,0.213,0.02
"A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.032,0.026,0.038,0.047,0.034,0.017,0.027,0.04,0.021,0.037,0.008,0.006,0.023,0.02,0.482
"A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.008,0.014,0.002,0.004,0.01,0.002,0.014,0.019,0.002,0.006,0.008,0.007,0.009,0.007,0
"A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.009,0.009,0.01,0.011,0.007,0.01,0.013,0.01,0.005,0.013,0.012,0,0.057,0.012,0.009
"A los candidatos de otros partidos políticos",0.017,0.018,0.016,0.017,0.025,0.011,0.005,0.014,0.025,0.012,0.003,0.001,0.087,0.052,0.026
"No sabe",0.049,0.046,0.05,0.059,0.059,0.018,0.049,0.06,0.065,0.029,0.032,0.03,0.034,0.118,0.029
