"var","categoria","1","2","3","4","5","6","7","8","9"
"P04","Tengo trabajo estable",0.452,0.464,0.544,0.482,0.448,0.434,0.499,0.451,0.342
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.224,0.108,0.182,0.212,0.149,0.17,0.221,0.248
"P04","No tengo trabajo",0.199,0.184,0.176,0.156,0.158,0.189,0.168,0.171,0.237
"P04","Soy jubilado o pensionado",0.161,0.128,0.172,0.18,0.182,0.228,0.163,0.157,0.173
"P05","1",0.283,0.246,0.219,0.097,0.28,0.199,0.234,0.24,0.392
"P05","2",0.058,0.202,0.059,0.099,0.09,0.061,0.06,0.094,0.084
"P05","3",0.045,0.054,0.128,0.101,0.068,0.124,0.134,0.117,0.058
"P05","4",0.055,0.085,0.137,0.258,0.109,0.149,0.152,0.116,0.052
"P05","5",0.149,0.201,0.209,0.236,0.318,0.258,0.224,0.241,0.169
"P05","6",0.05,0.06,0.103,0.103,0.027,0.075,0.04,0.04,0.022
"P05","7",0.095,0.049,0.098,0.03,0.039,0.026,0.08,0.038,0.027
"P05","8",0.055,0.052,0.024,0.039,0.019,0.044,0.029,0.057,0.028
"P05","9",0.21,0.051,0.023,0.037,0.05,0.064,0.047,0.057,0.168
"P06","1",0.456,0.169,0.071,0.046,0.08,0.078,0.021,0.034,0.255
"P06","2",0.052,0.343,0.045,0.03,0.025,0.032,0.003,0.05,0.045
"P06","3",0.038,0.067,0.281,0.08,0.017,0.012,0.033,0.028,0.021
"P06","4",0.034,0.046,0.061,0.343,0.04,0.038,0.044,0.068,0.038
"P06","5",0.141,0.159,0.21,0.142,0.512,0.24,0.214,0.206,0.134
"P06","6",0.033,0.041,0.062,0.111,0.033,0.335,0.046,0.062,0.035
"P06","7",0.037,0.045,0.105,0.046,0.071,0.105,0.359,0.079,0.036
"P06","8",0.034,0.071,0.067,0.074,0.056,0.04,0.088,0.348,0.046
"P06","9",0.175,0.059,0.098,0.128,0.166,0.12,0.192,0.125,0.39
"P09","Del Frente de Todos y el peronismo",0.483,0.316,0.337,0.264,0.217,0.24,0.195,0.159,0.213
"P09","De Cambiemos",0.209,0.306,0.322,0.263,0.334,0.352,0.37,0.426,0.344
"P09","De los Liberales libertarios",0.09,0.14,0.172,0.14,0.208,0.247,0.288,0.238,0.197
"P09","De la Izquierda",0.052,0.045,0.009,0.063,0.022,0.012,0.015,0.019,0.02
"P09","No sabe",0.166,0.193,0.16,0.27,0.219,0.149,0.132,0.158,0.226
"P10","A Alberto Fernández",0.187,0.102,0.076,0.103,0.118,0.169,0.125,0.165,0.341
"P10","A Sergio Massa",0.134,0.178,0.129,0.264,0.231,0.169,0.233,0.29,0.221
"P10","A algún candidato del peronismo",0.159,0.311,0.178,0.297,0.296,0.433,0.341,0.217,0.21
"P10","A algún candidato del kirchnerismo",0.52,0.409,0.617,0.336,0.355,0.229,0.301,0.328,0.228
"P11","A Alberto Fernández",0.123,0.069,0.031,0.097,0.068,0.135,0.105,0.145,0.274
"P11","A Sergio Massa",0.076,0.081,0.066,0.078,0.157,0.336,0.228,0.208,0.144
"P11","A algún candidato del peronismo",0.104,0.153,0.063,0.264,0.24,0.132,0.232,0.206,0.188
"P11","A Cristina Fernández de Kirchner",0.697,0.697,0.84,0.561,0.535,0.397,0.435,0.441,0.394
"P12","A Horacio Rodriguez Larreta",0.326,0.379,0.231,0.243,0.228,0.252,0.215,0.201,0.264
"P12","A Mauricio Macri",0.31,0.364,0.243,0.401,0.315,0.293,0.361,0.418,0.367
"P12","A Patricia Bullrich",0.192,0.128,0.311,0.196,0.295,0.344,0.284,0.282,0.273
"P12","A Facundo Manes",0.13,0.092,0.147,0.146,0.107,0.053,0.085,0.056,0.067
"P12","A Gerardo Morales",0.042,0.037,0.068,0.014,0.055,0.058,0.055,0.043,0.029
"P13","Seguro lo votaria",0.261,0.207,0.124,0.1,0.209,0.181,0.212,0.161,0.277
"P13","Quizás lo votaría",0.309,0.338,0.327,0.331,0.326,0.302,0.383,0.427,0.332
"P13","Nunca lo votaría",0.43,0.455,0.549,0.569,0.465,0.517,0.405,0.412,0.391
"P14","Lo votaría",0.136,0.183,0.189,0.166,0.252,0.24,0.279,0.326,0.295
"P14","Puede que lo vote",0.132,0.201,0.24,0.29,0.214,0.244,0.291,0.258,0.204
"P14","Nunca lo votaría",0.617,0.543,0.478,0.395,0.403,0.385,0.313,0.342,0.377
"P14","No sabe",0.115,0.073,0.093,0.149,0.131,0.131,0.117,0.074,0.124
"P15","Lo votaría",0.152,0.122,0.109,0.091,0.127,0.133,0.098,0.15,0.109
"P15","Puede que lo vote",0.27,0.254,0.234,0.221,0.139,0.111,0.141,0.109,0.149
"P15","Nunca lo votaría",0.459,0.488,0.554,0.566,0.631,0.635,0.672,0.673,0.641
"P15","No sabe",0.119,0.136,0.103,0.122,0.103,0.121,0.089,0.068,0.101
"P16","Lo votaría",0.175,0.108,0.054,0.051,0.066,0.098,0.017,0.061,0.117
"P16","Puede que lo vote",0.259,0.216,0.229,0.134,0.105,0.126,0.101,0.103,0.099
"P16","Nunca lo votaría",0.459,0.569,0.645,0.73,0.752,0.719,0.811,0.792,0.715
"P16","No sabe",0.107,0.107,0.072,0.085,0.077,0.057,0.071,0.044,0.069
"P17","La votaría",0.466,0.262,0.256,0.142,0.141,0.141,0.089,0.15,0.198
"P17","Puede que la vote",0.088,0.134,0.076,0.073,0.061,0.089,0.037,0.021,0.047
"P17","Nunca la votaría",0.409,0.542,0.635,0.721,0.739,0.727,0.825,0.798,0.709
"P17","No sabe",0.037,0.062,0.033,0.064,0.059,0.043,0.049,0.031,0.046
"P18","Lo votaría",0.157,0.152,0.172,0.169,0.153,0.155,0.167,0.145,0.182
"P18","Puede que lo vote",0.142,0.23,0.285,0.315,0.291,0.322,0.321,0.323,0.241
"P18","Nunca lo votaría",0.624,0.514,0.451,0.383,0.46,0.414,0.406,0.447,0.478
"P18","No sabe",0.077,0.104,0.092,0.133,0.096,0.109,0.106,0.085,0.099
"P19","Lo votaría",0.087,0.085,0.101,0.109,0.114,0.105,0.122,0.089,0.1
"P19","Puede que lo vote",0.18,0.237,0.293,0.298,0.266,0.281,0.356,0.341,0.232
"P19","Nunca lo votaría",0.594,0.518,0.515,0.365,0.466,0.471,0.356,0.445,0.502
"P19","No sabe",0.139,0.16,0.091,0.228,0.154,0.143,0.166,0.125,0.166
"P20","La votaría",0.138,0.127,0.192,0.251,0.282,0.25,0.331,0.345,0.277
"P20","Puede que la vote",0.115,0.289,0.263,0.262,0.249,0.215,0.322,0.329,0.227
"P20","Nunca la votaría",0.68,0.506,0.5,0.401,0.352,0.441,0.28,0.255,0.4
"P20","No sabe",0.067,0.078,0.045,0.086,0.117,0.094,0.067,0.071,0.096
"P21","Lo votaría",0.138,0.117,0.152,0.196,0.262,0.291,0.324,0.295,0.272
"P21","Puede que lo vote",0.112,0.231,0.219,0.269,0.204,0.191,0.262,0.266,0.218
"P21","Nunca lo votaría",0.67,0.555,0.59,0.461,0.457,0.472,0.33,0.379,0.416
"P21","No sabe",0.08,0.097,0.039,0.074,0.077,0.046,0.084,0.06,0.094
"P22","La votaría",0.088,0.09,0.073,0.115,0.158,0.182,0.205,0.182,0.156
"P22","Puede que la vote",0.124,0.198,0.287,0.296,0.264,0.247,0.293,0.272,0.229
"P22","Nunca la votaría",0.685,0.63,0.597,0.493,0.456,0.472,0.368,0.43,0.478
"P22","No sabe",0.103,0.082,0.043,0.096,0.122,0.099,0.134,0.116,0.137
"P23","Lo votaría",0.107,0.093,0.079,0.052,0.059,0.102,0.054,0.039,0.062
"P23","Puede que lo vote",0.252,0.263,0.239,0.175,0.135,0.13,0.099,0.108,0.136
"P23","Nunca lo votaría",0.545,0.559,0.644,0.676,0.702,0.708,0.763,0.803,0.72
"P23","No sabe",0.096,0.085,0.038,0.097,0.104,0.06,0.084,0.05,0.082
"P24","Lo votaría",0.047,0.019,0.061,0.045,0.072,0.08,0.079,0.035,0.06
"P24","Puede que lo vote",0.115,0.177,0.212,0.188,0.183,0.189,0.206,0.193,0.169
"P24","Nunca lo votaría",0.709,0.662,0.615,0.582,0.585,0.581,0.543,0.655,0.623
"P24","No sabe",0.129,0.142,0.112,0.185,0.16,0.15,0.172,0.117,0.148
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.116,0.229,0.191,0.193,0.251,0.219,0.289,0.325,0.257
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.101,0.104,0.174,0.202,0.145,0.159,0.161,0.134,0.128
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.045,0.033,0.012,0.019,0.018,0.031,0.027,0.043,0.055
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.487,0.356,0.304,0.166,0.167,0.134,0.106,0.115,0.178
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.111,0.106,0.17,0.203,0.234,0.273,0.295,0.308,0.258
"P25","Nicolás del Caño – Myriam Bregman",0.042,0.012,0.018,0.025,0.02,0.013,0.009,0.006,0.012
"P25","Otros candidatos",0.098,0.16,0.131,0.192,0.165,0.171,0.113,0.069,0.112
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.518,0.345,0.346,0.192,0.18,0.154,0.115,0.138,0.205
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.166,0.278,0.259,0.287,0.343,0.273,0.379,0.411,0.332
"P29","Javier Milei – José Luis Espert por los liberales",0.129,0.134,0.225,0.222,0.27,0.337,0.332,0.316,0.297
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.043,0.018,0.033,0.027,0.009,0,0.005,0.007,0.015
"P29","Otro candidato",0.144,0.225,0.137,0.272,0.198,0.236,0.169,0.128,0.151
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.191,0.252,0.387,0.294,0.289,0.257,0.307,0.314,0.272
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.359,0.299,0.216,0.14,0.163,0.154,0.154,0.113,0.191
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.143,0.124,0.231,0.222,0.283,0.366,0.345,0.388,0.326
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.07,0.035,0.019,0.047,0.018,0.015,0.006,0.007,0.024
"P31","Otro candidato",0.237,0.29,0.147,0.297,0.247,0.208,0.188,0.178,0.187
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.39,0.283,0.288,0.186,0.145,0.137,0.106,0.093,0.154
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.189,0.311,0.282,0.376,0.356,0.357,0.449,0.421,0.359
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.122,0.113,0.217,0.15,0.244,0.332,0.297,0.315,0.287
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.071,0.029,0.037,0.029,0.013,0.008,0.002,0.007,0.015
