"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.477,0.404,0.465,0.468,0.438
"P04","Realizo changas o trabajos de vez en cuando",0.163,0.172,0.218,0.218,0.205
"P04","No tengo trabajo",0.148,0.173,0.227,0.238,0.196
"P04","Soy jubilado o pensionado",0.212,0.251,0.09,0.076,0.161
"P05","1",0.254,0.382,0.357,0.118,0.272
"P05","2",0.052,0.078,0.091,0.058,0.065
"P05","3",0.033,0.08,0.106,0.014,0.048
"P05","4",0.057,0.109,0.074,0.039,0.072
"P05","5",0.141,0.191,0.194,0.205,0.236
"P05","6",0.058,0.039,0.016,0.03,0.06
"P05","7",0.12,0.031,0.039,0.128,0.055
"P05","8",0.069,0.02,0.026,0.131,0.047
"P05","9",0.216,0.07,0.097,0.277,0.145
"P06","1",0.44,0.186,0.125,0.399,0.307
"P06","2",0.069,0.037,0.031,0.063,0.06
"P06","3",0.051,0.025,0.032,0.074,0.033
"P06","4",0.056,0.043,0.031,0.046,0.053
"P06","5",0.154,0.206,0.157,0.202,0.242
"P06","6",0.031,0.06,0.056,0.025,0.058
"P06","7",0.033,0.092,0.077,0.021,0.046
"P06","8",0.036,0.08,0.1,0.047,0.036
"P06","9",0.13,0.271,0.391,0.123,0.165
"P07","1",0.569,0.221,0.199,0.717,0.384
"P07","2",0.042,0.036,0.018,0.03,0.045
"P07","3",0.033,0.026,0.028,0.029,0.023
"P07","4",0.017,0.028,0.016,0.019,0.028
"P07","5",0.069,0.134,0.129,0.041,0.132
"P07","6",0.013,0.026,0.034,0.005,0.018
"P07","7",0.016,0.054,0.05,0.003,0.026
"P07","8",0.016,0.059,0.061,0.009,0.033
"P07","9",0.225,0.416,0.465,0.147,0.311
"P09","Del Frente de Todos y el peronismo",0.785,0.088,0.053,0.335,0.34
"P09","De Cambiemos",0.075,0.699,0.141,0.052,0.197
"P09","De los Liberales libertarios",0.021,0.1,0.627,0.064,0.041
"P09","De la Izquierda",0.022,0.012,0.02,0.342,0.027
"P09","No sabe",0.097,0.101,0.159,0.207,0.395
"P10","A Alberto Fernández",0.178,0.214,0.199,0.232,0.167
"P10","A Sergio Massa",0.197,0.152,0.059,0.052,0.099
"P10","A algún candidato del peronismo",0.133,0.431,0.562,0.133,0.233
"P10","A algún candidato del kirchnerismo",0.492,0.203,0.18,0.583,0.501
"P11","A Alberto Fernández",0.105,0.166,0.163,0.076,0.108
"P11","A Sergio Massa",0.112,0.157,0.087,0.028,0.052
"P11","A algún candidato del peronismo",0.08,0.428,0.549,0.05,0.174
"P11","A Cristina Fernández de Kirchner",0.703,0.249,0.201,0.846,0.666
"P12","A Horacio Rodriguez Larreta",0.317,0.248,0.253,0.208,0.338
"P12","A Mauricio Macri",0.203,0.362,0.36,0.457,0.278
"P12","A Patricia Bullrich",0.132,0.306,0.32,0.093,0.077
"P12","A Facundo Manes",0.261,0.053,0.041,0.119,0.218
"P12","A Gerardo Morales",0.087,0.031,0.026,0.123,0.089
"P13","Seguro lo votaria",0.234,0.213,0.445,0.11,0.179
"P13","Quizás lo votaría",0.189,0.338,0.313,0.088,0.304
"P13","Nunca lo votaría",0.577,0.449,0.242,0.802,0.517
"P14","Lo votaría",0.058,0.515,0.168,0.036,0.1
"P14","Puede que lo vote",0.063,0.27,0.315,0.027,0.122
"P14","Nunca lo votaría",0.798,0.144,0.42,0.743,0.608
"P14","No sabe",0.081,0.071,0.097,0.194,0.17
"P15","Lo votaría",0.273,0.114,0.062,0.069,0.056
"P15","Puede que lo vote",0.421,0.08,0.097,0.195,0.207
"P15","Nunca lo votaría",0.217,0.759,0.789,0.543,0.549
"P15","No sabe",0.089,0.047,0.052,0.193,0.188
"P16","Lo votaría",0.276,0.042,0.02,0.085,0.119
"P16","Puede que lo vote",0.431,0.034,0.038,0.259,0.176
"P16","Nunca lo votaría",0.19,0.899,0.914,0.493,0.549
"P16","No sabe",0.103,0.025,0.028,0.163,0.156
"P17","La votaría",0.707,0.052,0.036,0.408,0.341
"P17","Puede que la vote",0.132,0.015,0.025,0.167,0.073
"P17","Nunca la votaría",0.129,0.917,0.923,0.317,0.499
"P17","No sabe",0.032,0.016,0.016,0.108,0.087
"P18","Lo votaría",0.12,0.315,0.088,0.107,0.11
"P18","Puede que lo vote",0.078,0.395,0.25,0.08,0.158
"P18","Nunca lo votaría",0.758,0.237,0.594,0.654,0.579
