"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P04","Tengo trabajo estable",0.392,0.437,0.36,0.455,0.476,0.452,0.423
"P04","Realizo changas o trabajos de vez en cuando",0.186,0.177,0.216,0.2,0.219,0.273,0.195
"P04","No tengo trabajo",0.164,0.174,0.268,0.158,0.226,0.166,0.214
"P04","Soy jubilado o pensionado",0.258,0.212,0.156,0.187,0.079,0.109,0.168
"P05","1",0.41,0.342,0.329,0.244,0.366,0.164,0.232
"P05","2",0.084,0.084,0.063,0.063,0.077,0.068,0.057
"P05","3",0.082,0.069,0.038,0.037,0.11,0.02,0.053
"P05","4",0.095,0.123,0.033,0.049,0.07,0.026,0.097
"P05","5",0.174,0.234,0.201,0.118,0.203,0.147,0.33
"P05","6",0.033,0.041,0.028,0.052,0.018,0.042,0.076
"P05","7",0.029,0.035,0.033,0.123,0.029,0.111,0.045
"P05","8",0.024,0.013,0.06,0.07,0.028,0.141,0.027
"P05","9",0.069,0.059,0.215,0.244,0.099,0.281,0.083
"P06","1",0.187,0.173,0.4,0.479,0.134,0.351,0.173
"P06","2",0.04,0.042,0.044,0.073,0.028,0.112,0.046
"P06","3",0.037,0.02,0.04,0.055,0.022,0.026,0.028
"P06","4",0.038,0.056,0.038,0.042,0.033,0.087,0.076
"P06","5",0.189,0.264,0.143,0.138,0.16,0.195,0.318
"P06","6",0.047,0.069,0.039,0.027,0.052,0.05,0.079
"P06","7",0.091,0.079,0.021,0.029,0.076,0.042,0.064
"P06","8",0.076,0.061,0.064,0.031,0.101,0.04,0.047
"P06","9",0.295,0.236,0.211,0.126,0.394,0.097,0.169
"P07","1",0.197,0.284,0.366,0.591,0.195,0.625,0.293
"P07","2",0.038,0.029,0.026,0.042,0.018,0.017,0.047
"P07","3",0.024,0.037,0.008,0.028,0.023,0.02,0.029
"P07","4",0.021,0.036,0.01,0.013,0.023,0.024,0.037
"P07","5",0.137,0.131,0.047,0.066,0.132,0.097,0.16
"P07","6",0.022,0.027,0.016,0.01,0.029,0.012,0.031
"P07","7",0.051,0.047,0.023,0.013,0.053,0.013,0.035
"P07","8",0.065,0.044,0.041,0.016,0.064,0.011,0.024
"P07","9",0.445,0.365,0.463,0.221,0.463,0.181,0.344
"P09","Del Frente de Todos y el peronismo",0.071,0.098,0.559,0.823,0.035,0.125,0.102
