"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.292,0.466,0.452,0.529
"P04","Realizo changas o trabajos de vez en cuando",0.298,0.212,0.17,0.136
"P04","No tengo trabajo",0.245,0.127,0.212,0.151
"P04","Soy jubilado o pensionado",0.165,0.195,0.166,0.184
"P05","1",0.386,0.266,0.234,0.201
"P05","2",0.066,0.091,0.091,0.033
"P05","3",0.041,0.041,0.064,0.037
"P05","4",0.044,0.074,0.075,0.034
"P05","5",0.109,0.147,0.153,0.116
"P05","6",0.032,0.058,0.064,0.065
"P05","7",0.038,0.069,0.089,0.162
"P05","8",0.046,0.058,0.06,0.096
"P05","9",0.238,0.196,0.17,0.256
"P06","1",0.482,0.332,0.323,0.523
"P06","2",0.042,0.062,0.064,0.077
"P06","3",0.032,0.04,0.052,0.067
"P06","4",0.038,0.072,0.042,0.044
"P06","5",0.113,0.184,0.231,0.113
"P06","6",0.016,0.034,0.036,0.021
"P06","7",0.009,0.069,0.038,0.028
"P06","8",0.04,0.04,0.039,0.03
"P06","9",0.228,0.167,0.175,0.097
"P07","1",0.497,0.435,0.446,0.685
"P07","2",0.017,0.036,0.054,0.033
"P07","3",0.01,0.021,0.025,0.04
"P07","4",0.009,0.028,0.027,0.015
"P07","5",0.041,0.098,0.108,0.061
"P07","6",0.012,0.014,0.032,0.008
"P07","7",0.012,0.027,0.034,0.014
"P07","8",0.016,0.035,0.023,0.016
"P07","9",0.386,0.306,0.251,0.128
"P11","A Alberto Fernández",0.603,0.073,0.009,0.022
"P11","A Sergio Massa",0.057,0.471,0.048,0.013
"P11","A algún candidato del peronismo",0.052,0.038,0.599,0.017
"P11","A Cristina Fernández de Kirchner",0.288,0.418,0.344,0.948
"P14","Lo votaría",0.116,0.097,0.099,0.019
"P14","Puede que lo vote",0.075,0.112,0.11,0.014
"P14","Nunca lo votaría",0.707,0.668,0.712,0.895
"P14","No sabe",0.102,0.123,0.079,0.072
"P15","Lo votaría",0.259,0.489,0.185,0.141
"P15","Puede que lo vote",0.348,0.273,0.379,0.471
"P15","Nunca lo votaría",0.295,0.185,0.319,0.282
"P15","No sabe",0.098,0.053,0.117,0.106
"P16","Lo votaría",0.674,0.274,0.126,0.172
"P16","Puede que lo vote",0.198,0.452,0.346,0.505
"P16","Nunca lo votaría",0.063,0.183,0.4,0.198
"P16","No sabe",0.065,0.091,0.128,0.125
"P17","La votaría",0.792,0.616,0.468,0.885
"P17","Puede que la vote",0.1,0.176,0.149,0.071
"P17","Nunca la votaría",0.086,0.166,0.335,0.035
"P17","No sabe",0.022,0.042,0.048,0.009
"P18","Lo votaría",0.138,0.178,0.12,0.088
"P18","Puede que lo vote",0.109,0.129,0.108,0.019
"P18","Nunca lo votaría",0.68,0.654,0.721,0.865
"P18","No sabe",0.073,0.039,0.051,0.028
"P19","Lo votaría",0.042,0.065,0.073,0.017
"P19","Puede que lo vote",0.178,0.214,0.171,0.087
"P19","Nunca lo votaría",0.601,0.627,0.617,0.811
"P19","No sabe",0.179,0.094,0.139,0.085
"P20","La votaría",0.04,0.063,0.096,0.022
"P20","Puede que la vote",0.087,0.07,0.116,0.013
"P20","Nunca la votaría",0.778,0.801,0.73,0.94
"P20","No sabe",0.095,0.066,0.058,0.025
"P21","Lo votaría",0.055,0.047,0.094,0.027
"P21","Puede que lo vote",0.108,0.067,0.147,0.02
"P21","Nunca lo votaría",0.72,0.8,0.703,0.925
"P21","No sabe",0.117,0.086,0.056,0.028
"P22","La votaría",0.035,0.05,0.055,0.015
"P22","Puede que la vote",0.075,0.073,0.14,0.01
"P22","Nunca la votaría",0.755,0.805,0.726,0.927
"P22","No sabe",0.135,0.072,0.079,0.048
"P23","Lo votaría",0.22,0.154,0.143,0.162
"P23","Puede que lo vote",0.308,0.346,0.365,0.461
"P23","Nunca lo votaría",0.366,0.427,0.407,0.283
"P23","No sabe",0.106,0.073,0.085,0.094
"P24","Lo votaría",0.046,0.04,0.053,0.024
